code,name,mv_mean,amount_mean,num_days,profit,主营产品名称,主营产品类型,公司简介
002475.SZ,立讯精密,27862520.89590987,2790774.655842324,241,7070520386.57,Charge Cable Assembly、CN Series Cable Assembly、DMS TO 2DVI Cable Assembly、Download Cable Assembly、D-SUB25 Serise Cable Assembly、Earphone、LAN Cable Assembly、LCD Cable Assembly、LVDS Cable Assembly、Micro Coaxial Cable Assembly、NB Wireharness Cable Assembly、RCA Cable Assembly、REAR COM Cable Assembly、REAR USB Cable Assembly、RJ45 RJ11 Cable Assembly、SCSI Cable Assembly、Speaker Cable Assembly、USB Cable Assembly,电子元器件,"公司是一家技术导向公司，公司专注于连接线、连接器的研发、生产和销售，产品主要应用于3C(计算机、通讯、消费电子)和汽车、医疗等领域。产品主要应用于3C(电脑、通讯、消费电子)、汽车和通讯等领域，核心产品电脑连接器已树立了优势地位，台式电脑连接器覆盖全球20%以上的台式电脑，并快速扩大笔记本电脑连接器的生产，公司已经开发出DP、eDP、USB3.0、ESATA等新产品，同时公司正逐步进入汽车连接器、通讯连接器和高端消费电子连接器领域，拓展新的产品市场,确立了自身的竞争优势。公司是USB、HDMI、SATA等协会的会员。公司拥有自主产品的核心技术和知识产权，已申请多项发明专利，实用新型专利及外观设计专利超过百项。后公司实验室通过国家认可委认证，并获“深圳市测试平台”称号。"
601138.SH,工业富联,23044159.140371617,329624.2194149377,241,20009751000.0,存储设备、服务器设备、工业机器人、光传输设备、行动基站设备、机顶盒、金刚石工具、路由器、数据中心设备、网络电信设备高精密机构件、网络服务器、网络交换机、微细丝锥、钨钢工具、无线设备、云服务设备高精密机构件、智能家庭网关、智能手机高精密高分子聚合物机构件、智能手机高精密金属机构件,传输设备、存储设备、电脑配件、专用设备与零部件,公司是全球领先的通信网络设备、云服务设备、精密工具及工业机器人专业设计制造服务商，为客户提供以工业互联网平台为核心的新形态电子设备产品智能制造服务。公司致力于为企业提供以自动化、网络化、平台化、大数据为基础的科技服务综合解决方案，引领传统制造向智能制造的转型；并以此为基础构建云计算、移动终端、物联网、大数据、人工智能、高速网络和机器人为技术平台的“先进制造+工业互联网”新生态。公司主要从事各类电子设备产品的设计、研发、制造与销售业务，依托于工业互联网为全球知名客户提供智能制造和科技服务解决方案。公司主要产品涵盖通信网络设备、云服务设备、精密工具和工业机器人。相关产品主要应用于智能手机、宽带和无线网络、多媒体服务运营商的基础建设、电信运营商的基础建设、互联网增值服务商所需终端产品、企业网络及数据中心的基础建设以及精密核心零组件的自动化智能制造等。
002241.SZ,歌尔股份,14698161.320954638,2813015.5835435684,241,4274702999.38,歌尔便携式音频产品、歌尔蓝牙系列产品、歌尔微型麦克风、歌尔微型受话器、歌尔微型扬声器,电声器件,公司主要从事声学、传感器、光电、3D封装模组等精密零组件，以及虚拟/增强现实、智能穿戴、智能音频、机器人等智能硬件的研发、制造和品牌营销。目前已在多个领域建立了全球领先的综合竞争力。自上市以来，歌尔保持高速成长，年复合增长率达40%以上。秉持一站式服务为客户创造更大价值的理念，歌尔深耕产业价值链上下游，已与消费电子领域的国际一流客户达成稳定、紧密、长期的战略合作关系。从上游精密元器件、模组，到下游的智能硬件，从模具、注塑、表面处理，到高精度自动线的自主设计与制造，歌尔打造了在价值链高度垂直整合的精密加工与智能制造的平台，为客户提供全方位服务。歌尔研发布局全球。在美国、日本、韩国、丹麦、瑞典、北京、青岛、深圳、上海、南京、中国台湾等地分别设立了研发中心，以声光电为主要技术方向，通过集成跨领域技术提供系统化整体解决方案。
600703.SH,三安光电,14034947.266106756,2659682.409966805,241,1313021414.22,三安光电LED外延片、三安光电PIN光电二极管、三安光电氮化镓LED芯片、三安光电砷化镓LED芯片、三安光电太阳能电池,半导体分立器件、半导体太阳能光伏、集成电路,公司是国家发改委批准的“国家高科技产业化示范工程”企业、工业和信息化部认定的“国家技术创新示范企业”，承担了国家“863”、“973”计划等多项重大课题，拥有国家人事部颁发的博士后科研工作站及国家认定的企业技术中心。公司主要从事全色系超高亮度LED外延片、芯片、Ⅲ-Ⅴ族化合物半导体材料、微波通讯集成电路与功率器件、光通讯元器件等的研发、生产与销售，产品性能指标居国际先进水平。公司凭借强大的企业实力，继2014年扩大LED外延芯片研发与制造产业化规模、同时投资集成电路产业，建设砷化镓高速半导体与氮化镓高功率半导体项目之后，2018年三安光电在福建泉州南安高新技术产业园区，斥资333亿元投资Ⅲ-Ⅴ族化合物半导体材料、LED外延、芯片、微波集成电路、光通讯、射频滤波器、电力电子、SIC材料及器件、特种封装等产业。
600745.SH,闻泰科技,12962410.165504526,1546942.2611286307,241,2611542317.51,笔记本电脑、车联网、汽车电子、虚拟现实、移动终端、智能硬件、智能终端,电脑整机、电子设备及加工、互联网服务、移动通讯设备与配件、智能商用设备,闻泰科技是中国A股上市公司，主营业务包括半导体IDM、光学模组、通讯产品集成三大业务板块，已经形成从半导体芯片设计、晶圆制造、封装测试，到光学模组、通讯终端、服务器、笔记本电脑、IoT、汽车电子产品研发制造于一体的全产业链布局。旗下的安世半导体是全球知名的半导体IDM公司，是原飞利浦半导体标准产品事业部，有60多年半导体研发和制造经验，总部位于荷兰奈梅亨，晶圆制造工厂在德国汉堡和英国曼彻斯特，封装测试工厂位于中国东莞、菲律宾卡布尧和马来西亚芙蓉。安世半导体设备公司ITEC致力为全球半导体制造商带来经久耐用的创新性制造解决方案，提供半导体、RFID和MiniLED制造设备和系统，以高生产率水平的组装、测试、检测和智能制造平台为客户助力，帮助客户在质量、生产率和可持续性方面取得优势地位，同时把总体拥有成本降到低位。旗下的得尔塔科技在光学模组领域是主流供应商。公司采用flip-chip技术，实现更稳定的性能，更强的抗干扰、更小的产品尺寸，以满足特定客户的产品需求。得尔塔科技拥有FTIR、X-Ray、TBR、酸碱化学试验等解析和信赖试验设备一百多台，专注光学领域的研发和生产分析实验，聚焦摄像头模组的同时，积极布局新技术、新产品和新服务。公司以多年专业经验铸就有利竞争优势，未来随着摄像头高端化、双摄、三摄等技术的创新，其将不断向手机、IoT、智能汽车等领域延伸，从而实现高速增长。
000063.SZ,中兴通讯,12305414.148049254,1843938.0718298757,241,6812941000.0,中兴xDSL终端、中兴刀片服务器、中兴多业务节点设备、中兴机架服务器、中兴基站、中兴基站监控系统、中兴计费结算系统、中兴家庭网关、中兴宽带网关、中兴宽带网络机顶盒、中兴路由交换机、中兴路由器、中兴模块电源、中兴手机、中兴通讯终端&业务管理平台（ZXCSM）系统、中兴网管系统、中兴小容量中继网关、中兴综合接入设备（IAD）,传输设备、电子元器件、服务器与工作站、计费结算系统、交换设备、接入设备、其他消费电子产品、通信系统与平台、通信终端设备、网管软件、移动通讯设备与配件,公司是全球领先的综合性通信制造业上市公司，是近年全球增长快速的通信解决方案提供商。公司拥有通信业界完整的、端到端的产品线和融合解决方案，通过全系列的无线、有线、业务、终端产品和专业通信服务，灵活满足全球不同运营商和企业网客户的差异化需求以及快速创新的追求。公司通过为全球多个国家和地区的电信运营商和企业网客户提供创新技术与产品解决方案，让全世界用户享有语音、数据、多媒体、无线宽带等全方位沟通。公司坚持以持续技术创新为客户不断创造价值。公司在美国、加拿大、瑞典、中国等地设立全球研发机构，凭借不断增强的创新能力、突出的灵活定制能力、日趋完善的交付能力赢得全球客户的信任与合作。公司在全球范围内开展社区公益和救助行动，参加了印尼海啸、海地及汶川地震等重大自然灾害救助，并成立了中国规模最大的“关爱儿童专项基金”。
300782.SZ,卓胜微,11332512.471116023,1445771.5803360995,241,2134834604.14,IP授权、低功耗蓝牙微控制器芯片、射频低噪声放大器、射频开关,电子元器件,公司由硅谷留学人员创办于张江高科技园区，在知名风险投资红杉资本和盈富泰克的支持下，已迅速成长为一家在射频器件及无线连接专业方向上具有顶尖的技术实力和不凡市场竞争力的芯片设计公司。公司专注于移动互联领域，致力于开发无线通信的射频，射频与数字soc芯片产品，并为客户提供基于公司芯片的完整软硬件解决方案。经过8年多的研发积累，公司已拥有丰富的产品线，在行业内树立了领先的地位，销售方面亦已快速扩张，目前的产品已经得到诸如三星、华为、联想、展讯等***客户的采用。目前，公司已成为国内领先的射频器件及无线连接领域的专家，曾经推出或现有的产品线，如cmmb项目产品mxd0265、硅调谐器产品mxd1516、gps低噪放大器芯片mxdln16g及lte switch芯片mxd8650等。
300433.SZ,蓝思科技,10639924.66343918,825100.6785228215,241,2070242934.38,平板电脑防护玻璃、手机防护玻璃,玻璃,公司是全球领先的消费电子与高端智能汽车领域智能终端视窗与防护功能组件的ODM企业，凭借各项领先的技术和工艺、先进自研量产的自动化智能生产线、深厚的行业资源、宏大的生产规模、优质的品牌口碑，以及强大的研发储备与实力等优势，在消费电子产品、智能汽车、智能家居家电等领域的市场地位、市场占有率均全球领先，拥有全球优质、稳定的知名品牌客户资源，包括苹果、三星、华为、OPPO、vivo、小米、摩托罗拉、特斯拉、亚马逊等。公司的高精度玻璃、蓝宝石、精密陶瓷、金属、模组、贴合、组装等各类核心产品与业务均已被深度用于智能手机、可穿戴设备、平板电脑、笔记本电脑、一体式电脑、中控屏幕等智能终端，在5G商用场景、人工智能、工业互联网、智慧城市、教育医疗、智能汽车、智能家居等领域的得到广泛的应用，未来市场前景广阔。
603986.SH,兆易创新,10454467.230912024,2490691.240547718,241,2336793535.26,闪存芯片,集成电路,公司成立于2005年4月，是一家以中国为总部的全球化芯片设计公司。公司致力于各类存储器、控制器及周边产品的设计研发，已通过SGS ISO9001及ISO14001等管理体系的认证，在上海、合肥、中国香港设有全资子公司、在深圳设有分公司，在中国台湾地区设有办事处，并在韩国、美国、日本等地通过产品分销商为客户提供优质便捷的本地化服务。公司核心管理团队由来自世界各地的高级管理人员组成，每一位都曾在硅谷、韩国、台湾等各地著名IC企业工作多年，有着丰富的研发及管理经验。公司产品为NOR Flash、NAND Flash及MCU，广泛应用于手持移动终端、消费类电子产品、个人电脑及周边、网络、电信设备、医疗设备、办公设备、汽车电子及工业控制设备等各个领域。公司先后被评为“重大科技成果产业化突出贡献单位”、“创新型试点企业”。
002179.SZ,中航光电,9486674.08597054,761874.1778547718,241,1990997442.19,光电科技光无源器件、光电科技接线端子、光电科技矩形电连接器、光电科技滤波电连接器、光电科技射频同轴电连接器、光电科技特种连接器、光电科技圆形电连接器,电子元器件、通信终端设备,公司是中国专业为军工防务及高端制造领域提供互连技术解决方案的高科技企业。公司产品广泛应用于航空航天和军事领域、通讯网络与数据中心、轨道交通、新能源汽车、电力、石油装备、医疗设备以及智能装备等民用高端制造领域；产品远销欧洲、美国、以色列、澳大利亚、韩国、印度等海外多个国家和地区。公司总部拥有“国家认定企业技术中心”、“博士后科研工作站”以及国家和国防认可实验室，专业从事中高端光、电、流体连接技术与设备的研究与开发。公司通过了AS9100国际航空航天质量管理体系认证、ISO9001(2000)质量体系认证、TS16949体系认证、ISO14001环境体系认证、OHSAS18001职业健康安全管理体系认证等。公司多项重点产品通过了UL、CUL、CE、TUV、CB等安规认证。
