code,name,mv_mean,amount_mean,num_days,profit,主营产品名称,主营产品类型,公司简介
002415.SZ,海康威视,49460483.8,1672216.438,241,16800411032,DS-7000系列 网络硬盘录像机、DS-7100系列 网络硬盘录像机、DS-7800系列 网络硬盘录像机、DS-8000系列 网络硬盘录像机、DS-8100系列 网络硬盘录像机、DS-8800系列 网络硬盘录像机、DS-9000系列 混合硬盘录像机、DS-9100系列 网络硬盘录像机、IP视频处理模块、百万像素网络摄像机、百万像素网络智能球型摄象机、高速智能球型摄像机、国标系列 网络硬盘录像机、金融专用系列 网络硬盘录像机、控制键盘、模拟摄像机、视频解码卡、视频压缩卡、网络存储设备、网络摄像机、网络智能球型摄像机、一体化摄像机、智能视频服务器、智能视音频压缩板卡、中速智能球型摄像机、专用系列 网络硬盘录像机、自动跟踪智能球型摄像机,半导体分立器件、存储设备、电子测试和测量仪器、服务器与工作站、光学设备、智能商用设备,公司是领先的视频产品和内容服务提供商，面向全球提供领先的视频产品、专业的行业解决方案与内容服务。公司积极布局新兴市场和新兴业务，基于互联网推出了面向家庭和小微企业的相关产品及云服务平台；进入智能制造领域，推出了一系列机器视觉产品及解决方案。公司产品已涵盖视频监控系统的所有主要设备，包括前端采集设备、后端存储及集中控制、显示、管理及储存设备。典型视频监控系统的前端设备主要包括摄像机(采集视音频信号)及DVS(压缩及编码视音频信号)；典型视频监控系统的后端设备主要包括录像机(记录及存储视音频信号)；典型视频监控系统的中心控制设备主要包括集中控制设备(控制、检索及显示视音频信号)、VMS软件及中心储存设备。此外，公司拥有门禁、报警、可视对讲等系列大安防领域的产品。
000333.SZ,美的集团,48795887.65,2328227.697,241,28573650000,美的IH智能灶、美的电磁炉、美的电饭煲、美的电烤箱、美的电热水瓶、美的电水壶、美的电压力锅、美的豆浆机、美的风扇、美的挂烫机、美的果汁机、美的家用冰箱冷柜、美的家用空气能热水器、美的家用空调、美的煎烤机、美的净化器、美的净水机、美的净饮机、美的面包机、美的取暖器、美的燃气灶、美的热水器、美的商用厨房、美的商用净水机、美的商用空气能热水器、美的商用冷柜、美的商用嵌入式空调、美的商用中央空调、美的微波炉、美的吸尘器、美的吸油烟机、美的洗碗机、美的洗衣机、美的消毒柜、美的饮水机、美的照明电工,厨房器具、厨房小家电、空调器具、清洁器具、取暖器具、熨烫器具、照明器具、制冷器具,公司是一家消费电器、暖通空调、机器人与自动化系统、智能供应链(物流)的科技集团，提供多元化的产品种类与服务，包括以厨房家电、冰箱、洗衣机、及各类小家电为核心的消费电器业务；以家用空调、中央空调、供暖及通风系统为核心的暖通空调业务；以库卡集团、美的机器人公司等为核心的机器人及自动化系统业务;以安得智联为集成解决方案服务平台的智能供应链业务。公司以“科技尽善，生活尽美”为企业愿景，将“联动人与万物，启迪美的世界”作为使命，恪守“敢知未来——志存高远、务实奋进、包容共协、变革创新”的价值观，整合全球资源，推动技术创新，每年为全球超过3亿用户、及各领域的重要客户与战略合作伙伴提供满意的产品和服务，致力创造美好生活。
002594.SZ,比亚迪,45962795.2,6398746.097,241,3045188000,比亚迪汽车、充电器、电声产品、光电子产品、锂电池及能源产品、镍电池、太阳能电池、微电子,半导体太阳能光伏、低压电器类、电子元器件、集成电路、汽车及零配件经销,比亚迪是一家致力于“用技术创新，满足人们对美好生活的向往”的高新技术企业。比亚迪成立于1995年2月，经过20多年的高速发展，已在全球设立30多个工业园，实现全球六大洲的战略布局。比亚迪业务布局涵盖电子、汽车、新能源和轨道交通等领域，并在这些领域发挥着举足轻重的作用，从能源的获取、存储，再到应用，全方位构建零排放的新能源整体解决方案。比亚迪是香港和深圳上市公司，营业额和总市值均超过千亿元。
601633.SH,长城汽车,28531534.42,1314991.232,241,6726093884,风骏皮卡、哈弗SUV、教练车、腾翼轿车,轿车、轻型卡车,公司是全球知名的SUV制造企业，秉承“每天进步一点点”的企业理念，拥有先进的企业文化和管理团队，创建了独具特色的经营和管理模式，经营质量在国内汽车行业首屈一指。公司多次入选“中国企业500强”、“中国机械500强”、“中国制造500强”，连续多年上榜“福布斯亚太最佳上市公司”、“福布斯2000强”、“《财富》中国500强”、“BrandZ最具价值中国品牌100强”等，并被评为中国机电进出口商会的“推荐出口品牌”，也是商务部、发改委授予的“国家汽车整车出口基地企业”，首家成为国际氢能委员会成员的中国汽车企业。近年来，长城汽车的技术实力得到了社会的广泛肯定，被国家发改委、科技部等五部委联合认定为“国家认定企业技术中心”、“博士后科研工作站设站单位”、“国家创新型企业”。
000651.SZ,格力电器,24884831.48,2198889.055,241,23063732373,格力典雅柜机系列空调、格力分体挂壁空调、格力分体立柜空调、格力豪华柜机系列空调、格力漆包线、格力卧室空调、格力新金系列空调、格力新绿系列空调、格力中央空调,空调器具、输电设备,公司成立初期，主要依靠组装生产家用空调，现已发展成为多元化的工业集团，产业覆盖空调、高端装备、生活品类、通信设备等领域，产品远销160多个国家和地区。公司拥有国家重点实验室、国家工程技术研究中心、国家级工业设计中心、国家认定企业技术中心、机器人工程技术研发中心各1个，同时成为国家通报咨询中心研究评议基地。公司加快推进产业布局转型升级，2013年起，相继进军智能装备、通信设备、模具等领域，目前格力智能装备已为家电、汽车、食品、3C数码、建材卫浴等众多行业提供服务，格力已经从专业的空调生产企业迈入多元化的高端技术产业时代。
600104.SH,上汽集团,22981707.86,846878.6681,241,24533097944,上海大众Fabia、上海大众GOL轿车、上海大众Octavia明锐、上海大众POLO劲情、上海大众POLO劲取、上海大众PSN微型双排座货车、上海大众Superb、上海大众别克GL8系列轿车、上海大众波罗、上海大众大众变速器、上海大众都市清风客车、上海大众君威系列轿车、上海大众凯越轿车、上海大众名爵轿车、上海大众帕萨特领驭、上海大众荣威轿车、上海大众赛宝多功能轻型客车、上海大众赛欧SRV轿车、上海大众赛欧轿车、上海大众桑塔纳3000型“超越者”、上海大众桑塔纳轿车、上海大众上海汇众、上海大众上汽PLN微型货车、上海大众上汽SPARK客车、上海大众上汽通用五菱6360客车、上海大众申沃、上海大众申沃城市客车、上海大众通用五菱、上海大众途安Touran、上海大众五菱变速器、上海大众五菱之光客车、上海大众幸福摩托、上海大众重庆红岩、上海汇众轿车底盘,传动设备、行驶底盘设备、轿车、客车、摩托车、轻型卡车、重型卡车与专用车,公司属于汽车制造行业，目前正努力把握产业发展趋势，加快创新转型，从传统的制造型企业，向为消费者提供移动出行服务与产品的综合供应商发展。公司主要业务包括整车(含乘用车、商用车)的研发、生产和销售，正积极推进新能源汽车、互联网汽车的商业化，并开展智能驾驶等技术研究和产业化探索；零部件(含动力驱动系统、底盘系统、内外饰系统，以及电池、电驱、电力电子等新能源汽车核心零部件和智能产品系统)的研发、生产、销售；物流、汽车电商、出行服务、节能和充电服务等汽车服务贸易业务；汽车相关金融、保险和投资业务；海外经营和国际商贸业务；并在产业大数据和人工智能领域积极布局。
603501.SH,韦尔股份,22862644.88,1982250.912,241,4476187474,USB-C接口电路、保护器件、场效应晶体管、电源管理、模拟开关、双极型晶体管、肖特基二极管,半导体分立器件,公司是一家以自主研发、销售服务为主体的半导体器件设计和销售公司，主要从事设计、制造和销售应用于便携式电子产品、电视、电动车、电表、通信设备、网络设备、信息终端等领域的高性能集成电路，主要产品包括开关器件、信号放大器件、系统电源及控制方案、系统保护方案、电磁干扰滤波方案、分立器件。公司逐步引进大量人才，重点加强研发、品质等方面人才储备，同时建立了先进的可靠性实验室、EMC实验室，在产品的研发、试产、量产过程中，对产品质量层层把关，并为合作伙伴提供大量的EMC测试，在得到合作伙伴认可的同时，公司正逐步成为国际知名的半导体器件厂商。
600031.SH,三一重工,20536012.28,3538414.439,241,12033364000,三一泵车、三一车载式混凝土输送泵、三一混凝土搅拌站、三一机械传动振动压路机、三一搅拌运输车、三一沥青混合料转运车、三一沥青搅拌站、三一履带吊、三一汽车起重机、三一全液压轮胎式压路机、三一摊铺机、三一推土机、三一拖泵、三一挖掘机、三一液力机械传动平地机、三一液压传动振动压路机、三一正面吊,重型建筑工程机械,公司是全球装备制造业领先企业之一。公司产品包括混凝土机械、挖掘机械、起重机械、桩工机械、筑路机械、建筑装配式预制结构构件。公司拥有ISO9000质量体系认证、ISO14001环境管理体系认证、GB/T28001职业健康安全管理体系认证和中国CCC认证、美国UL认证、德国TUV认证、欧盟CE认证等国际认证。公司凭借技术创新实力，先后三次荣获“国家科技进步奖”，两次荣获“国家技术发明奖”。通过自主创新，三一混凝土泵车三次刷新长臂架泵车世界纪录，三一高压力混凝土输送泵多次创造世界单泵垂直泵送世界新高。
000725.SZ,京东方A,19188530.62,2730245.48,241,25830935500,京东方LED显示系统、京东方TFT液晶显示器、京东方彩色显象管、京东方纯平CRT显示器、京东方锂电池、京东方液晶电视、京东方液晶显示模块,半导体照明、低压电器类、电子元器件、视频产品、显示设备,公司是一家为信息交互和人类健康提供智慧端口产品和专业服务的物联网公司，核心业务包括显示器件、智慧系统、健康服务。产品广泛应用于手机、平板电脑、笔记本电脑、显示器、电视、车载、数字信息显示、健康医疗、金融应用、可穿戴设备等领域。公司在北京、重庆、安徽合肥、四川成都、绵阳、福建福州、厦门、江苏苏州、内蒙古鄂尔多斯、河北固安等地拥有多个制造基地，在美国、德国、英国、法国、瑞士、日本、韩国、新加坡、印度、俄罗斯、巴西、阿联酋等多个国家和地区设有子公司，服务体系覆盖欧、美、亚、非等全球主要地区。公司坚持“技术领先、全球首发、价值共创”的创新理念。
300274.SZ,阳光电源,18414479.89,3594268.655,241,1582707375,风能变流器、光伏逆变器,变电设备,公司是一家专注于太阳能、风能等可再生能源电源产品研发、生产、销售和服务的国家重点高新技术企业。公司是中国目前较大的光伏逆变器制造商、国内领先的风能变流器企业，拥有完全自主知识产权。主要产品有光伏逆变器、风能变流器、储能系统、电动车电机控制器，并致力于提供全球一流的光伏电站解决方案。公司先后承担多项国家重大科技计划项目，主持起草了多项国家标准，并取得了多项重要成果和专利。产品先后成功应用于上海世博会、北京奥运鸟巢、京沪高铁上海虹桥站、国家送电到乡工程、南疆铁路、青藏铁路等众多重大光伏和风力发电项目。公司先后荣获“国家重点新产品”、国家发改委“技术进步优秀项目奖”、“中国新能源企业30强”、“中国驰名商标”、“安徽著名商标”、全球新能源企业500强、国家级“守合同重信用”企业、安徽“最佳雇主”等荣誉，是国家级博士后科研工作站设站企业、国家高技术产业化示范基地、国家认定企业技术中心、《福布斯》“中国最具发展潜力企业”等。
