code,name,mv_mean,amount_mean,num_days,profit,code,name,mv_mean,amount_mean,num_days,profit
002415.SZ,海康威视,49460483.7979472,1672216.4375892116,241,16800411032.05,000938.SZ,紫光股份,6597171.792351037,830172.3817095436,241,2147646278.03
000333.SZ,美的集团,48795887.65261503,2328227.69680083,241,28573650000.0,000988.SZ,华工科技,2520244.5546758715,427477.73595850624,241,760983179.01
002594.SZ,比亚迪,45962795.2035332,6398746.097066389,241,3045188000.0,002138.SZ,顺络电子,2723341.913494656,365815.37548132776,241,784625535.57
601633.SH,长城汽车,28531534.42040414,1314991.2317551866,241,6726093883.72,002194.SZ,武汉凡谷,770460.9993946722,166072.0850207469,241,227718903.92
000651.SZ,格力电器,24884831.48315285,2198889.054954357,241,23063732372.62,002273.SZ,水晶光电,1916011.193425984,664700.2483609958,241,442179153.57
600104.SH,上汽集团,22981707.858604606,846878.6680580913,241,24533097943.83,002281.SZ,光迅科技,1572480.0417899585,213087.6232572614,241,567266618.25
603501.SH,韦尔股份,22862644.88152533,1982250.9124730288,241,4476187473.66,002384.SZ,东山精密,3612559.443266415,687336.2347593361,241,1862481138.84
600031.SH,三一重工,20536012.27883124,3538414.4391161827,241,12033364000.0,002396.SZ,星网锐捷,1381911.9910878092,379484.3771535269,241,550406616.52
000725.SZ,京东方A,19188530.620578736,2730245.4798008297,241,25830935500.0,002456.SZ,欧菲光,2446519.3764610253,377958.9657759336,241,-2624971644.78
300274.SZ,阳光电源,18414479.887996845,3594268.654643154,241,1582707374.76,002463.SZ,沪电股份,2612719.1389894187,464633.113,241,1063500828.0
600406.SH,国电南瑞,18172316.25676088,1039940.342746888,241,5642448311.81,002544.SZ,杰赛科技,1290302.299912448,231327.8874688797,241,141574557.21
300124.SZ,汇川技术,17211685.49993098,1483462.9808174274,241,3573404586.07,002555.SZ,三七互娱,5125870.869157813,766210.2052946058,241,2875575877.62
600690.SH,海尔智家,16951185.687566116,1070674.0451576763,241,13067038271.85,002600.SZ,领益智造,4852232.107203482,530259.3285518672,241,1180093116.13
002371.SZ,北方华创,15913394.266594946,2152776.0553983403,241,1077409991.25,002815.SZ,崇达技术,1186200.1210646431,140252.41525311203,241,553871774.83
600050.SH,中国联通,12515804.01858869,368203.94224481325,241,6305465753.0,002916.SZ,深南电路,5018442.784498689,389561.0313153527,241,1480637000.32
002230.SZ,科大讯飞,12150708.969605938,1439194.8804024896,241,1556463894.56,002920.SZ,德赛西威,6270356.89980083,490292.6388962656,241,832922008.36
002049.SZ,紫光国微,11633036.038619258,1676146.697165975,241,1953785798.57,300017.SZ,网宿科技,1490276.587969137,347375.0695809128,241,165240702.33
002027.SZ,分众传媒,11324602.580513278,1082576.441626556,241,6063162192.53,300079.SZ,数码视讯,1138979.357987527,902428.4908049792,241,104785206.43
600588.SH,用友网络,10674957.655888695,708083.9500746888,241,707762887.0,300115.SZ,长盈精密,1884086.8965944063,441334.3744979253,241,-604596722.65
601238.SH,广汽集团,10453073.835729929,668635.0454854772,241,7334915288.0,300136.SZ,信维通信,2338412.6576646725,486595.3831991701,241,505097360.06
688981.SH,中芯国际,10423059.247095434,1702576.0368215768,241,10733098000.0,300166.SZ,东方国信,1220504.5961553112,597787.1759294606,241,301962926.86
000625.SZ,长安汽车,10372251.09318211,2612765.768099585,241,3552463320.03,300308.SZ,中际旭创,2762542.304000419,286604.81183817424,241,876977126.32
300450.SZ,先导智能,10371623.125220526,1102543.25106639,241,1584673046.04,300383.SZ,光环新网,2308736.6354201,378462.1749460581,241,836208334.39
601877.SH,正泰电器,9611764.53604222,1194118.4321493777,241,3400637980.92,300394.SZ,天孚通信,1133381.3681696472,223719.41393361,241,306391954.55
000100.SZ,TCL科技,9215089.3348861,1518616.3654564314,241,10057444000.0,300496.SZ,中科创达,5571394.396636275,784582.928792531,241,647269132.32
603486.SH,科沃斯,9070527.40908589,525425.3943485477,241,2010260653.48,300502.SZ,新易盛,1718286.761538083,521363.2936182572,241,661926139.05
688396.SH,华润微,8951537.43188141,960743.8598921162,241,2267920399.95,300638.SZ,广和通,1886370.51716688,219617.3671120332,241,401345401.68
300454.SZ,深信服,8572057.79895736,435743.3986721992,241,272857861.09,300661.SZ,圣邦股份,6915231.479874067,656868.0477344398,241,699389578.69
600570.SH,恒生电子,8239985.637243942,883002.4746721991,241,1463538930.14,300679.SZ,电连技术,1686325.7576763486,282955.4354813278,241,371586103.87
601127.SH,小康股份,7948315.382018605,1493665.6912531122,241,-1823911349.24,600183.SH,生益科技,5086217.813951328,586973.0828672198,241,2829683547.57
600741.SH,华域汽车,7695184.398357909,443705.8892406639,241,6468939920.38,600498.SH,烽火通信,2025431.801946672,179464.69855186724,241,287975372.16
688008.SH,澜起科技,7536548.430111943,482941.6856929461,241,829137544.38,600845.SH,宝信软件,6676173.031040743,338503.05228215765,241,1818835200.72
600460.SH,士兰微,7484719.656304792,2757443.0037333337,240,1517725588.3,601231.SH,环旭电子,3204506.093164946,166842.42543983404,241,1857968074.82
002410.SZ,广联达,7429912.015250984,374425.19711203314,241,660974286.88,603228.SH,景旺电子,2345169.560573245,140332.89234439834,241,935254514.42
300628.SZ,亿联网络,7285105.038924275,208776.1108215768,241,1616080443.77,603236.SH,移远通信,2439653.046899494,277069.36228630703,241,358060203.5
600089.SH,特变电工,7191565.548402555,2453578.4591037347,241,7254795959.39,603881.SH,数据港,1132512.717388693,311626.30591286306,241,111004195.9
