code,name,mv_mean,amount_mean,num_days,profit
000063.SZ,中兴通讯,12305414.148049254,1843938.0718298757,241,6812941000.0
000100.SZ,TCL科技,9215089.3348861,1518616.3654564314,241,10057444000.0
000333.SZ,美的集团,48795887.65261503,2328227.69680083,241,28573650000.0
000625.SZ,长安汽车,10372251.09318211,2612765.768099585,241,3552463320.03
000651.SZ,格力电器,24884831.48315285,2198889.054954357,241,23063732372.62
000725.SZ,京东方A,19188530.620578736,2730245.4798008297,241,25830935500.0
002027.SZ,分众传媒,11324602.580513278,1082576.441626556,241,6063162192.53
002049.SZ,紫光国微,11633036.038619258,1676146.697165975,241,1953785798.57
002123.SZ,梦网科技,1368127.916489419,374405.82091701246,241,-238113811.08
002179.SZ,中航光电,9486674.08597054,761874.1778547718,241,1990997442.19
002230.SZ,科大讯飞,12150708.969605938,1439194.8804024896,241,1556463894.56
002241.SZ,歌尔股份,14698161.320954638,2813015.5835435684,241,4274702999.38
002371.SZ,北方华创,15913394.266594946,2152776.0553983403,241,1077409991.25
002410.SZ,广联达,7429912.015250984,374425.19711203314,241,660974286.88
002415.SZ,海康威视,49460483.7979472,1672216.4375892116,241,16800411032.05
002475.SZ,立讯精密,27862520.89590987,2790774.655842324,241,7070520386.57
002594.SZ,比亚迪,45962795.2035332,6398746.097066389,241,3045188000.0
002938.SZ,鹏鼎控股,8056190.980578258,380949.5638174274,241,3317274178.23
300124.SZ,汇川技术,17211685.49993098,1483462.9808174274,241,3573404586.07
300274.SZ,阳光电源,18414479.887996845,3594268.654643154,241,1582707374.76
300413.SZ,芒果超媒,8784979.877933975,664697.5422946058,241,2114090171.85
300433.SZ,蓝思科技,10639924.66343918,825100.6785228215,241,2070242934.38
300450.SZ,先导智能,10371623.125220526,1102543.25106639,241,1584673046.04
300454.SZ,深信服,8572057.79895736,435743.3986721992,241,272857861.09
300628.SZ,亿联网络,7285105.038924275,208776.1108215768,241,1616080443.77
300735.SZ,光弘科技,961574.8023435684,133726.2889045643,241,352538235.41
300782.SZ,卓胜微,11332512.471116023,1445771.5803360995,241,2134834604.14
600031.SH,三一重工,20536012.27883124,3538414.4391161827,241,12033364000.0
600050.SH,中国联通,12515804.01858869,368203.94224481325,241,6305465753.0
600089.SH,特变电工,7191565.548402555,2453578.4591037347,241,7254795959.39
600104.SH,上汽集团,22981707.858604606,846878.6680580913,241,24533097943.83
600406.SH,国电南瑞,18172316.25676088,1039940.342746888,241,5642448311.81
600460.SH,士兰微,7484719.656304792,2757443.0037333337,240,1517725588.3
600570.SH,恒生电子,8239985.637243942,883002.4746721991,241,1463538930.14
600588.SH,用友网络,10674957.655888695,708083.9500746888,241,707762887.0
600690.SH,海尔智家,16951185.687566116,1070674.0451576763,241,13067038271.85
600703.SH,三安光电,14034947.266106756,2659682.409966805,241,1313021414.22
600741.SH,华域汽车,7695184.398357909,443705.8892406639,241,6468939920.38
600745.SH,闻泰科技,12962410.165504526,1546942.2611286307,241,2611542317.51
601127.SH,小康股份,7948315.382018605,1493665.6912531122,241,-1823911349.24
601138.SH,工业富联,23044159.140371617,329624.2194149377,241,20009751000.0
601238.SH,广汽集团,10453073.835729929,668635.0454854772,241,7334915288.0
601633.SH,长城汽车,28531534.42040414,1314991.2317551866,241,6726093883.72
601877.SH,正泰电器,9611764.53604222,1194118.4321493777,241,3400637980.92
603486.SH,科沃斯,9070527.40908589,525425.3943485477,241,2010260653.48
603501.SH,韦尔股份,22862644.88152533,1982250.9124730288,241,4476187473.66
603986.SH,兆易创新,10454467.230912024,2490691.240547718,241,2336793535.26
688008.SH,澜起科技,7536548.430111943,482941.6856929461,241,829137544.38
688396.SH,华润微,8951537.43188141,960743.8598921162,241,2267920399.95
688981.SH,中芯国际,10423059.247095434,1702576.0368215768,241,10733098000.0
