code,name,mv_mean,amount_mean,num_days,profit,code,name,mv_mean,amount_mean,num_days,profit
601012.SH,隆基股份,43398988.45815187,6452129.406502075,241,9085880513.3,002126.SZ,银轮股份,870091.2928106348,163434.2473112033,241,220374339.65
601633.SH,长城汽车,28531534.42040414,1314991.2317551866,241,6726093883.72,002227.SZ,奥特迅,364130.6741497096,74587.4445020747,241,-32707678.62
600104.SH,上汽集团,22981707.858604606,846878.6680580913,241,24533097943.83,002240.SZ,盛新锂能,4097439.422545075,1991629.16919917,241,850648190.52
600438.SH,通威股份,20043656.95139718,3392122.740792531,241,8207920822.18,002407.SZ,多氟多,3343414.3464516345,2233272.628510373,241,1259706825.21
600905.SH,三峡能源,18795811.940140843,3746346.355549296,213,5642366893.34,002759.SZ,天际股份,1297010.4445718755,777962.4789253112,241,745033544.91
300274.SZ,阳光电源,18414479.887996845,3594268.654643154,241,1582707374.76,002850.SZ,科达利,3043057.368569979,435498.4167095436,241,541611743.45
600406.SH,国电南瑞,18172316.25676088,1039940.342746888,241,5642448311.81,300001.SZ,特锐德,2685793.6606416097,568966.9208962655,241,187174232.5
000792.SZ,盐湖股份,17178006.674564414,3828424.1835574713,174,4478386639.86,300035.SZ,中科电气,1806405.3943668632,724399.5616887967,241,365454791.95
002129.SZ,中环股份,13237387.034922857,2349741.2192282155,241,4029617597.1,300037.SZ,新宙邦,4373840.288839631,742005.5767344398,241,1306639758.89
601985.SH,中国核电,11573142.985994397,1037136.7186016598,241,8038084942.04,300073.SZ,当升科技,3644577.426983079,1060121.8747012448,241,1090983029.97
002459.SZ,晶澳科技,11265760.558325382,1215984.770659751,241,2038628714.36,300340.SZ,科恒股份,366688.1873115353,249041.93471784232,241,13984267.23
003816.SZ,中国广核,11163464.91403195,339734.95610788383,241,9732589251.46,300409.SZ,道氏技术,1349392.5629207925,514959.6504024896,241,561699962.81
688599.SH,天合光能,11128859.071453208,1129777.3023817427,241,1804231711.5,300568.SZ,星源材质,2946095.843317847,950374.4526431536,241,282895244.91
603806.SH,福斯特,10892129.858743183,869686.1682033195,241,2196549310.84,300618.SZ,寒锐钴业,2444138.250760705,827871.3986058092,241,663166173.38
601238.SH,广汽集团,10453073.835729929,668635.0454854772,241,7334915288.0,300648.SZ,星云股份,733862.3273431038,321282.8003568464,241,76045638.81
000625.SZ,长安汽车,10372251.09318211,2612765.768099585,241,3552463320.03,300769.SZ,德方纳米,3867849.753094988,832454.6301825726,241,800592881.91
601877.SH,正泰电器,9611764.53604222,1194118.4321493777,241,3400637980.92,300890.SZ,翔丰华,550185.0622406639,181677.4353153527,241,99839401.25
601127.SH,小康股份,7948315.382018605,1493665.6912531122,241,-1823911349.24,600066.SH,宇通客车,2521590.834618178,187674.60873443983,241,613785285.74
300316.SZ,晶盛机电,7760726.968944788,861510.7226348547,241,1711717145.99,600110.SH,诺德股份,2201069.014600581,1029719.1075020748,241,405084585.88
601865.SH,福莱特,7534738.53451659,741944.7200456432,241,2119919326.43,600549.SH,厦门钨业,3234407.8242589217,886410.8607634855,241,1180534108.37
600089.SH,特变电工,7191565.548402555,2453578.4591037347,241,7254795959.39,600563.SH,法拉电子,4103527.593360996,479611.0637427386,241,830619056.16
300207.SZ,欣旺达,5944321.185746764,1583881.277120332,241,915654084.18,600699.SH,均胜电子,2686191.5839763647,845632.4707302905,241,-3753291036.22
300751.SZ,迈为股份,5884955.7705804445,783777.1261369294,241,642802185.94,600885.SH,宏发股份,4647917.782671668,388460.2864356847,241,1062555476.55
601727.SH,上海电气,5797755.395863918,297072.6171161826,241,-9987908000.0,603026.SH,石大胜华,3811126.5993361,1390999.1577634856,241,1178405919.29
603185.SH,上机数控,5409115.859317145,1142305.3023153527,241,1711409280.61,688006.SH,杭可科技,3626345.753298755,228956.72017842325,241,235117881.75
300763.SZ,锦浪科技,5320183.189005407,848585.6020829875,241,473833499.69,688155.SH,先惠技术,845356.9080684647,92874.118406639,241,70063544.23
002202.SZ,金风科技,5079068.598452116,1542072.948178423,241,3456951818.01,688339.SH,亿华通-U,1719583.783110199,266455.74615352694,241,-161924124.12
601689.SH,拓普集团,5059934.801557859,688041.1918340249,241,1017253691.77,688388.SH,嘉元科技,2587349.022900237,539481.8667842323,241,549959098.02
