code,name,mv_mean,amount_mean,num_days,profit
000009.SZ,中国宝安,4229129.646917656,1601079.0391037343,241,1035599088.75
000625.SZ,长安汽车,10372251.09318211,2612765.768099585,241,3552463320.03
000792.SZ,盐湖股份,17178006.674564414,3828424.1835574713,174,4478386639.86
002050.SZ,三花智控,7817695.537393278,531039.8106141079,241,1684044407.47
002074.SZ,国轩高科,6486652.836653223,2057406.868207469,241,101890171.25
002129.SZ,中环股份,13237387.034922857,2349741.2192282155,241,4029617597.1
002192.SZ,融捷股份,2970818.608641208,1358827.8779170124,241,68289424.55
002202.SZ,金风科技,5079068.598452116,1542072.948178423,241,3456951818.01
002340.SZ,格林美,4933161.154491796,2355373.355012448,241,923282889.28
002459.SZ,晶澳科技,11265760.558325382,1215984.770659751,241,2038628714.36
002460.SZ,赣锋锂业,16860718.513741903,4612725.623858921,241,5228404716.53
002466.SZ,天齐锂业,13144112.89213795,6154375.735854772,241,2078857302.44
002594.SZ,比亚迪,45962795.2035332,6398746.097066389,241,3045188000.0
002709.SZ,天赐材料,10564939.442003606,2207779.2330622408,241,2208337176.26
002812.SZ,恩捷股份,21406855.682695944,1964785.783029661,236,2717628798.01
003816.SZ,中国广核,11163464.91403195,339734.95610788383,241,9732589251.46
300014.SZ,亿纬锂能,19551284.974921077,3298660.6616099584,241,2905792903.68
300124.SZ,汇川技术,17211685.49993098,1483462.9808174274,241,3573404586.07
300207.SZ,欣旺达,5944321.185746764,1583881.277120332,241,915654084.18
300274.SZ,阳光电源,18414479.887996845,3594268.654643154,241,1582707374.76
300316.SZ,晶盛机电,7760726.968944788,861510.7226348547,241,1711717145.99
300432.SZ,富临精工,2092465.0903619584,829466.356560166,241,399091674.57
300450.SZ,先导智能,10371623.125220526,1102543.25106639,241,1584673046.04
300750.SZ,宁德时代,122422177.29624708,7336981.338506224,241,15931317900.0
300751.SZ,迈为股份,5884955.7705804445,783777.1261369294,241,642802185.94
300763.SZ,锦浪科技,5320183.189005407,848585.6020829875,241,473833499.69
300919.SZ,中伟股份,8361701.957174589,378916.9777925312,241,938952084.15
600089.SH,特变电工,7191565.548402555,2453578.4591037347,241,7254795959.39
600104.SH,上汽集团,22981707.858604606,846878.6680580913,241,24533097943.83
600406.SH,国电南瑞,18172316.25676088,1039940.342746888,241,5642448311.81
600438.SH,通威股份,20043656.95139718,3392122.740792531,241,8207920822.18
600733.SH,北汽蓝谷,4916566.575585555,1219947.0351452285,241,-5243780936.01
600884.SH,杉杉股份,5205401.809461025,1511820.2463983404,241,3339696517.63
600905.SH,三峡能源,18795811.940140843,3746346.355549296,213,5642366893.34
601012.SH,隆基股份,43398988.45815187,6452129.406502075,241,9085880513.3
601127.SH,小康股份,7948315.382018605,1493665.6912531122,241,-1823911349.24
601238.SH,广汽集团,10453073.835729929,668635.0454854772,241,7334915288.0
601633.SH,长城汽车,28531534.42040414,1314991.2317551866,241,6726093883.72
601689.SH,拓普集团,5059934.801557859,688041.1918340249,241,1017253691.77
601727.SH,上海电气,5797755.395863918,297072.6171161826,241,-9987908000.0
601865.SH,福莱特,7534738.53451659,741944.7200456432,241,2119919326.43
601877.SH,正泰电器,9611764.53604222,1194118.4321493777,241,3400637980.92
601985.SH,中国核电,11573142.985994397,1037136.7186016598,241,8038084942.04
603185.SH,上机数控,5409115.859317145,1142305.3023153527,241,1711409280.61
603659.SH,璞泰来,10075528.444895482,1025440.336892116,241,1748727819.13
603799.SH,华友钴业,13325008.601956358,3181990.116697096,241,3897503525.74
603806.SH,福斯特,10892129.858743183,869686.1682033195,241,2196549310.84
688005.SH,容百科技,5302879.787701481,933665.5461286306,241,911041341.99
688116.SH,天奈科技,3181198.4242945565,400281.7262738589,241,295883218.86
688599.SH,天合光能,11128859.071453208,1129777.3023817427,241,1804231711.5
