code,name,mv_mean,amount_mean,num_days,profit,主营产品名称,主营产品类型,公司简介
603501.SH,韦尔股份,22862644.881525334,1982250.9124730292,241,4476187473.66,USB-C接口电路、保护器件、场效应晶体管、电源管理、模拟开关、双极型晶体管、肖特基二极管,半导体分立器件,公司是一家以自主研发、销售服务为主体的半导体器件设计和销售公司，主要从事设计、制造和销售应用于便携式电子产品、电视、电动车、电表、通信设备、网络设备、信息终端等领域的高性能集成电路，主要产品包括开关器件、信号放大器件、系统电源及控制方案、系统保护方案、电磁干扰滤波方案、分立器件。公司逐步引进大量人才，重点加强研发、品质等方面人才储备，同时建立了先进的可靠性实验室、EMC实验室，在产品的研发、试产、量产过程中，对产品质量层层把关，并为合作伙伴提供大量的EMC测试，在得到合作伙伴认可的同时，公司正逐步成为国际知名的半导体器件厂商。
002371.SZ,北方华创,15913394.266594946,2152776.0553983403,241,1077409991.25,高可靠高稳定电阻器、固体钽电容器、混合集成电路、集成电路制造设备、石英晶体器件,电子元器件、集成电路,公司是一家以电子专用设备和电子元器件为主要产品，集研发、生产、销售及服务于一体的大型综合性高科技公司。电子专用设备方面，公司以大规模集成电路制造工艺技术为核心，研发生产了集成电路工艺设备、太阳能电池制造设备、气体质量流量控制器(MFC)、TFT设备、真空热处理设备、锂离子电池制造设备等系列产品，广泛应用于半导体、光伏、电力电子、TFT-LCD、LED、MEMS、锂电等多个新兴行业。高精密电子元器件方面，公司依托多年的元器件技术积累，建立了新产品、新工艺研发体系，产品技术等级不断提升，研发生产了电阻、电容、晶体器件、微波组件、模块电源、混合集成电路等高精密电子元器件系列产品，广泛应用于精密仪器仪表、自动控制等领域。公司为中国电子专用设备工业协会理事长和中国电子元件协会副理事长单位，是中国最大的电子装备生产基地和高端电子元器件制造基地。公司始终站在电子信息技术的前沿，技术开发坚持以自主研发为主、对外技术合作为辅的发展道路。公司依靠自主研发创造了辉煌的业绩，保持了在国内同行业中的技术领先地位。
600703.SH,三安光电,14034947.266106755,2659682.409966805,241,1313021414.22,三安光电LED外延片、三安光电PIN光电二极管、三安光电氮化镓LED芯片、三安光电砷化镓LED芯片、三安光电太阳能电池,半导体分立器件、半导体太阳能光伏、集成电路,公司是国家发改委批准的“国家高科技产业化示范工程”企业、工业和信息化部认定的“国家技术创新示范企业”，承担了国家“863”、“973”计划等多项重大课题，拥有国家人事部颁发的博士后科研工作站及国家认定的企业技术中心。公司主要从事全色系超高亮度LED外延片、芯片、Ⅲ-Ⅴ族化合物半导体材料、微波通讯集成电路与功率器件、光通讯元器件等的研发、生产与销售，产品性能指标居国际先进水平。公司凭借强大的企业实力，继2014年扩大LED外延芯片研发与制造产业化规模、同时投资集成电路产业，建设砷化镓高速半导体与氮化镓高功率半导体项目之后，2018年三安光电在福建泉州南安高新技术产业园区，斥资333亿元投资Ⅲ-Ⅴ族化合物半导体材料、LED外延、芯片、微波集成电路、光通讯、射频滤波器、电力电子、SIC材料及器件、特种封装等产业。
600745.SH,闻泰科技,12962410.165504526,1546942.2611286307,241,2611542317.51,笔记本电脑、车联网、汽车电子、虚拟现实、移动终端、智能硬件、智能终端,电脑整机、电子设备及加工、互联网服务、移动通讯设备与配件、智能商用设备,闻泰科技是中国A股上市公司，主营业务包括半导体IDM、光学模组、通讯产品集成三大业务板块，已经形成从半导体芯片设计、晶圆制造、封装测试，到光学模组、通讯终端、服务器、笔记本电脑、IoT、汽车电子产品研发制造于一体的全产业链布局。旗下的安世半导体是全球知名的半导体IDM公司，是原飞利浦半导体标准产品事业部，有60多年半导体研发和制造经验，总部位于荷兰奈梅亨，晶圆制造工厂在德国汉堡和英国曼彻斯特，封装测试工厂位于中国东莞、菲律宾卡布尧和马来西亚芙蓉。安世半导体设备公司ITEC致力为全球半导体制造商带来经久耐用的创新性制造解决方案，提供半导体、RFID和MiniLED制造设备和系统，以高生产率水平的组装、测试、检测和智能制造平台为客户助力，帮助客户在质量、生产率和可持续性方面取得优势地位，同时把总体拥有成本降到低位。旗下的得尔塔科技在光学模组领域是主流供应商。公司采用flip-chip技术，实现更稳定的性能，更强的抗干扰、更小的产品尺寸，以满足特定客户的产品需求。得尔塔科技拥有FTIR、X-Ray、TBR、酸碱化学试验等解析和信赖试验设备一百多台，专注光学领域的研发和生产分析实验，聚焦摄像头模组的同时，积极布局新技术、新产品和新服务。公司以多年专业经验铸就有利竞争优势，未来随着摄像头高端化、双摄、三摄等技术的创新，其将不断向手机、IoT、智能汽车等领域延伸，从而实现高速增长。
002049.SZ,紫光国微,11633036.038619258,1676146.697165975,241,1953785798.57,DRAM存储器芯片、IGBT、IGTO、THD88芯片、Titan系列可编程系统芯片（FPGA）产品PGT180H、USB-Key主控芯片、第二代可编程系统集成芯片（SoPC）产品、高压超结MOSFET、蓝宝石衬底材料、石英晶体元器件、特种存储器、特种电源管理、特种接口驱动、特种可编程器件、特种微处理器、特种总线,电子元器件,公司是紫光集团旗下半导体行业上市公司，专注于集成电路芯片设计开发领域，是目前国内领先的集成电路芯片设计和系统集成解决方案供应商。公司专注于集成电路芯片设计开发业务，是领先的集成电路芯片产品和解决方案提供商，产品及应用遍及国内外，在智能安全芯片、高稳定存储器芯片、安全自主FPGA、功率半导体器件、超稳晶体频率器件等核心业务领域已形成领先的竞争态势和市场地位。公司深耕集成电路相关领域多年，凭借持续的技术积累、市场拓展和精心构筑的产品质量体系，智能芯片、特种行业集成电路、存储器芯片、FPGA以及晶体等核心业务已形成业内领先的竞争优势，产品及应用遍及国内外。
300782.SZ,卓胜微,11332512.471116025,1445771.5803360995,241,2134834604.14,IP授权、低功耗蓝牙微控制器芯片、射频低噪声放大器、射频开关,电子元器件,公司由硅谷留学人员创办于张江高科技园区，在知名风险投资红杉资本和盈富泰克的支持下，已迅速成长为一家在射频器件及无线连接专业方向上具有顶尖的技术实力和不凡市场竞争力的芯片设计公司。公司专注于移动互联领域，致力于开发无线通信的射频，射频与数字soc芯片产品，并为客户提供基于公司芯片的完整软硬件解决方案。经过8年多的研发积累，公司已拥有丰富的产品线，在行业内树立了领先的地位，销售方面亦已快速扩张，目前的产品已经得到诸如三星、华为、联想、展讯等***客户的采用。目前，公司已成为国内领先的射频器件及无线连接领域的专家，曾经推出或现有的产品线，如cmmb项目产品mxd0265、硅调谐器产品mxd1516、gps低噪放大器芯片mxdln16g及lte switch芯片mxd8650等。
603986.SH,兆易创新,10454467.230912024,2490691.240547718,241,2336793535.26,闪存芯片,集成电路,公司成立于2005年4月，是一家以中国为总部的全球化芯片设计公司。公司致力于各类存储器、控制器及周边产品的设计研发，已通过SGS ISO9001及ISO14001等管理体系的认证，在上海、合肥、中国香港设有全资子公司、在深圳设有分公司，在中国台湾地区设有办事处，并在韩国、美国、日本等地通过产品分销商为客户提供优质便捷的本地化服务。公司核心管理团队由来自世界各地的高级管理人员组成，每一位都曾在硅谷、韩国、台湾等各地著名IC企业工作多年，有着丰富的研发及管理经验。公司产品为NOR Flash、NAND Flash及MCU，广泛应用于手持移动终端、消费类电子产品、个人电脑及周边、网络、电信设备、医疗设备、办公设备、汽车电子及工业控制设备等各个领域。公司先后被评为“重大科技成果产业化突出贡献单位”、“创新型试点企业”。
688981.SH,中芯国际,10423059.247095434,1702576.0368215768,241,10733098000.0,光掩模制造、集成电路晶圆代工、设计服务与IP支持、凸块加工及测试,专业咨询服务,"公司是全球领先的集成电路晶圆代工企业之一，也是中国大陆技术最先进、规模最大、配套服务最完善、跨国经营的专业晶圆代工企业，主要为客户提供0.35微米至14纳米多种技术节点、不同工艺平台的集成电路晶圆代工及配套服务,在逻辑工艺领域，中芯国际是中国大陆第一家实现14纳米FinFET量产的晶圆代工企业，代表中国大陆自主研发集成电路制造技术的最先进水平；在特色工艺领域，中芯国际陆续推出中国大陆最先进的24纳米NAND、40纳米高性能图像传感器等特色工艺，与各领域的龙头公司合作，实现在特殊存储器、高性能图像传感器等细分市场的持续增长,除集成电路晶圆代工业务外，中芯国际亦致力于打造平台式的生态服务模式，为客户提供设计服务与IP支持、光掩模制造、凸块加工及测试等一站式配套服务，并促进集成电路产业链的上下游合作，与产业链各环节的合作伙伴一同为客户提供全方位的集成电路解决方案。"
688396.SH,华润微,8951537.43188141,960743.8598921162,241,2267920399.95,AC-DC、BMS IC、FRD、IGBT、LED驱动IC、MEMS传感器、MOSFET、SBD、电机驱动IC、光电传感产品、计量计算MCU、人机交互MCU、通用型MCU、无线充电IC、线性稳压IC、烟雾传感器、音频功放IC,电子元器件,公司是中国领先的拥有芯片设计、晶圆制造、封装测试等全产业链一体化经营能力的半导体企业，产品聚焦于功率半导体、智能传感器与智能控制领域，为客户提供丰富的半导体产品与系统解决方案。公司产品设计自主、制造全程可控，在分立器件及集成电路领域均已具备较强的产品技术与制造工艺能力，形成了先进的特色工艺和系列化的产品线。公司是华润集团半导体投资运营平台，始终以振兴民族半导体产业为己任，曾先后整合了华科电子、中国华晶、上华科技等中国半导体先驱。公司及下属相关经营主体曾建成并运营中国第一条4英寸晶圆生产线、第一条6英寸晶圆生产线，承担了多项国家重点专项工程。经过多年发展及一系列整合，公司已成为中国本土具有重要影响力的综合性半导体企业，自2004年起连续被工信部评为中国电子信息百强企业。公司已获得包括国家技术发明二等奖、“九五”国家重点科技攻关优秀科技成果奖、教育部技术发明一等奖、教育部技术发明二等奖、省级科技进步一等奖及国家级及省部级研发项目在内的多项重要奖项。
688012.SH,中微公司,8647865.454427037,1122703.8740331952,241,1011423670.06,MOCVD设备、VOC设备、电感性等离子体刻蚀设备、电容性等离子体刻蚀设备,电子设备及加工,公司是一家以中国为基地、面向全球的高端半导体微观加工设备公司，深耕芯片制造刻蚀领域，研制出了国内第一台电介质刻蚀机，是我国集成电路设备行业的领先企业。公司专注于集成电路、LED关键制造设备，核心产品包括：1)用于IC集成电路领域的等离子体刻蚀设备(CCP、ICP)、深硅刻蚀设备(TSV)；2)用于LED芯片领域的MOCVD设备。目前公司等离子体刻蚀设备已被广泛应用于国际一线客户从65纳米到14纳米、7纳米和5纳米的集成电路加工制造及先进封装。公司的MOCVD设备在行业领先客户的生产线上大规模投入量产，公司已成为世界排名前列、国内占主导地位的氮化镓基LED设备制造商。
