code,name,mv_mean,amount_mean,num_days,profit,主营产品名称,主营产品类型,公司简介
002129.SZ,中环股份,13237387.034922855,2349741.2192282155,241,4029617597.1,中环6芯片、中环单晶硅棒、中环单晶硅片、中环高压硅堆、中环硅桥式整流器、中环硅整流二极管、中环区熔单晶、中环区熔硅片、中环特种高压硅堆、中环肖特基二极管、中环直拉单晶、中环直拉硅片,半导体材料、半导体分立器件、电子元器件,公司是天津中环电子信息集团有限公司控股的公众公司。公司致力于半导体节能产业和新能源产业，是一家集科研、生产、经营、创投于一体的国有控股高新技术企业。公司围绕“绿色低碳、可持续发展”，致力于半导体节能和新能源两大产业，制造管理上推行自动化、产品创新上实现差异化，在自身快速发展的前提下推动行业的整体发展，实现回报股东、奉献社会。公司产品广泛应用于智能电网传输、新能源汽车、高铁、风能发电逆变器、集成电路、消费类电子、航天航空、光伏发电等多个领域。2018年公司收购国电光伏90%股权，有利于充分发挥公司主营业务综合优势，增强上市公司持续经营能力。
000063.SZ,中兴通讯,12305414.148049254,1843938.0718298755,241,6812941000.0,中兴xDSL终端、中兴刀片服务器、中兴多业务节点设备、中兴机架服务器、中兴基站、中兴基站监控系统、中兴计费结算系统、中兴家庭网关、中兴宽带网关、中兴宽带网络机顶盒、中兴路由交换机、中兴路由器、中兴模块电源、中兴手机、中兴通讯终端&业务管理平台（ZXCSM）系统、中兴网管系统、中兴小容量中继网关、中兴综合接入设备（IAD）,传输设备、电子元器件、服务器与工作站、计费结算系统、交换设备、接入设备、其他消费电子产品、通信系统与平台、通信终端设备、网管软件、移动通讯设备与配件,公司是全球领先的综合性通信制造业上市公司，是近年全球增长快速的通信解决方案提供商。公司拥有通信业界完整的、端到端的产品线和融合解决方案，通过全系列的无线、有线、业务、终端产品和专业通信服务，灵活满足全球不同运营商和企业网客户的差异化需求以及快速创新的追求。公司通过为全球多个国家和地区的电信运营商和企业网客户提供创新技术与产品解决方案，让全世界用户享有语音、数据、多媒体、无线宽带等全方位沟通。公司坚持以持续技术创新为客户不断创造价值。公司在美国、加拿大、瑞典、中国等地设立全球研发机构，凭借不断增强的创新能力、突出的灵活定制能力、日趋完善的交付能力赢得全球客户的信任与合作。公司在全球范围内开展社区公益和救助行动，参加了印尼海啸、海地及汶川地震等重大自然灾害救助，并成立了中国规模最大的“关爱儿童专项基金”。
000938.SZ,紫光股份,6597171.792351037,830172.3817095436,241,2147646278.03,紫光IBM IT产品销售、紫光IPv4／v6双栈核心路由器、紫光笔记本电脑、紫光耗材、紫光红外测温仪、紫光惠普IT产品销售、紫光家用消毒机、紫光刻录光盘、紫光苹果IT产品销售、紫光扫描仪、紫光数码相机、紫光台式电脑、紫光投影仪,IT产品销售、传输设备、存储设备、电脑配件、电脑整机、电气仪器仪表、光学设备、清洁器具、扫描仪、投影仪,公司是主营信息电子产业的中国高科技A股上市公司。公司的核心业务基本覆盖IT服务的重要领域：硬件方面提供智能网络设备、存储系统、全系列服务器等为主的面向未来计算架构的先进装备。公司结合全球信息产业的发展趋势及自身优势业务的特点，将公司战略聚焦于IT服务领域，致力于打造一条完整而强大的“云—网—端”产业链，向云计算、移动互联网和大数据处理等信息技术的行业应用领域全面深入，并成为集现代信息系统研发、建设、运营、维护于一体的全产业链服务提供商。公司源自清华，依托清华大学的综合性人才和科技资源优势，健康可持续发展，是国家重点高新技术企业、国家863计划成果产业化基地、历年入选中国电子信息“百强”企业。
002414.SZ,高德红外,5577502.01857144,432782.8972033195,241,1110939693.08,EasIR-4结实、快速检测红外热像仪、GUIDIR IR136制冷式高性能远程红外热像仪、GUIDIR IR300A制冷式多功能定位手持式红外热像仪、GUIDIR IR311D车载红外热像夜间驾驶仪、GUIDIR IR311S车载红外热像夜间驾驶仪、GUIDIR IR3137远程监控双视场红外热像仪、GUIDIR IR513S多功能手持红外热像仪、GUIDIR IR516小型手持红外热像仪、GUIDIR IR518手持式单目警用执法红外热像仪、GUIDIR IR519手持红外热像仪、GUIDIR IR528头盔式红外热像仪、GUIDIR IR529手持双目热像侦察仪、GUIDIR IR600超远距离探测红外热像仪、GUIDIR P变电站在线式红外监控系统、GUIDIRIR113非制冷机芯组件、GUIDIRIR116非制冷分离式机芯组件、GUIDIRIR118非制冷机芯组件、GUIDIRIR131制冷机芯组件、GUIDIRIR210高清晰度夜间红外监视热像仪、GUIDIRIR2137/ IR2150c远程监控双视场红外热像仪、GUIDIRIR2150/ IR2107远程监控红外热像仪、GUIDIRIR236智能型红外自动搜索测温系统/红外体温检测的领航者、GUIDIRIR320M/ IR320L连续变焦侦察红外热像仪、GUIDIRIR627- /IR256小型制冷红外热像仪、GUIDIRIR928+高性价比红外热像仪、MobIR M8高德第二代掌上红外热像仪、ThermoPro TP8S具备强大分析功能，高尖端专家级红外热像仪、ThermoPro TP8高尖端专家级红外热像仪、镜头和黑体、商用红外成像仪,电子测试和测量仪器,"公司是全球领先的红外热像仪专业研制厂商，在测温型红外热像仪里排名全球第四，是进入全球排名前五的唯一中国企业。公司积极开展红外光学、成像电路、图像处理、人工智能、机械结构及系统工程等方面的设计与研究，开发出数十款拥有完全知识产权的红外热像系统及高科技光电系统，各项技术居国内领先、国际先进水平。公司已顺利通过了ISO9001质量管理体系、GJB9001A质量管理体系等资质。并拥有“GuideIR”,“MobIR”，“ThermoPro”等驰名海外的注册商标。目前公司有数十多项国内、国际专利。产品广泛应用于电力、医疗、消防、公安、科研、建筑，交通夜视等领域，现已在全球多个国家和地区拥有经销商，并已在比利时开办了欧洲分公司。"
002916.SZ,深南电路,5018442.784498689,389561.0313153527,241,1480637000.32,PCBA板级、背板、处理器芯片封装基板、存储芯片封装基板、多功能金属基板、刚挠结合板、高频微波板、高速多层板、高速通信封装基板、功能性模块、厚铜板、射频模块封装基板、微机电系统封装基板、整机产品/ 系统总装,专用设备与零部件,公司始终专注于电子互联领域，致力于“打造世界级电子电路技术与解决方案的集成商”，拥有印制电路板、封装基板及电子装联三项业务，形成了业界独特的“3-In-One”业务布局：即以互联为核心，在不断强化印制电路板业务领先地位的同时，大力发展与其“技术同根”的封装基板业务及“客户同源”的电子装联业务。公司具备提供“样品→中小批量→大批量”的综合制造能力，通过开展方案设计、制造、电子装联、微组装和测试等全价值链服务，为客户提供专业高效的一站式综合解决方案。公司系国家火炬计划重点高新技术企业、印制电路板行业首家国家技术创新示范企业及国家企业技术中心；同时，公司系中国电子电路行业协会(CPCA)的理事长单位及标准委员会会长单位，主导、参与了多项行业标准的制定。
002180.SZ,纳思达,4846146.622768025,401645.8181375,240,1163229842.99,ASIC芯片、SoC芯片、Unismart、打印机整机、激光打印机及打印管理服务、墨水、企业内容管理软件、色带、碳粉、通用墨盒、通用硒鼓、原装硒鼓,打印机、电子元器件、行业专用软件、专用设备与零部件,公司是一家以集成电路芯片研发、设计、生产与销售为核心，以激光和喷墨打印耗材应用为基础，以打印机产业为未来的高科技企业，是全球行业内领先的打印机加密SoC芯片设计企业，是全球通用耗材行业的龙头企业。公司业务涵盖通用耗材芯片、打印机SoC芯片、喷墨耗材、激光耗材、针式耗材及其部件产品和材料，可为消费者提供全方位的打印耗材解决方案，产品销往全球多个国家和地区。公司坚持技术创新，已掌握了打印机和打印耗材加密SoC芯片核心技术，掌握了喷墨打印机微压阀供墨技术和百年不褪色的墨水技术，掌握了激光硒鼓的静电成像关键技术和采用嵌入式国产CPU打印机SoC芯片技术，在打印机产业的喷墨、激光、集成电路、精细化工等技术领域走在了全球行业的前列。
002008.SZ,大族激光,4422778.702768444,946953.6013278009,241,1994492609.85,大族激光打标机、大族激光雕刻机、大族激光焊接机、大族激光激光制版及印刷设备、大族激光切割机、大族激光钻孔机、大族油墨喷码机,电子设备及加工,公司是中国激光装备行业的领军企业，也是世界知名的激光加工设备生产厂商，主要从事激光加工设备的研发、生产和销售。公司承担建设的主要科研项目被国家科技部火炬高新技术产业中心认定为“国家级火炬计划项目”。公司通过不断自主研发把“实验室装置”变成可以连续24小时稳定工作的激光技术装备，是世界上仅有的几家拥有“紫外激光专利”的公司之一。在强大的资本和技术平台支持下，公司实现了从小功率到大型高功率激光技术装备研发、生产的跨越发展，为国内外客户提供一整套激光加工解决方案及相关配套设施。公司还被评为深圳市高新技术企业，深圳市重点软件企业，广东省装备制造业重点企业，国家级创新型试点企业，国家科技成果推广示范基地重点推广示范企业，国家规划布局内重点软件企业，主要科研项目被认定为国家级火炬计划项目。
603019.SH,中科曙光,4243309.477303311,683680.367186722,241,1157781112.14,中科曙光技术服务、中科曙光软件开发、中科曙光系统集成,行业专用软件、系统集成服务、专业咨询服务,公司是在中国科学院大力推动下，以国家“863”计划重大科研成果为基础组建的国家高新技术企业。公司主要从事研究、开发、生产制造高性能计算机、通用服务器及存储产品，并围绕高端计算机提供软件开发、系统集成与技术服务。公司是国内高性能计算领域的领军企业。由曙光公司研发的“星云”高性能计算机在第35届全球超级计算机“TOP500”中以每秒系统峰值达三千万亿次(3PFlops)、每秒实测Linpack值达1.271千万亿次的速度，取得了全球第二的成绩，成为世界上第三台实测性能超千万亿次的超级计算机，再次向世界力证了“中国速度”。自成立以来，曙光公司始终倡导着“自主创新服务中国”的品牌理念，以全面、专业、增值的服务为广大中国用户提供良好的应用体验，曙光的硬件产品、解决方案、云计算服务已被广泛应用于政府、能源、互联网、教育、气象、医疗及公共事业等社会各个领域。
000066.SZ,中国长城,4136147.8437438137,838208.3167510374,241,597624297.17,长城CRT显示器、长城MP3、长城笔记本电脑、长城打印机、长城电脑摄像头、长城电源、长城台式电脑、长城投影仪、长城液晶显示器、长城移动闪存、长城移动硬盘、长城至翔服务器,存储设备、打印机、电脑外围设备、电脑整机、电子元器件、服务器与工作站、投影仪、显示设备、音响产品,公司是中国电子网络安全与信息化的专业子集团，核心业务覆盖自主可控关键基础设施及解决方案、军工电子、重要行业信息化等领域，能够做到从芯片、整机、操作系统、中间件、数据库、安全产品到应用系统等计算机信息技术各方面完全自主可控且产品线完整的上市公司。公司相关业务水平处于国内领先地位，掌握众多自主可控和信息安全的核心技术，在军队国防、党政等关键领域和重要行业具有深厚的行业理解、丰富的服务经验、稳定良好的合作关系。公司在中国深圳、长沙、武汉、北京、株洲以及海外设有研发中心和生产基地。
603026.SH,石大胜华,3811126.5993361,1390999.1577634856,241,1178405919.29,MTBE、环氧丙烷、混合芳烃、燃料油、液化气,成品油、高分子聚合物、液化气,公司是教育部直属全国重点大学，国家“211工程'重点建设高校--中国石油大学(华东)的校办企业，是以基本有机化工产品的生产、销售为主的国家重点高新技术企业。主要产品有碳酸二甲酯、碳酸丙烯酯、碳酸乙烯酯、碳酸甲乙酯等碳酸酯类产品，六氟磷酸锂，电解液特种添加剂和MTBE等产品。凭借独特的技术和质量优势，公司已成为国内外多家锂离子电池电解液生产厂家的高品质溶剂原料供应商，为推动新能源行业的发展贡献了智慧和力量。公司生产的MTBE作为高品质汽油添加剂，能很好地满足未来清洁能源的需求。公司自成立以来，先后获得山东省管理创新优秀企业，东营市市长质量奖、安全生产工作先进单位、外经贸工作先进企业等多项荣誉称号。公司秉承“引领绿色化工潮流，提升健康生活品质”的使命，致力于成为全球优秀的碳酸酯类产品和锂离子电池材料供应商及具有持续盈利能力和行业影响力的上市公司。
