code,name,mv_mean,amount_mean,num_days,profit,code,name,mv_mean,amount_mean,num_days,profit
000063.SZ,中兴通讯,12305414.148049254,1843938.0718298755,241,6812941000.0,300101.SZ,振芯科技,1228852.4216929462,490667.2066846473,241,151478499.1
000066.SZ,中国长城,4136147.8437438137,838208.3167510374,241,597624297.17,300236.SZ,上海新阳,1321992.292479278,301173.6157219917,241,104116259.89
000938.SZ,紫光股份,6597171.792351037,830172.3817095436,241,2147646278.03,300327.SZ,中颖电子,1914083.5904383902,473024.0926846473,241,370653382.07
002008.SZ,大族激光,4422778.702768444,946953.6013278009,241,1994492609.85,300456.SZ,赛微电子,1715620.3664975062,405407.53319502075,241,205727463.64
002129.SZ,中环股份,13237387.034922855,2349741.2192282155,241,4029617597.1,300613.SZ,富瀚微,1757457.528108747,337537.2016058091,241,363867737.6
002180.SZ,纳思达,4846146.622768025,401645.8181375,240,1163229842.99,300666.SZ,江丰电子,1112391.7249628506,339731.86349377595,241,106626738.28
002407.SZ,多氟多,3343414.3464516345,2233272.628510373,241,1259706825.21,600171.SH,上海贝岭,1862942.002145826,1130645.6058174274,241,729298230.93
002414.SZ,高德红外,5577502.01857144,432782.8972033195,241,1110939693.08,600206.SH,有研新材,1224054.8719321992,408327.514813278,241,238760184.99
002916.SZ,深南电路,5018442.784498689,389561.0313153527,241,1480637000.32,603005.SH,晶方科技,1950887.832922855,632299.7445892117,241,576045056.34
600160.SH,巨化股份,3398409.0004182905,574103.2414522822,241,1109093339.47,603690.SH,至纯科技,1439288.9098327386,545395.112319502,241,281764365.4
603019.SH,中科曙光,4243309.477303311,683680.367186722,241,1157781112.14,688018.SH,乐鑫科技,1480428.8917886307,259714.1777759336,241,198427707.6
603026.SH,石大胜华,3811126.5993361,1390999.1577634856,241,1178405919.29,688019.SH,安集科技,1370023.933207552,200647.31193775934,241,125084063.28
688798.SH,艾为电子,3349995.3053892218,128357.15741317364,167,288349084.62,688037.SH,芯源微,1452319.8873858922,310315.488746888,241,77349494.43
