code,name,mv_mean,amount_mean,num_days,profit
000063.SZ,中兴通讯,12305414.148049254,1843938.0718298755,241,6812941000.0
000066.SZ,中国长城,4136147.8437438137,838208.3167510374,241,597624297.17
000938.SZ,紫光股份,6597171.792351037,830172.3817095436,241,2147646278.03
002008.SZ,大族激光,4422778.702768444,946953.6013278009,241,1994492609.85
002049.SZ,紫光国微,11633036.038619258,1676146.697165975,241,1953785798.57
002129.SZ,中环股份,13237387.034922855,2349741.2192282155,241,4029617597.1
002156.SZ,通富微电,2600368.2858149707,585177.9073402489,241,956691241.24
002180.SZ,纳思达,4846146.622768025,401645.8181375,240,1163229842.99
002185.SZ,华天科技,3710047.3098130375,849329.2744979254,241,1415671366.19
002371.SZ,北方华创,15913394.266594946,2152776.0553983403,241,1077409991.25
002407.SZ,多氟多,3343414.3464516345,2233272.628510373,241,1259706825.21
002409.SZ,雅克科技,3420225.4975139294,490091.9094149378,241,334750112.85
002414.SZ,高德红外,5577502.01857144,432782.8972033195,241,1110939693.08
002916.SZ,深南电路,5018442.784498689,389561.0313153527,241,1480637000.32
300223.SZ,北京君正,5557638.6367360875,1112515.8013112033,241,926181170.71
300316.SZ,晶盛机电,7760726.968944788,861510.7226348547,241,1711717145.99
300373.SZ,扬杰科技,2973502.4814991537,1015833.4712697095,241,768103337.9
300458.SZ,全志科技,2098560.3193280413,911127.0980207468,241,494458759.71
300474.SZ,景嘉微,3465850.3085177094,615764.8053651452,241,292740758.3
300604.SZ,长川科技,2526435.769924117,546452.5834632035,231,218236745.88
300623.SZ,捷捷微电,2234724.0349565977,629540.7525684647,241,497056872.37
300661.SZ,圣邦股份,6915231.479874067,656868.0477344398,241,699389578.69
300672.SZ,国科微,2322706.3986390745,694392.5905352697,241,293078019.06
300782.SZ,卓胜微,11332512.471116025,1445771.5803360995,241,2134834604.14
600160.SH,巨化股份,3398409.0004182905,574103.2414522822,241,1109093339.47
600460.SH,士兰微,7484719.656304792,2757443.0037333337,240,1517725588.3
600584.SH,长电科技,5628054.191601659,1385153.9739626558,241,2958712532.84
600703.SH,三安光电,14034947.266106755,2659682.409966805,241,1313021414.22
600745.SH,闻泰科技,12962410.165504526,1546942.2611286307,241,2611542317.51
603019.SH,中科曙光,4243309.477303311,683680.367186722,241,1157781112.14
603026.SH,石大胜华,3811126.5993361,1390999.1577634856,241,1178405919.29
603160.SH,汇顶科技,4728866.111794216,384570.6022738589,241,859921624.96
603290.SH,斯达半导,5854110.01203195,794750.5189792531,241,398382971.15
603501.SH,韦尔股份,22862644.881525334,1982250.9124730292,241,4476187473.66
603893.SH,瑞芯微,5024388.8529112525,445883.209626556,241,601778469.15
603986.SH,兆易创新,10454467.230912024,2490691.240547718,241,2336793535.26
605111.SH,新洁能,2213207.160349378,665618.1210539419,241,410461760.71
605358.SH,立昂微,4932380.835834257,660729.1253360995,241,600303350.38
688002.SH,睿创微纳,3613153.1121161827,288306.9811659751,241,461180017.63
688008.SH,澜起科技,7536548.430111943,482941.6856929461,241,829137544.38
688012.SH,中微公司,8647865.454427037,1122703.8740331952,241,1011423670.06
688099.SH,晶晨股份,4562735.996016597,336167.6385684647,241,811606706.2
688126.SH,沪硅产业-U,6772216.060032262,504322.258439834,241,146112351.76
688200.SH,华峰测控,2865367.2875566557,284639.8298630705,241,438773193.33
688256.SH,寒武纪-U,3692095.4761404567,208945.90024066388,241,-824949409.11
688396.SH,华润微,8951537.43188141,960743.8598921162,241,2267920399.95
688521.SH,芯原股份-U,3302234.436139187,213987.32370954356,241,13292357.58
688536.SH,思瑞浦,5060023.317312962,319655.27786307054,241,443535565.13
688798.SH,艾为电子,3349995.3053892218,128357.15741317364,167,288349084.62
688981.SH,中芯国际,10423059.247095434,1702576.0368215768,241,10733098000.0
