code,name,mv_mean,amount_mean,num_days,profit,code,name,mv_mean,amount_mean,num_days,profit
000783.SZ,长江证券,3960290.51050727,237758.10663070536,241,2409539473.91,000046.SZ,泛海控股,1073500.5579318835,105029.23387551868,241,-11254511485.01
000785.SZ,居然之家,3487345.5386878634,54875.33717012448,241,2325042862.2,000090.SZ,天健集团,1075196.7079061577,93262.191373444,241,1933357215.84
000831.SZ,五矿稀土,3351262.149649751,1976088.1717427385,241,195406410.4,000723.SZ,美锦能源,5075412.838433726,2590618.8815103737,241,2566946696.73
002240.SZ,盛新锂能,4097439.422545075,1991629.16919917,241,850648190.52,000733.SZ,振华科技,4920559.46765737,692099.525153527,241,1490958519.3
002326.SZ,永太科技,3414513.058183941,2050037.0740912864,241,280285674.06,000758.SZ,中色股份,1057785.021139751,280359.3766099585,241,41452741.24
002407.SZ,多氟多,3343414.3464516345,2233272.628510373,241,1259706825.21,000877.SZ,天山股份,6735499.806676129,316520.87232365145,241,12530042311.29
002624.SZ,完美世界,3332406.887370639,774188.4698423236,241,369153977.68,002013.SZ,中航机电,4878517.835132387,776346.3115062241,241,1271008185.55
002625.SZ,光启技术,4441794.629995469,664010.8602697095,241,271273806.89,002038.SZ,双鹭药业,1050574.0780082988,141741.48210373442,241,425939565.39
002756.SZ,永兴材料,4167942.407704149,1151602.691120332,241,887081411.57,002080.SZ,中材科技,4905203.978210788,874506.209593361,241,3373402277.4
300012.SZ,华测检测,4325930.599440307,343637.66638174275,241,746186939.78,002085.SZ,万丰奥威,1148012.014865112,95990.7219419087,241,333360575.48
300073.SZ,当升科技,3644577.426983079,1060121.8747012448,241,1090983029.97,002302.SZ,西部建设,1025115.5026026224,113826.38065145227,241,844760214.16
300144.SZ,宋城演艺,3931035.173523485,466918.5779626556,241,315130771.75,002340.SZ,格林美,4933161.154491796,2355373.355012448,241,923282889.28
300390.SZ,天华超净,4404133.555510622,1388641.3463236515,241,910697235.61,002375.SZ,亚厦股份,936095.9768061576,92880.75260580912,241,-887957335.01
300558.SZ,贝达药业,3358913.7334574065,254618.184373444,241,383067840.44,002424.SZ,贵州百灵,963480.6970954356,226308.37131950207,241,124206526.69
300676.SZ,华大基因,3976650.103931224,397625.78818257264,241,1461536272.38,002440.SZ,闰土股份,1051146.44813278,100101.1906099585,241,835615920.37
300677.SZ,英科医疗,3432967.155505535,1044407.1639751038,241,7430075719.0,002458.SZ,益生股份,1006538.8024640664,144816.6606846473,241,28453502.07
300769.SZ,德方纳米,3867849.753094988,832454.6301825726,241,800592881.91,003022.SZ,联泓新科,4901365.748979253,509410.8503153527,241,1090569755.94
300832.SZ,新产业,3787411.524983112,137208.35963070538,241,973696489.03,300133.SZ,华策影视,1106762.6355039545,166981.9940912863,241,400394377.75
300888.SZ,稳健医疗,3762814.216694888,179486.6566846473,241,1239320067.26,300223.SZ,北京君正,5557638.636736088,1112515.8013112033,241,926181170.71
600079.SH,人福医药,3602929.321807088,346425.8429875519,241,1389544934.27,300271.SZ,华宇软件,1131200.462907996,357692.3864813278,241,294580397.37
600096.SH,云天化,3781867.4638442034,2339398.9277593363,241,3641935184.27,300315.SZ,掌趣科技,1115110.5886644316,264352.62380912865,241,-1244511637.55
600109.SH,国金证券,3341327.2247385057,441504.861153527,241,2317318717.0,300751.SZ,迈为股份,5884955.7705804445,783777.1261369294,241,642802185.94
600143.SH,金发科技,3889384.096126029,719502.9013526972,241,1661495265.86,300763.SZ,锦浪科技,5320183.189005407,848585.6020829875,241,473833499.69
600499.SH,科达制造,3537872.461424428,1302313.60106639,241,1005757290.67,600158.SH,中体产业,1103893.904600365,259643.76984647303,241,54919724.37
600848.SH,上海临港,3692747.772569087,117665.17661825726,241,1535216162.03,600188.SH,兖矿能源,7270796.212691137,932803.6181161824,241,16258908000.0
600927.SH,永安期货,3810428.807747852,496892.8958765432,81,1306554365.77,600266.SH,城建发展,1043054.075113693,78282.49587136929,241,641255003.77
601058.SH,赛轮轮胎,3421887.269074523,388820.5493278008,241,1312965471.12,600466.SH,蓝光发展,705514.2850225727,192646.1937095436,241,-13834223760.01
601108.SH,财通证券,3706940.908442536,496776.89002553193,235,2566175327.88,600639.SH,浦东金桥,1073489.104670303,77475.98924896267,241,1623000060.87
601162.SH,天风证券,3606609.150017128,384494.42956431536,241,586354789.34,600643.SH,爱建集团,1097408.8829480333,63761.66528215768,241,1152155643.38
601607.SH,上海医药,3922929.779535892,410487.8194605809,241,5093467260.97,600649.SH,城投控股,1113664.0411562987,88568.22357261411,241,911542960.62
601696.SH,中银证券,3994118.489626556,637520.8725601659,241,961625314.57,600657.SH,信达地产,1111936.814021473,146590.87848547718,241,815251105.89
601933.SH,永辉超市,3975612.198486444,261958.7434688797,241,-3943871849.8,600729.SH,重庆百货,1076620.635688195,69290.22607883817,241,979897045.73
601990.SH,南京证券,3564848.78481288,447250.90182572615,241,977274472.85,600733.SH,北汽蓝谷,4916566.575585555,1219947.0351452285,241,-5243780936.01
603026.SH,石大胜华,3811126.5993361,1390999.1577634856,241,1178405919.29,600754.SH,锦江酒店,4866469.201974814,282898.95443153527,241,100621020.29
603233.SH,大参林,3321257.0394224897,197571.0805228216,241,791230980.5,600776.SH,东方通信,1086051.773951203,146967.32130705396,241,116179773.22
603345.SH,安井食品,4310417.909029809,388635.3099045644,241,682296084.71,600803.SH,新奥股份,5122264.918211465,266264.2062033195,241,4101650000.0
603517.SH,绝味食品,3986376.5892593567,372021.8169875519,241,980937033.6,600811.SH,东方集团,1149206.6215993362,143408.98993360996,241,-1718745862.41
603658.SH,安图生物,3475659.5866357638,257135.22917012445,241,973663074.64,600884.SH,杉杉股份,5205401.809461025,1511820.2463983404,241,3339696517.63
603737.SH,三棵树,4823715.018476746,257584.60156846477,241,-416891144.98,600903.SH,贵州燃气,1080458.738265473,80334.27041908714,241,176315462.27
603816.SH,顾家家居,4415969.3291122615,231609.845,241,1664450239.44,600908.SH,无锡银行,1088305.167796224,117930.01819917012,241,1580041000.0
603939.SH,益丰药房,3654223.12332027,230766.92021576763,241,887884497.85,601117.SH,中国化学,5744771.773818108,818262.3242240665,241,4633424155.7
605117.SH,德业股份,3520536.5800456437,501673.8423775933,241,578555272.84,601689.SH,拓普集团,5059934.801557859,688041.1918340249,241,1017253691.77
688009.SH,中国通号,4389886.754946059,79771.29972614108,241,3274672689.28,601975.SH,招商南油,987274.8023383444,102646.319406639,241,296441074.65
688122.SH,西部超导,3459597.1041934774,449228.5439585062,241,741478943.86,603290.SH,斯达半导,5854110.01203195,794750.5189792531,241,398382971.15
688180.SH,君实生物-U,4729062.06093361,537523.5567053942,241,-720909747.05,603708.SH,家家悦,931043.1474795892,57389.72119087137,241,-293370380.76
688185.SH,康希诺,4355987.79253854,713966.0101742739,241,1914390000.0,603893.SH,瑞芯微,5024388.8529112525,445883.209626556,241,601778469.15
688256.SH,寒武纪-U,3692095.4761404567,208945.90024066388,241,-824949409.11,605358.SH,立昂微,4932380.835834257,660729.1253360995,241,600303350.38
688567.SH,孚能科技,3410402.8148466595,301812.6552199169,241,-952720292.43,688005.SH,容百科技,5302879.787701481,933665.5461286306,241,911041341.99
688777.SH,中控技术,4235105.31106639,151549.45109128632,241,581664803.55,688065.SH,凯赛生物,5419243.022925312,133793.14780497926,241,607892085.94
688819.SH,天能股份,4112108.041908714,192224.78963900416,241,1369365754.85,688536.SH,思瑞浦,5060023.317312962,319655.27786307054,241,443535565.13
