code,name,mv_mean,amount_mean,num_days,profit
000009.SZ,中国宝安,4229129.646917656,1601079.0391037343,241,1035599088.75
000012.SZ,南玻A,1873209.9987432824,483020.0969917012,241,1529329304.0
000021.SZ,深科技,2380930.306584096,270943.8434190871,241,775394154.82
000027.SZ,深圳能源,3925754.730227535,546554.7200290456,241,2128517433.75
000028.SZ,国药一致,1308924.3061776098,91419.6455186722,241,1336427752.22
000031.SZ,大悦城,1587412.1346297387,67859.95790041494,241,107510183.02
000039.SZ,中集集团,2519039.097068713,345289.457593361,241,6665323000.0
000050.SZ,深天马A,3170321.114597731,208596.1494481328,241,1542457101.05
000060.SZ,中金岭南,1800124.7229493444,393504.8612157676,241,1171686790.09
000062.SZ,深圳华强,1605292.8744890788,115232.14850207468,241,883433133.98
000089.SZ,深圳机场,1522394.2761272322,89412.28424896266,241,-34439109.75
000156.SZ,华数传媒,1436260.9865570622,76969.03171369294,241,906794208.2
000158.SZ,常山北明,1219399.6283740706,628223.6415394191,241,131004083.67
000400.SZ,许继电气,1919164.847763448,828833.7232531119,241,724373048.45
000401.SZ,冀东水泥,2320133.269831,180342.1718908297,229,2810209681.15
000402.SZ,金融街,1825690.476430494,161462.07554356847,241,1642803603.61
000415.SZ,渤海租赁,1600122.9876258422,70877.54740248962,241,-1232137000.0
000488.SZ,晨鸣纸业,1349016.0631440664,353631.7886970955,241,2065513108.71
000513.SZ,丽珠集团,2509175.0765425893,368343.8934937759,241,1775683251.01
000519.SZ,中兵红箭,2696439.1146358754,1307091.8756390042,241,485335353.38
000528.SZ,柳工,1189716.0610997349,133744.07097826086,230,995312780.88
000537.SZ,广宇发展,2477021.1764703733,393626.6677510373,241,-1357832006.29
000540.SZ,中天金融,1811221.6776065105,130640.09559751036,241,-6416035084.38
000547.SZ,航天发展,2611074.5289249797,579230.8989709544,241,644201382.43
000553.SZ,安道麦A,1897376.931719992,51060.96432365145,241,157397000.0
000559.SZ,万向钱潮,1897472.9256780744,152478.17067634856,241,686493962.08
000563.SZ,陕国投A,1273796.8748248052,63939.20841078838,241,732224654.54
000581.SZ,威孚高科,1797646.4539197923,228389.00201659751,241,2575371419.8
000598.SZ,兴蓉环境,1640338.551742589,101975.81234854773,241,1494427999.76
