code,name,mv_mean,amount_mean,num_days,profit
603501.SH,韦尔股份,22862644.88152533,1982250.9124730288,241,4476187473.66
002371.SZ,北方华创,15913394.266594946,2152776.0553983403,241,1077409991.25
002049.SZ,紫光国微,11633036.038619258,1676146.697165975,241,1953785798.57
300782.SZ,卓胜微,11332512.471116023,1445771.5803360995,241,2134834604.14
603986.SH,兆易创新,10454467.230912024,2490691.240547718,241,2336793535.26
688981.SH,中芯国际,10423059.247095434,1702576.0368215768,241,10733098000.0
688396.SH,华润微,8951537.43188141,960743.8598921162,241,2267920399.95
688012.SH,中微公司,8647865.454427037,1122703.8740331952,241,1011423670.06
688008.SH,澜起科技,7536548.430111943,482941.6856929461,241,829137544.38
600460.SH,士兰微,7484719.656304792,2757443.0037333337,240,1517725588.3
300661.SZ,圣邦股份,6915231.479874067,656868.0477344398,241,699389578.69
688126.SH,沪硅产业-U,6772216.060032262,504322.258439834,241,146112351.76
603290.SH,斯达半导,5854110.01203195,794750.5189792531,241,398382971.15
600584.SH,长电科技,5628054.191601659,1385153.9739626558,241,2958712532.84
300223.SZ,北京君正,5557638.636736088,1112515.8013112033,241,926181170.71
688536.SH,思瑞浦,5060023.317312962,319655.27786307054,241,443535565.13
603893.SH,瑞芯微,5024388.8529112525,445883.209626556,241,601778469.15
605358.SH,立昂微,4932380.835834257,660729.1253360995,241,600303350.38
603160.SH,汇顶科技,4728866.111794216,384570.6022738589,241,859921624.96
688099.SH,晶晨股份,4562735.996016597,336167.6385684647,241,811606706.2
002185.SZ,华天科技,3710047.3098130375,849329.2744979254,241,1415671366.19
688256.SH,寒武纪-U,3692095.4761404567,208945.90024066388,241,-824949409.11
688002.SH,睿创微纳,3613153.112116183,288306.9811659751,241,461180017.63
300474.SZ,景嘉微,3465850.3085177094,615764.8053651452,241,292740758.3
002409.SZ,雅克科技,3420225.4975139294,490091.9094149378,241,334750112.85
688521.SH,芯原股份-U,3302234.436139187,213987.3237095436,241,13292357.58
688608.SH,恒玄科技,3119252.614107884,225953.1589087137,241,407716464.97
300373.SZ,扬杰科技,2973502.4814991537,1015833.4712697096,241,768103337.9
688200.SH,华峰测控,2865367.287556656,284639.8298630705,241,438773193.33
002156.SZ,通富微电,2600368.2858149707,585177.9073402489,241,956691241.24
300604.SZ,长川科技,2526435.769924117,546452.5834632035,231,218236745.88
300672.SZ,国科微,2322706.3986390745,694392.5905352697,241,293078019.06
300623.SZ,捷捷微电,2234724.0349565977,629540.7525684647,241,497056872.37
605111.SH,新洁能,2213207.160349378,665618.1210539419,241,410461760.71
300458.SZ,全志科技,2098560.3193280413,911127.0980207468,241,494458759.71
300346.SZ,南大光电,1957477.5528289373,1105990.479485477,241,136226627.1
603005.SH,晶方科技,1950887.832922855,632299.7445892117,241,576045056.34
300327.SZ,中颖电子,1914083.5904383904,473024.0926846473,241,370653382.07
600171.SH,上海贝岭,1862942.002145826,1130645.6058174274,241,729298230.93
300613.SZ,富瀚微,1757457.528108747,337537.2016058091,241,363867737.6
300456.SZ,赛微电子,1715620.3664975062,405407.5331950208,241,205727463.64
688699.SH,明微电子,1566208.9034356845,326015.44648547715,241,647244552.19
688018.SH,乐鑫科技,1480428.8917886307,259714.1777759336,241,198427707.6
688037.SH,芯源微,1452319.8873858922,310315.488746888,241,77349494.43
600877.SH,声光电科,1419193.433910332,124496.18058297872,235,139040566.64
688019.SH,安集科技,1370023.933207552,200647.3119377593,241,125084063.28
300077.SZ,国民技术,1334712.8666779662,972936.3170932204,236,218975957.1
300655.SZ,晶瑞电材,1291778.4975450663,643648.0440165976,241,200996573.6
688508.SH,芯朋微,1236153.2738589211,217647.07189211616,241,201280924.67
600206.SH,有研新材,1224054.8719321992,408327.514813278,241,238760184.99
688233.SH,神工股份,1131318.838174274,236103.77151037345,241,218442472.45
300666.SZ,江丰电子,1112391.7249628506,339731.86349377595,241,106626738.28
002079.SZ,苏州固锝,1034948.6715132698,487077.0353609959,241,217714402.67
688595.SH,芯海科技,950539.0041493776,177423.04533195018,241,95622641.67
603068.SH,博通集成,903019.8366397924,144845.70775103735,241,58463643.79
600360.SH,华微电子,827264.5196873692,366287.8970871369,241,115707257.28
003026.SZ,中晶科技,747232.6177593361,178336.67697925313,241,131336444.16
688135.SH,利扬芯片,576426.9659751038,126792.068,241,105841853.17
300046.SZ,台基股份,566138.7842299005,352918.6552074689,241,44087780.91
002119.SZ,康强电子,544794.0211784232,260844.86947717844,241,181236420.71
603078.SH,江化微,521785.8366776653,232606.1976987448,239,56507706.01
300831.SZ,派瑞股份,502750.5394190871,222239.3652448133,241,53377985.99
