code,name,mv_mean,amount_mean,num_days,profit,主营产品名称,主营产品类型,公司简介
600893.SH,航发动力,14221796.92261932,2170498.6456348547,241,1187619447.38,“西航”铝型材及制品、航空动力5级低气压压气机转子组件、航空动力900型变压器铁芯横剪生产线、航空动力GA731型系列扰性剑杆织机、航空动力TP系列烟气轮机、航空动力WP8型发动机、航空动力安装在波音737飞机上的动力装置、航空动力安装在麦道12飞机上的动力装置、航空动力安装在运七、运八飞机上的涡轮发电装置、航空动力大功率风力发电机、航空动力低压涡轮轴承座、航空动力电感量仪、航空动力高速离心叶轮、航空动力高速线材精轧机组、航空动力各种拉刀、航空动力减速器、航空动力扩散机匣、航空动力螺旋推进器、航空动力膨胀节、航空动力燃气轮机、航空动力石油测井仪器的精密部件、航空动力为200MW汽轮发电机改造生产的盘、航空动力涡轮导向器机匣、航空动力涡轮起动机、航空动力涡扇9型飞机发动机、航空动力硬齿面减速器、航空动力自动扶梯型材拉弯机、华润生化玉米淀粉,变电设备、淀粉类、动力机械、发电机及附属设备、发动机设备、铝合金及制品、轻型工程机械、五金加工机械,公司是国内大型航空发动机制造基地企业，国内唯一的生产制造涡喷、涡扇、涡轴、涡桨、活塞全种类军用航空发动机的企业。公司主要业务分为三类：航空发动机及衍生产品、外贸出口转包业务、非航空产品及其他业务。主要产品和服务有军民用航空发动机整机及部件、民用航空发动机零部件出口、军民用燃气轮机、军民用航空发动机维修保障服务。目前已具备涵盖航空发动机全寿命周期的设计、制造、总装、试车、维修整套技术和发动机综合服务保障能力，综合技术水平国内领先。公司建立了具有国际先进水平的机匣数控加工中心、表面处理中心，以及亚洲规模领先的喷涂中心、精密铸造、精密锻造、盘环加工等专业生产线；拥有国内最大的叶片生产线，全套弧齿锥齿轮加工机群、自动焊接机器设备、激光切割设备等各类高精设备，构建起了具有高科技水准的航空发动机制造技术基础平台。关键工艺制造技术国内领先，部分关键技术接近世界先进水平。在叶轮、盘、轴、机匣加工、整体结构件、精密铸造、精密锻造等关键点上具备了国内一流的制造能力。公司具备涡喷、涡扇、涡轴、涡桨、活塞全种类航空发动机生产制造能力，是三代主战机型发动机国内唯一供应商。
600760.SH,中航沈飞,12363937.052469555,1322207.954726141,241,1695718597.26,国内外民机零部件、航空防务装备、歼击机、民用航空产品,飞机制造、航空零部件,"公司原是原国家机械局定点生产低速货车的骨干企业，主营“黑豹”牌四轮低速货车、微型汽车、轻型载货汽车、轿卡车、电动车、工程自卸车、矿泉水等系列产品.2017年通过重大资产重组,公司置出原有资产和负债,并置入沈飞集团100%股权.沈飞集团主要从事航空产品制造业务，重组完成后上市公司将主要从事航空产品制造业务，核心产品为航空防务装备。航空防务装备是维护国家主权领土完整和政治安全的重要保障，在国防信息化建设进程、国防装备升级换代过程中市场空间广阔。"
002049.SZ,紫光国微,11633036.038619258,1676146.697165975,241,1953785798.57,DRAM存储器芯片、IGBT、IGTO、THD88芯片、Titan系列可编程系统芯片（FPGA）产品PGT180H、USB-Key主控芯片、第二代可编程系统集成芯片（SoPC）产品、高压超结MOSFET、蓝宝石衬底材料、石英晶体元器件、特种存储器、特种电源管理、特种接口驱动、特种可编程器件、特种微处理器、特种总线,电子元器件,公司是紫光集团旗下半导体行业上市公司，专注于集成电路芯片设计开发领域，是目前国内领先的集成电路芯片设计和系统集成解决方案供应商。公司专注于集成电路芯片设计开发业务，是领先的集成电路芯片产品和解决方案提供商，产品及应用遍及国内外，在智能安全芯片、高稳定存储器芯片、安全自主FPGA、功率半导体器件、超稳晶体频率器件等核心业务领域已形成领先的竞争态势和市场地位。公司深耕集成电路相关领域多年，凭借持续的技术积累、市场拓展和精心构筑的产品质量体系，智能芯片、特种行业集成电路、存储器芯片、FPGA以及晶体等核心业务已形成业内领先的竞争优势，产品及应用遍及国内外。
002179.SZ,中航光电,9486674.08597054,761874.1778547718,241,1990997442.19,光电科技光无源器件、光电科技接线端子、光电科技矩形电连接器、光电科技滤波电连接器、光电科技射频同轴电连接器、光电科技特种连接器、光电科技圆形电连接器,电子元器件、通信终端设备,公司是中国专业为军工防务及高端制造领域提供互连技术解决方案的高科技企业。公司产品广泛应用于航空航天和军事领域、通讯网络与数据中心、轨道交通、新能源汽车、电力、石油装备、医疗设备以及智能装备等民用高端制造领域；产品远销欧洲、美国、以色列、澳大利亚、韩国、印度等海外多个国家和地区。公司总部拥有“国家认定企业技术中心”、“博士后科研工作站”以及国家和国防认可实验室，专业从事中高端光、电、流体连接技术与设备的研究与开发。公司通过了AS9100国际航空航天质量管理体系认证、ISO9001(2000)质量体系认证、TS16949体系认证、ISO14001环境体系认证、OHSAS18001职业健康安全管理体系认证等。公司多项重点产品通过了UL、CUL、CE、TUV、CB等安规认证。
601989.SH,中国重工,9414212.932669394,433112.6082821577,241,219908725.54,中国重工船用齿轮箱、中国重工船用阀门、中国重工船用控制系统、中国重工船用特种材料、中国重工船用涂料、中国重工低速、中速船用柴油机、中国重工电子导航设备、中国重工吊机、中国重工舵机、中国重工风电齿轮箱、中国重工核电站水处理系统、中国重工核电站应急柴油机组、中国重工核电站用管道及管件设备、中国重工活塞、中国重工舰艇用柴油机及部件、中国重工舰艇用传动装置、中国重工舰艇用导航设备、中国重工舰艇用通讯设备、中国重工舰载武器发射装置、中国重工军用加固计算机、中国重工克令吊、中国重工连杆、中国重工螺旋桨、中国重工锚绞机、中国重工曲轴、中国重工燃油喷射系统、中国重工铁路货车、中国重工无缝钢管、中国重工油污水处理装置、中国重工增压器,船舶(配件)及其维修、发动机设备、钢管类、涂料与油漆、污水处理、重型卡车与专用车,公司是国内研发生产体系最完整、产品门类最齐全的船舶配套设备制造企业，业务贯穿整个船舶配套业的价值链，可生产从铸钢件、锻钢件等基础船舶配套材料到船用柴油机、甲板机械等复杂船舶配套设备等。公司是国内海军舰船装备的主要研制和供应商，核心产品中、低速船用柴油机、船用螺旋桨、甲板机械等凭借其合理的价格、可靠的品质和完善的售后服务在国内市场上享有良好的信誉，拥有广泛的客户基础和较高的市场份额。拥有强大的研发力量和较高的技术水平，专注于船用柴油机及部件、船用电子设备、卫星通信导航设备等船舶配套设备的技术研究。公司作为国内海军舰船装备的主要研制和供应商，长期以来坚持军民结合的方针，推进军民深度融合发展。公司充分利用军工技术、设施和人才优势开发军民两用技术，培育和发展高技术产业，充分利用设备设施的通用性以及较强的加工制造能力，实现科技成果的工程化应用，不断拓展民品市场领域。
000768.SZ,中航西飞,8261740.285248394,1223680.0943817426,241,652910969.43,ARJ-21飞机机身、ARJ-21飞机机翼零部件、波音747组件、西飞VCM产品、西飞铝合金型材、西飞装饰材料、新舟60飞机、新舟60飞机零部件,飞机制造、航空零部件、铝合金及制品、装饰材料,公司是科研、生产一体化的特大型航空工业企业，是我国大中型军民用飞机的研制生产基地，国家一级企业。公司拥有国内大中型军民用飞机、全系列飞机起落架及机轮刹车系统的核心资源，主要承担各种大中型军民用飞机、起落架和机轮刹车系统的研发、制造、销售、维修与服务。公司业务清晰、资源集中、实力雄厚，是国内航空产业的骨干力量，是美国波音公司、欧洲空客公司等世界知名飞机制造商的重要合作伙伴。公司以建设治理规范高效、业绩卓越常青的优秀上市公司为己任，致力于成为国际化大中型飞机产业引领者。
601698.SH,中国卫通,5697161.825726141,152368.00007053942,241,572304982.46,定制服务、卫星广播、卫星通信、应急保障、应用服务,通信系统与平台、专业咨询服务,"公司是中国航天科技集团公司从事卫星运营服务业的核心专业子公司,主营业务为卫星空间段运营及相关应用服务，主要应用于卫星通信广播,公司通过投资、建设和运营通信广播卫星及配套地面测控和监测系统，为用户提供广播电视、通信、视频、数据等传输服务。公司已经构建了完整的卫星空间段运营体系,并在北京西北旺、北京沙河、中国香港大埔设立了测控中心，在北京西北旺、北京沙河、河北怀来、新疆喀什、海南海口建立了业务运行监测网络，对在轨卫星的运行状态进行测控并对信号传输质量进行实时监测。中国卫通目前拥有的转发器频段资源涵盖C频段、Ku频段以及Ka频段等，其中C频段、Ku频段的卫星转发器资源达到540余个，Ka频段的点波束有26个，卫星通信广播信号覆盖包括中国全境、澳大利亚、东南亚、南亚、中东、欧洲、非洲等地区。公司是我国唯一拥有自主可控商用通信广播卫星资源的基础电信运营企业，被工信部列为国家一类应急通信专业保障队伍，是国家行业主管部门直接指挥调度的保障力量。"
002414.SZ,高德红外,5577502.01857144,432782.8972033195,241,1110939693.08,EasIR-4结实、快速检测红外热像仪、GUIDIR IR136制冷式高性能远程红外热像仪、GUIDIR IR300A制冷式多功能定位手持式红外热像仪、GUIDIR IR311D车载红外热像夜间驾驶仪、GUIDIR IR311S车载红外热像夜间驾驶仪、GUIDIR IR3137远程监控双视场红外热像仪、GUIDIR IR513S多功能手持红外热像仪、GUIDIR IR516小型手持红外热像仪、GUIDIR IR518手持式单目警用执法红外热像仪、GUIDIR IR519手持红外热像仪、GUIDIR IR528头盔式红外热像仪、GUIDIR IR529手持双目热像侦察仪、GUIDIR IR600超远距离探测红外热像仪、GUIDIR P变电站在线式红外监控系统、GUIDIRIR113非制冷机芯组件、GUIDIRIR116非制冷分离式机芯组件、GUIDIRIR118非制冷机芯组件、GUIDIRIR131制冷机芯组件、GUIDIRIR210高清晰度夜间红外监视热像仪、GUIDIRIR2137/ IR2150c远程监控双视场红外热像仪、GUIDIRIR2150/ IR2107远程监控红外热像仪、GUIDIRIR236智能型红外自动搜索测温系统/红外体温检测的领航者、GUIDIRIR320M/ IR320L连续变焦侦察红外热像仪、GUIDIRIR627- /IR256小型制冷红外热像仪、GUIDIRIR928+高性价比红外热像仪、MobIR M8高德第二代掌上红外热像仪、ThermoPro TP8S具备强大分析功能，高尖端专家级红外热像仪、ThermoPro TP8高尖端专家级红外热像仪、镜头和黑体、商用红外成像仪,电子测试和测量仪器,"公司是全球领先的红外热像仪专业研制厂商，在测温型红外热像仪里排名全球第四，是进入全球排名前五的唯一中国企业。公司积极开展红外光学、成像电路、图像处理、人工智能、机械结构及系统工程等方面的设计与研究，开发出数十款拥有完全知识产权的红外热像系统及高科技光电系统，各项技术居国内领先、国际先进水平。公司已顺利通过了ISO9001质量管理体系、GJB9001A质量管理体系等资质。并拥有“GuideIR”,“MobIR”，“ThermoPro”等驰名海外的注册商标。目前公司有数十多项国内、国际专利。产品广泛应用于电力、医疗、消防、公安、科研、建筑，交通夜视等领域，现已在全球多个国家和地区拥有经销商，并已在比利时开办了欧洲分公司。"
000733.SZ,振华科技,4920559.46765737,692099.525153527,241,1490958519.3,振华程控交换机、振华电话机、振华高压真空开关管、振华厚膜混合集成电路、振华片式电感器、振华片式电阻器、振华片式二极管、振华片式三极管、振华片式钽电容器,半导体分立器件、电话机及配件、电子元器件、集成电路、交换设备,公司为股份制大型企业，主要从事电子信息产品的研制生产和销售，其主导产品有：以片式钽电容器、片式电阻器、片式电感器、片式二、三极管、厚膜混合集成电路和高压真空开关管为代表的新型电子元器件；以程控交换机、电子电话机(移动、无绳及可视电话机)为代表的通信整机；以电力自动化控制系统为代表的光机电一体化设备等。主导产品在性能、质量以及市场占有率上均处于国内同类产品先进水平，并且全部通过ISO9001：2000质量管理体系认证和国军标质量体系认证。公司还拥有国家批准的技术中心和博士后科研工作站，被国家科技部认定为国家重点高新技术企业和国家高新技术研究发展计划(863计划)成果产业化基地。
002013.SZ,中航机电,4878517.835132387,776346.3115062241,241,1271008185.55,车船载产业、第二动力系统、电力电气装备、电力系统、防护救生系统、防火除冰系统、高升力系统、环境控制系统、货运系统、空投空降系统、燃油系统、悬挂与发射系统、液压系统、制冷及医疗器械产业、座椅及客舱设备,航空零部件、医疗器械用制剂、专用设备与零部件,公司是中航工业旗下航空机电系统业务的专业化整合和产业化发展平台，经过几年发展，公司已经发展成为一个资产超百亿的大型企业。业务范围从研制、生产调角器、滑轨、拨叉等座椅精密调节装置及精冲制品、精密冲压模具等业务，扩大到航空机电系统业务范围，包括机载飞行控制子系统，机载悬挂与发射控制系统、机载电源分系统(交直流发电及控制、机上一次配电装置、应急发电子系统、变流/变压等装置)、航空机载燃油测量系统、机载液压作动装置、发动机点火系统及装置、无人机发射等系统的研发、制造和销售。公司的军用航空机电业务为我国在研在产的军用飞机提供配套产品和服务，产品研制能力基本达到了国外同等产品的水平；民用飞机机电系统方面，中航精机创新了民机项目组织模式，借助C919项目建立了民机项目组织管理体系，组建了电源、液压燃油、高升力等系统工作团队，为部分民用机型提供配套产品并开展适航取证研究，部分产品已经取得CTSOA适航证。
