code,name,mv_mean,amount_mean,num_days,profit,主营产品名称,主营产品类型,公司简介
600150.SH,中国船舶,9094377.67576434,1313809.2935767637,241,213814622.44,中国船舶10.5万吨阿芙拉型原油轮、中国船舶15万吨FPSO储油轮、中国船舶17.5万吨好望角型散货船、中国船舶17万吨FPSO储油轮、中国船舶多用途重吊货船、中国船舶高速集装箱船、中国船舶沪东R8M四机四流连铸机、中国船舶沪东步进式加热炉、中国船舶沪东船用柴油机、中国船舶沪东带斗门机、中国船舶沪东堆取料机、中国船舶沪东盾构掘进机、中国船舶沪东门座吊机、中国船舶沪东四机四流小方胚连铸机、中国船舶沪东铜连铸连轧机组、中国船舶沪东直流超高功率电弧炉、中国船舶沪东装船机、中国船舶化学品船、中国船舶冷藏船、中国船舶修船业务,船舶(配件)及其维修、发动机设备、冶金机械、重型建筑工程机械,"公司是中船集团核心民品主业上市公司，整合了中船集团旗下大型造船、修船、动力及机电设备、海洋工程等业务，具有完整的船舶行业产业链。作为世界航运业的伙伴，公司秉承“做大做强主业”的要求，以强大的科研创新实力、先进的管理水平和精湛的制造工艺，不断推出一系列大型绿色环保船型和船机新产品，持续引领着海洋工程高精尖技术的发展。目前,公司下属外高桥造船、中船澄西、沪东重机三家子公司，业务涵盖船舶建造、修船、海洋工程、动力业务、机电设备等，在规模、品牌、技术结构、转型发展等方面具有优势。"
301050.SZ,雷电微力,2097665.0186335403,211869.70014906832,161,201507670.13,高频段毫米波前端、毫米波有源相控阵微系统、火控雷达相控阵微系统、机载数据链相控阵微系统、星载毫米波有源相控阵微系统,监控器材及系统、通信系统与平台,公司是一家从事毫米波有源相控阵微系统研发、制造、测试和销售的高新技术企业，提供专用和通用的毫米波有源相控阵产品。公司产品及技术广泛应用于精确制导、通信数据链、雷达探测等专用领域，未来也可拓展应用至5G通信基站、车载无人驾驶雷达、商业卫星链路系统、移动终端“动中通”等通用领域。公司将国际先进企业管理经验与我国的现实国情相结合，摸索出一套具有特色的经营管理体系。公司在项目研发方面已建立先进的IPD(集成产品开发)模式，在质量管理方面实现QFD(质量功能展开)与国军标质量管理体系有机结合。在“需求牵引+技术驱动”的新型发展模式下，公司同时推进前瞻性技术的布局和产品工程化研究，当前已成功探索出一条具有市场竞争力、高可靠性的工业化路径。
002151.SZ,北斗星通,2013325.7403687264,288255.604186722,241,202572172.21,北斗GNSS卫星导航定位产品、北斗GPS航迹测试系统、北斗GPS天线及附件、北斗便携型用户机、北斗车辆作业监控管理系统、北斗车载型用户机、北斗船载型用户机、北斗海洋渔业船位监测和综合信息服务系统、北斗旅游车辆安全监控系统方案、北斗南方地区低温冷冻雪灾减灾实用技术、北斗手持型用户机、北斗授时型用户机、北斗星通GPS高精度测量系统、北斗指挥型用户机,卫星制造及应用,公司是我国卫星导航产业首家上市公司，以推动北斗产业化应用、助力导航产业发展为己任，为全球用户提供卓越的产品、解决方案及服务。公司专业从事卫星导航定位产品、基于位置的信息系统应用和基于位置的运营服务业务，形成了“产品+系统应用+运营服务”的经营模式。公司是经北斗系统主管部门授权许可、专门从事北斗卫星导航定位系统运营服务业务的运营机构。公司集聚了“千人计划”、“万人计划”、科技部创新人才推进计划、北京市科技领军人才等一批业内一流人才；取得了一批高水平研发成果，其卫星导航芯片、板卡、天线等基础产品在各行业得到广泛应用。多年形成的“产品+系统应用+运营服务”的业务模式不断深化，四大业务板块协调发展，为我国北斗导航产业发展做出了卓越贡献。
300456.SZ,赛微电子,1715620.3664975062,405407.5331950208,241,205727463.64,惯性导航产品、卫星导航产品,电子设备及加工、卫星制造及应用,北京赛微电子股份有限公司以半导体业务为核心，面向物联网与人工智能时代，一方面重点发展MEMS工艺开发与晶圆制造业务，一方面积极布局GaN材料与器件业务，致力于成为一家立足本土、国际化发展的知名半导体科技企业集团。公司目前的主要产品及业务包括MEMS芯片的工艺开发及晶圆制造、GaN外延材料生长与器件设计，下游应用领域包括通信、生物医疗、工业汽车、消费电子等。公司业务遍及全球，服务客户包括全球DNA/RNA测序仪巨头、光刻机巨头、网络通信和应用巨头以及工业和消费细分行业的领先企业等。
600435.SH,北方导航,1348563.810622407,315222.7692946058,241,133544749.68,北方天鸟915型电脑刺绣机高速机、北方天鸟成衣成帽绣机、北方天鸟电脑绗缝刺绣机、北方天鸟电脑混合盘带、北方天鸟电脑链式刺绣机、北方天鸟电脑亮片绣机、北方天鸟电脑针织横机、北方天鸟高档电脑绣花机、北方天鸟经济型电脑绣花机、中兵光电GIS、中兵光电船载卫星接收天线、中兵光电低成本INS/GPS组合导航系统、中兵光电低成本引头系统、中兵光电地面无人侦查车辆、中兵光电惯性器件、中兵光电火控系统、中兵光电机载车载舰载稳瞄系统、中兵光电机载环境控制系统、中兵光电军用无人机、中兵光电民用无人机、中兵光电远程压制系列、中兵光电智能机器人,纺织机械、飞机制造、风泵机械、工控机械、国防产品、卫星制造及应用、专用车,公司是全国首家军工资产整体上市的高新技术企业，以军品二三四级配套为主的制造型企业。公司的军民两用产品业务以“导航控制和弹药信息化技术”为主，涵盖制导控制、导航控制、探测控制、环境控制、稳定控制、电台及卫星通信、电连接器等产品和技术；民用产品业务主要涉及专用车等高新技术产品研发及生产。公司拥有制导控制系统、导航控制系统的总装调试、仿真检测，探测控制系统设计、总装调试、检测，环控系统设计、总装调试、检测等关键核心技术。掌握环境控制系统的制造技术，并将核心部件进行了系列化和标准化，并发展不同种类以满足不同环控系统的需求。公司在制导控制、导航控制、探测控制、环境控制、稳定控制等领域处于国内领先地位。
300101.SZ,振芯科技,1228852.4216929462,490667.2066846473,241,151478499.1,GM4610 RDSS微波收发电路、GM4620 RNSS微波接收电路、GM4670 基带信号处理芯片、GM4951 400MHz直接数字频率合成器、GM8283/GM8284 28位可编程数据选通Channel-Link发送器/接收器、北斗导航应用服务中心、北斗卫星导航定位应用系统、车载型终端、船载型终端、海上救生型终端、手持型终端、授时型终端、指挥型终端,通信系统与平台,公司多年来致力于围绕北斗卫星导航应用的“元器件-终端-系统”产业链提供产品和服务，拥有北斗分理级和终端级的民用运营服务资质，被列为国家重点支持的北斗系列终端产业化基地。主要产品包括北斗卫星导航应用关键元器件、高性能集成电路、北斗卫星导航终端及北斗卫星导航定位应用系统，自主研制生产的多种北斗卫星导航应用终端已广泛应用于国防、地质、电力、交通运输、公共安全、通信、水利、林业等专业应用领域。公司是入驻国家集成电路设计成都产业化基地的首批企业之一，是四川省第三批建设创新型培育企业、四川省集成电路设计产业技术创新联盟成员单位，也是航空、船舶等国有大型科技工业企业的电子元器件配套定点单位，通过了GB/T19001-2008idt ISO9001:2008质量体系认证。
002214.SZ,大立科技,1140108.5854072324,166971.0330207469,241,171163552.69,大立科技安防类红外热像仪、大立科技数字硬盘录像机、大立科技消防类红外热像仪、大立科技夜视类红外热像仪、大立科技预防检测类红外热像仪、大立科技制程控制类红外热像仪、大立科技组件类红外热像仪,电子测试和测量仪器,公司是国内少数拥有完全自主知识产权，能够独立研发、生产热成像技术相关核心器件、机芯组件到整机系统全产业链完整的高新技术企业。公司专业从事非制冷焦平面探测器、红外热像仪、红外热成像系统的研发、生产和销售。公司的技术人员占比高，从根本上保证了技术的国内领先、国际先进水平以及持续创新的能力。同时，公司采用国际化的现代管理模式，取得了ISO9001质量管理体系、ISO14000环境管理体系及ISO18000职业健康安全管理体系认证，从根本上保证了公司的健康发展。公司取得了ISO9001质量管理体系、ISO14000环境管理体系及ISO18000职业健康安全管理体系认证，从根本上保证了公司的健康发展。
605123.SH,派克新材,1118329.244813278,145346.78317842324,241,304086609.06,船舶锻件、电力锻件、航空锻件、航天锻件、其他锻件、石化锻件,航空零部件、专用设备与零部件,公司是一家专业从事金属锻件的研发、生产和销售的高新技术企业。公司始终专注于锻造行业，现已掌握了异形截面环件整体精密轧制技术、特种环件轧制技术、超大直径环件轧制技术等多项核心技术，具备较强的产品研发和制造能力，可以满足不同领域的客户对产品质量和工艺设计的严苛要求。并已先后通过了武器装备承制单位资格认证、ISO9001质量管理体系认证、航空质量管理体系认证、NADCAP热处理认证等质量体系认证，以及中国、英国、韩国、美国、挪威、日本、意大利、法国、德国等多国船级社认证。公司技术中心被认定为超大规格轻合金精密成型工程技术研究中心、江苏省企业技术中心、无锡市企业技术中心，并参与起草国家军用标准《航天用镁合金环形件毛坯规范》、参与起草航天科技集团某下属单位标准《舱段用铝合金锥/筒形轧制锻件技术条件》(Q/Du302-2015)，发行人主要产品和技术亦多次获得省级奖项。目前已成为国内少数几家可供应航空、航天、舰船等高端领域环形锻件的国家高新技术企业之一。
688586.SH,江航装备,1115112.062665593,107874.89108298754,241,231164291.13,飞机副油箱、航空氧气系统、机载油箱惰性化防护系统、军用特种制冷设备、民用特种制冷设备、敏感元件、维修服务、氧气地面保障设备,航空检测维修、航空零部件、专用设备与零部件,公司航空产品配套供应国内有装备需求的所有在研、在役军机以及部分民机；军用特种制冷设备已实现空军、陆军、海军、火箭军等全军种覆盖，并通过军用技术成果转化发展民用特种制冷设备，重点开拓工业用特种耐高温空调、专用车空调等细分市场，公司拥有的“天鹅”品牌是国内最早的家用窗式空调和军用方舱空调品牌，在特种制冷领域享有较高的行业知名度。公司系国家高新技术企业、国家认定企业技术中心、安徽省创新型企业及安徽省产学研联合示范企业、中国制冷空调工业协会理事单位、安徽省航空学会副理事长单位。公司先后获得国家科学技术进步特等奖、国家科学技术进步二等奖、国家科学技术进步三等奖、国防科学技术一等奖、国防科学技术三等奖、国防科学技术进步三等奖等国家级以及军队、省部级、地市级、航空工业集团单位等科技奖项共计61项；先后主编或参编已发布标准项目61项，其中国家标准16项、国家军用标准3项、行业标准42项。
002190.SZ,成飞集成,996264.3221823984,171706.45899170125,241,55728438.41,成飞集成对外数控加工零件、成飞集成汽车覆盖件模具,专用设备与零部件,公司是由中国航空工业集团有限公司控股的高科技股份有限公司。公司以锂离子动力电池、电源系统研发及生产为主业，同时大力发展汽车工模具设计、研发和制造业务，主要产品是锂离子动力电池、电源PACK系统，中高档轿车侧围、顶盖、车门、翼子板等外覆盖件模具。子公司中航锂电(洛阳)有限公司先后参与并完成包括国家863计划和国家重点研发计划在内的多项国家级技术研发及产业化项目，是行业标准的重要起草单位；产品拥有广阔的市场前景和较高的美誉度。公司是国内汽车覆盖件模具重点骨干企业，拥有国内同行业中领先的技术实力和管理水平。
