code,name,mv_mean,amount_mean,num_days,profit
000519.SZ,中兵红箭,2696439.1146358754,1307091.8756390042,241,485335353.38
000547.SZ,航天发展,2611074.5289249797,579230.8989709544,241,644201382.43
000733.SZ,振华科技,4920559.46765737,692099.525153527,241,1490958519.3
000738.SZ,航发控制,3007896.928886278,533194.1717344398,241,487614039.82
000768.SZ,中航西飞,8261740.285248394,1223680.0943817426,241,652910969.43
000901.SZ,航天科技,723336.0757874523,156612.0886099585,241,31919807.93
001696.SZ,宗申动力,794924.2491246474,90988.43273443983,241,480558659.03
002013.SZ,中航机电,4878517.835132387,776346.3115062241,241,1271008185.55
002023.SZ,海特高新,970890.631981494,318804.9844771784,241,735828252.89
002025.SZ,航天电器,2832222.8221468544,315996.7774647303,241,487241902.15
002049.SZ,紫光国微,11633036.038619258,1676146.697165975,241,1953785798.57
002151.SZ,北斗星通,2013325.7403687264,288255.604186722,241,202572172.21
002179.SZ,中航光电,9486674.08597054,761874.1778547718,241,1990997442.19
002190.SZ,成飞集成,996264.3221823984,171706.45899170125,241,55728438.41
002214.SZ,大立科技,1140108.5854072324,166971.0330207469,241,171163552.69
002268.SZ,卫士通,3289027.405673266,861914.5621286307,241,238048110.3
002389.SZ,航天彩虹,2155229.142526639,485897.4516639004,241,227567049.74
002413.SZ,雷科防务,845374.8204835602,202825.95062655603,241,-240755551.15
002414.SZ,高德红外,5577502.01857144,432782.8972033195,241,1110939693.08
002465.SZ,海格通信,2302163.346384361,291093.83142738586,241,653611516.7
002520.SZ,日发精机,699562.4672231369,225220.7248174274,241,51008318.92
002544.SZ,杰赛科技,1290302.299912448,231327.8874688797,241,141574557.21
002625.SZ,光启技术,4441794.629995469,664010.8602697095,241,271273806.89
002985.SZ,北摩高科,2545222.9660414937,319348.52965145226,241,422308778.2
003009.SZ,中天火箭,877666.1003261078,174966.86446887965,241,122352866.07
300008.SZ,天海防务,884528.6384896804,282136.7223278008,241,25970776.33
300034.SZ,钢研高纳,1944889.8929462824,411371.84571369295,241,304599755.32
300065.SZ,海兰信,732543.6094757385,490858.8155560166,241,48910243.97
300101.SZ,振芯科技,1228852.4216929462,490667.2066846473,241,151478499.1
300114.SZ,中航电测,920841.1867732116,143691.72897095437,241,307007852.69
300123.SZ,亚光科技,945203.7034223526,288392.4271369295,241,-1199385526.19
300395.SZ,菲利华,1809981.0900412283,219930.29520331952,241,370120317.95
300397.SZ,天和防务,763956.6802691701,274898.49838174274,241,-72113605.08
300456.SZ,赛微电子,1715620.3664975062,405407.5331950208,241,205727463.64
300474.SZ,景嘉微,3465850.3085177094,615764.8053651452,241,292740758.3
300527.SZ,中船应急,898549.7874258796,219980.39565975103,241,67480753.69
300581.SZ,晨曦航空,868169.9712531121,506319.93910788384,241,26722654.41
300629.SZ,新劲刚,366231.9055163983,178506.23732365144,241,97030493.06
300696.SZ,爱乐达,1124466.2819991785,193350.1972821577,241,255020698.98
300699.SZ,光威复材,3659822.004564316,507467.5950290456,241,758382679.09
300722.SZ,新余国科,741848.7953526971,207220.42491286303,241,62137648.59
300726.SZ,宏达电子,3147021.1727743363,299319.33239419083,241,816067640.88
300762.SZ,上海瀚讯,1017388.3549985064,176401.5801120332,241,235039083.65
300775.SZ,三角防务,2133330.571417581,411966.3570829876,241,412288816.87
300777.SZ,中简科技,2055442.6982250875,324215.9731037345,241,201265642.58
300900.SZ,广联航空,710914.7830705394,193740.93556431532,241,38374761.65
301050.SZ,雷电微力,2097665.0186335403,211869.70014906832,161,201507670.13
600038.SH,中直股份,3433117.285906954,531743.4678049792,241,913211536.4
600072.SH,中船科技,973739.8723159264,277301.3208138528,231,80047823.25
600118.SH,中国卫星,3093636.906856058,264402.94824896264,241,233242655.45
600150.SH,中国船舶,9094377.67576434,1313809.2935767637,241,213814622.44
600316.SH,洪都航空,2634401.988251419,796173.8666431535,241,151408174.16
600372.SH,中航电子,3434333.626413527,337461.8239377594,241,798697071.26
600391.SH,航发科技,700859.1668154065,220249.1883319502,241,21285717.38
600435.SH,北方导航,1348563.810622407,315222.7692946058,241,133544749.68
600456.SH,宝钛股份,2474844.037472871,496659.83242323657,241,560279748.52
600482.SH,中国动力,3819538.71267061,124660.5012406639,241,613048770.5
600562.SH,国睿科技,1909652.7228829877,132241.95531535268,241,525933613.94
600685.SH,中船防务,1653569.470021407,212725.64169709545,241,79387401.0
600760.SH,中航沈飞,12363937.052469555,1322207.954726141,241,1695718597.26
600764.SH,中国海防,2125197.6265608547,184964.1398630705,241,848893798.95
600765.SH,中航重机,3689372.185965328,682832.3671078838,241,890640048.04
600862.SH,中航高科,4196256.969783071,514235.509526971,241,591408994.94
600879.SH,航天电子,2020136.4819285972,418980.8358755187,241,549201381.58
600893.SH,航发动力,14221796.92261932,2170498.6456348547,241,1187619447.38
600967.SH,内蒙一机,1753683.9419741866,194917.8753858921,241,746575048.74
600990.SH,四创电子,703619.8822789626,114148.90006639004,241,183870720.47
601606.SH,长城军工,843236.2551734439,210106.381253112,241,136481016.39
601698.SH,中国卫通,5697161.825726141,152368.00007053942,241,572304982.46
601890.SH,亚星锚链,712746.6199170125,316918.77364315354,241,121174759.82
601989.SH,中国重工,9414212.932669394,433112.6082821577,241,219908725.54
603267.SH,鸿远电子,3389029.89107054,381641.3193609959,241,826736985.06
603678.SH,火炬电子,3082554.433197552,477288.8650788381,241,955854869.21
603712.SH,七一二,2844096.049792531,171555.9117966805,241,688298268.44
605123.SH,派克新材,1118329.244813278,145346.78317842324,241,304086609.06
688002.SH,睿创微纳,3613153.112116183,288306.9811659751,241,461180017.63
688122.SH,西部超导,3459597.1041934774,449228.5439585062,241,741478943.86
688311.SH,盟升电子,775094.0221576764,71102.69092531121,241,134431782.79
688586.SH,江航装备,1115112.062665593,107874.89108298754,241,231164291.13
688788.SH,科思科技,951024.8744077676,94924.758439834,241,175828593.52
