code,name,mv_mean,amount_mean,num_days,profit,主营产品名称,主营产品类型,公司简介
300760.SZ,迈瑞医疗,45270403.89249247,1853735.442485477,241,8001553606.0,便携式彩超、除颤仪、吊塔吊桥、化学发光免疫分析仪、监护仪、麻醉剂、凝血分析仪、生化分析仪、手术床、手术灯、台式彩超、体外诊断试剂、血液细胞分析仪,诊断治疗设备,公司是中国领先的高科技医疗设备研发制造厂商，为全球市场提供医疗器械产品。公司的主营业务覆盖生命信息与支持、体外诊断、医学影像三大领域，通过前沿技术创新，提供更完善的产品解决方案，帮助世界改善医疗条件、提高诊疗效率。公司始终致力于临床医疗设备的研发和制造，产品涵盖生命信息与支持、临床检验及试剂、数字超声、放射影像四大领域，将性能与价格完美平衡的医疗电子产品带到世界每一角落。
603259.SH,药明康德,32942563.42150743,3323076.08866805,241,5097155283.68,CMO/CDMO业务、临床研究及其他CRO服务、美国区实验室服务、中国区实验室服务,专业咨询服务,公司是全球领先的制药以及医疗器械研发开放式能力和技术平台企业。作为一家以研究为首任，以客户为中心的公司，药明康德向全球制药公司、生物技术公司以及医疗器械公司提供一系列全方位的实验室研发、研究生产服务，服务范围贯穿从小分子药物发现到推向市场的全过程，以及细胞治疗和基因治疗从产品开发到商业化生产服务、医疗器械测试服务等。药明康德的服务旨在通过高性价比、高效率的研发服务帮助全球客户缩短药物及医疗器械研发周期、降低研发成本。
300015.SZ,爱尔眼科,25488873.839646127,1885337.8475767637,241,2323343957.31,爱尔眼科白内障手术、爱尔眼科检查治疗、爱尔眼科连锁医院、爱尔眼科眼病诊疗、爱尔眼科眼后段手术、爱尔眼科眼前段手术、爱尔眼科医学验光配镜、爱尔眼科准分子手术,手术与注射器械、医用耗材、医院,公司是我国最大规模的眼科医疗机构，致力于引进国际一流的眼科技术与管理方法，以专业化、规模化、科学化为发展战略，联合国内外战略合作伙伴，共同推动中国眼科医疗事业的发展。利用人才、技术和管理等方面的优势，公司通过全国各连锁医院良好的诊疗质量、优质的医疗服务和深入的市场推广，使自身的市场影响力和渗透力得到迅速的提升，也使公司成为具有全国影响力的眼科品牌。
603392.SH,万泰生物,14510214.180780085,383623.9565228216,241,2021467667.66,“馨可宁Cecolin”双价人乳头瘤病毒疫苗(大肠杆菌)、“益可宁Hecolin”重组戊型肝炎疫苗、Caris200全自动化学发光免疫分析仪、WanTag全自动核酸血液筛查系统、化学发光诊断试剂、胶体金诊断试剂、酶联免疫诊断试剂、生化诊断试剂、质控品及标准物质,生物诊断试剂、疫苗、诊断治疗设备,公司是从事体外诊断试剂、体外诊断仪器与疫苗的研发、生产及销售的高新技术企业。公司坚持自主创新、坚持关键技术攻关，走产学研结合道路，现已发展成为我国创新免疫诊断产品和创新疫苗研发的领先企业。经过多年的研发投入、持续的技术创新，截至本招股说明书签署之日，公司在体外诊断试剂领域已取得了5项新药证书、9项药品注册证书、300余项国家医疗器械注册证、16项欧盟CE认证、2项世界卫生组织PQ认证，还获得150个国家二级标准物质证书。公司体外诊断领域的核心产品有艾滋病毒诊断试剂，病毒性肝炎系列诊断试剂，全自动管式化学发光免疫分析系统等。公司先后完成国家科技重大专项、863计划重大项目，荣获国家技术发明二等奖、国家科技进步二等奖、中国发明专利金奖、国家高技术产业化示范工程十年成就奖等重要国家级科技创新奖励。
300896.SZ,爱美客,12362609.301908717,1406292.5986804978,241,957798548.01,聚对二氧环己酮面部埋植线（紧恋）、医用含聚乙烯醇凝胶微球的透明质酸钠-羟丙基甲基纤维素凝胶（宝尼达）、医用羟丙基甲基纤维素-透明质酸钠溶液（逸美）、医用透明质酸钠-羟丙基甲基纤维素凝胶（逸美一加一）、注射用透明质酸钠复合溶液（嗨体）、注射用修饰透明质酸钠凝胶（爱芙莱、爱美飞）,医疗美容器械,公司是国内生物医用软组织修复材料领域的创新型领先企业。公司立足于生物医用材料的研发和转化，致力于重组蛋白和多肽等生物医药的开发，已成功实现注射类透明质酸钠系列产品及聚对二氧环己酮面部埋植线的产业化，并建立了医用几丁糖、聚乳酸等生物医用材料的产品技术转化平台，产品临床应用涵盖医疗美容、外科修复以及代谢疾病治疗等领域。公司是首家取得国家药监局批准用于面部软组织修复的注射用透明质酸钠医疗器械产品注册证书的国内企业。截至报告期末，公司已拥有五款获国家药监局批准的III类注射用透明质酸钠系列产品，为获得国家药监局批准的同类产品最多的企业。公司五款产品在配方组份、注射部位、注射体验等方面有所不同，能够满足多个细分市场的消费需求。此外，公司已于2019年5月取得聚对二氧环己酮面部埋植线的III类医疗器械注册证书，为首款取得国家药监局批准的面部埋植线产品。公司重视研发投入和产品开发，是国家级高新技术企业，建有生物可降解新材料北京市工程实验室。公司作为牵头单位参与了国家科学技术部“十三五”规划国家重点研发计划“新型颌面软硬组织修复材料研发”项目。截至报告期末，公司拥有32项专利，其中发明专利18项。
300759.SZ,康龙化成,11006093.132987054,776683.4333900415,241,1661028567.53,14C放射性标记和加速器质谱（AMS）用于生物制剂、14C放射性标记化合物的合成、3H 和 14C放射性标记生物大分子(RadioTag技术)、3H放射性标记化合物的合成、3H和14C 放射性标记（RadioTag）、PD/PK、PK/PD、QA/RA、安全药理学、病理、动物疾病模型、放射性标记化合物的合成、放射性同位素标记化合物的临床药代动力学应用、放射性同位素标记化合物应用于代谢产物分析、分析研发和质量控制部门、符合GMP标准的14C放射性标记的API(药物活性成分或原料药)&成品药的合成、工艺化学、化合物管理系统、化合物库合成、化学信息服务、计算机辅助药物设计、结构生物学、临床研究、免疫毒理学与免疫原性分析、生物分析服务、生物有机化学、生物制品研发、生殖与发育毒理学、使用放射性同位素标记化合物研究物料平衡、体内药代动力学、体外ADMET、体外疾病生物学、体外筛选、体外药理学及生物标记物检测、通过HRMS/NMR进行代谢产物鉴定、小分子药物的生物等效性试验、研发分析和分离、药物材料和结晶研发、药物-药物（DDI）相互作用研究、药物制剂开发、一般毒理、遗传毒理学、原料药生产、早期工艺化学（DPC）、真皮渗透研究、支持新药临床试验申请的药代动力学研究、制剂生产、质量保证部,化学试剂、生物诊断试剂、原料药、专业咨询服务,公司是一家领先的全流程一体化医药研发服务平台，业务遍及全球，致力于协助客户加速药物创新。根据弗若斯特沙利文的资料，按2018年的总收益计，公司是中国第二大医药研发服务平台及全球三大药物发现服务供应商之一。公司在药物发现、临床前及早期临床开发服务方面处于领先地位，并一直致力于拓展下游业务，包括临床后期开发及商业化生产等服务。公司不断扩大医药研发服务领域，并掌握主要研发学科的专业知识以覆盖各研发阶段的主要里程碑，协助客户加快推进研发计划。作为领先的药物发现医药研发服务供应商，公司对分子已积累深刻的科学见解，并自客户创新药物研发初期起即取得客户信任。
300347.SZ,泰格医药,10510411.917533703,1030600.491340249,241,2874163020.17,临床试验技术服务、临床试验统计分析服务,专业咨询服务,公司是国内领先的临床合同研究组织(CRO)，专注于为医药产品研发提供I-IV期临床试验、数据管理与生物统计、注册申报等全方位服务。公司参与了包括国家“十五”、“十一五”、“十二五”国家重大科技专项，国家863计划重大科技专项，以及国家创新基金项目、中科院重大科技项目、浙江省重大科技专项和广州市科技重大项目等在内的多项新化学单体和新生物制品的临床试验。公司的临床研究业务几乎包括了我国GCP中提出的全部临床试验内容，完备的服务内容可以满足绝大多数国内外制药企业的临床研究要求。
002821.SZ,凯莱英,9137010.660724482,1044357.0871576763,241,1069273577.5,DS定制生产服务、分析服务、酶的生产、数据服务、知识产权保护、制剂服务,医药中间体、专业咨询服务,公司是一家国内领先的CDMO(医药合同定制研发生产)企业，主要致力于全球制药工艺的技术创新和商业化应用，为国内外大中型制药企业、生物技术企业提供药物研发、生产一站式CMC服务。凯莱英积极布局国内市场，目前已形成包括国内创新药CMC服务、MAH业务、制剂研发生产、仿制药一致性评价、临床试验服务、生物样本检测以及药品注册申报等在内的全方位服务体系。公司坚持以技术革新作为核心驱动力，不断研发出多项国际领先专利技术并运用于商业化生产，深耕cGMP高级中间体和原料药领域，服务默沙东、辉瑞、百时美施贵宝、艾伯维、礼来等国内外大中型制药公司，形成与国内外制药巨头深度的嵌入式合作关系。
688363.SH,华熙生物,8575854.949748889,578219.6457593361,241,782334573.48,cationHA 高亲和性透明质酸钠、HAPLEX透明质酸钠、Hyacolor 油分散透明质酸钠、Hyacross 透明质酸弹性体、Hyafactor- PGA  聚谷氨酸钠、Hyature 玻璃酸钠-医药外用级、Hyature 玻璃酸钠-注射级、Hyature透明质酸钠-医疗器械级、Hybloom 透明质酸钠，高分子/低分子/寡聚/酶切寡聚透明质酸钠，透明质酸钠1%溶液、Hymagic-AcHA 乙酰化透明质酸钠、γ-氨基丁酸、玻璃酸钠注射液、糙米发酵滤液、次抛原液、各类膏霜水乳、面膜、纳豆提取液、纳诺HA酶切寡聚透明质酸钠、喷雾、手膜、熙安颜TM  依克多因、熙敏修TM 超活透明质酸、医用透明质酸钠凝胶、注射用修饰透明质酸钠凝胶、注射用修饰透明质酸钠凝胶（含利多卡因）,美容产品、药品经销、原料药,公司是全球领先的、以透明质酸微生物发酵生产技术为核心的高新技术企业，透明质酸产业化规模位居国际前列，公司是国内最早实现微生物发酵法生产透明质酸的企业之一，透明质酸具有良好的保水性、润滑性、黏弹性、生物降解性及生物相容性等理化性能和生物活性，在医药(骨科、眼科、普外科、泌尿外科、胃肠科、耳鼻喉科、口腔科、整形外科、皮肤科等)、化妆品及功能性食品中应用十分广泛，公司持续开展微生物发酵法生产透明质酸技术研发，国内率先实现了透明质酸微生物发酵技术产业化的突破，改变了我国以动物组织提取法生产透明质酸且主要依靠进口的落后局面。通过菌种诱变和高通量筛选、发酵代谢流调控、多尺度过程优化、动态补料控制等技术，极大提升了透明质酸的生产规模和质量，显著降低了生产成本，推动了透明质酸在各个领域的应用。凭借透明质酸发酵技术的创新成就，多次获得国家和省科技进步奖励。
600763.SH,通策医疗,7829547.174771785,1221234.956377593,241,702806792.12,杭州口腔医院、宁波口腔医院,医院,公司是国内第一家以口腔医疗连锁经营为主要经营模式的上市公司。近年来，公司强化了内部管理，重视内部控制规范建设，有效控制了成本费用，同时积极拓宽医疗市场，重视人力引进和培养，高附加值业务盈利能力持续增强，主营业务收入实现较快增长。未来，公司将继续坚持积极完善企业管理制度，进一步在提升医疗服务、市场营销、成本控制水平的发展思路。同时，公司将资本运营与生产经营并举，通过收购兼并、参股控股等形式，有计划、有步骤、积极稳妥地介入医疗服务的其它领域。通过对市场、技术、人员、资本等各类资源的整合，充分发挥资源优势，将公司发展成为以口腔医疗行业为主导的一流企业。
