code,name,mv_mean,amount_mean,num_days,profit,主营产品名称,主营产品类型,公司简介
000516.SZ,国际医学,3007062.758639835,673818.3723186813,182,-822169217.83,“一带一路”国际医学中心、商洛国际医学中心医院、西安高新医院、西安高新中医医院、西安国际健康管理中心、西安国际健康云中心、西安国际康复医学中心、西安国际老年病医学中心、西安国际生殖医学中心、西安国际医学城、西安国际医学院、西安国际医学中心、新医疗、圆梦生命科学研究院,医院、专业咨询服务,公司前身是西安市解放百货商场，创建于1956年，是西安市及陕西省最大的百货零售业企业。2018年，公司将全资子公司开元商业有限公司100%股权出售给银泰百货有限公司，并已顺利完成，剥离百货零售业务资产后，公司成功实现整体业务战略转型，将专注于发展医疗服务主业。公司目前以大健康医疗服务和现代医学技术转化应用为主业，正在运营西安高新医院、商洛国际医学中心、二〇四所医院等医疗机构。公司目前按照三甲标准在建的医疗项目有西安国际医学中心、西安高新医院二期改扩建、商洛国际医学中心(新院区)、西安国际康复医学中心等。旗下西安高新医院始创于2002年，为中国首家社会资本兴办的三级甲等综合医院。近年，公司联合阿里健康建设“互联网+医疗”新模式，建成阿里健康西安高新互联网医院；积极拓展分级诊疗网点，全力打造新型医联体，先后设立了西安蓝博社区卫生服务中心，三星、比亚迪医务室等；公司也积极布局干细胞等现代医学技术转化应用。
002065.SZ,东华软件,2358413.265171162,245764.7973278009,241,459524309.55,东华合创ERP软件、东华合创OA软件、东华合创电力行业软件、东华合创电信行业软件、东华合创计算机服务行业软件、东华合创交通行业软件、东华合创金融保险医保行业软件、东华合创煤炭行业软件、东华合创石油化工行业软件、东华合创水利行业软件、东华合创铁路行业软件、东华合创政府行业软件、东华合创政务专用软件、东华合创制造业行业软件,ERP软件、OA软件、行业专用软件,公司专注于综合性行业应用软件开发、计算机信息系统集成和信息技术服务，为客户持续提供行业整体解决方案和长期信息化服务。一方面，公司紧跟行业发展趋势，经过长期深耕细作，已积累了丰富的客户资源和独特的技术优势。另一方面，公司注重业务模式创新，不断升级现有软件产品、完善产品性能，通过积极布局“云计算”、“大数据”、“人工智能”等前沿行业，加强公司竞争力。公司以应用软件开发、计算机信息系统集成、信息技术服务、网络流控安全产品及互联网+为主要业务，拥有多项自主知识产权的软件产品。公司是国家规划布局内重点软件企业、国家火炬计划重点高新技术企业，是国内较早通过软件能力成熟度集成(CMMI)5级认证的软件企业之一，国家信息系统集成及服务大型一级企业，具有涉及国家秘密的计算机信息系统集成甲级资质及软件开发单项资质。
688617.SH,惠泰医疗,2022954.2546887968,105692.94845643154,241,207921095.5,Angiopointer造影导管、AnyreachC导引导丝、AnyreachP导引导丝、Braidin血管鞘组、Conqueror NC 后扩张PTCA球囊导管、Conqueror PTCA球囊导管、Expressman 导引延伸导管、Instantpass 微导管、Insucker 血栓抽吸导管、March导引导管、OEM业务、Susrail导丝、TransportGe 导引导管、TriguyTM电生理电极导管、TriguyTM可控射频消融电极导管、TriguyTM冷盐水灌注射频消融导管、Y形连接器、带止血阀导管鞘、多道电生理系统、房间隔穿刺系统、可调阀导管鞘（导管鞘组）、可调弯导引导管、可调弯输送鞘、亲水涂层导丝、球囊扩张压力泵、外周血管介入产品,医用辅助设备、医用耗材,公司是国产电生理和血管介入医疗器械品种品类齐全、规模领先、具有较强市场竞争力的企业之一，也是能够与国外产品形成强有力竞争的为数不多的企业之一。公司在电生理、血管介入医疗器械的研发和生产领域拥有丰富的技术积累和人才储备，攻关并掌握了“钢丝网加强挤出”、“亲水涂层”、“异种合金对接”等多种国外垄断的通路类产品必备产业化技术，同时具备独立生产导管、球囊、导丝等多种血管介入产品的高端生产制造能力。公司坚持自主研发创新，同时积极发掘临床需求，利用公司在行业内领先的生产制造能力实现可充分满足临床需求产品的产业化。截至2020年3月31日，公司共拥有国内外专利证书60项，其中国内发明专利39项，国外发明专利2项。经过多年的发展，公司已在境内外建立了完善的销售网络，覆盖全国31个省、自治区和直辖市的700余家三甲医院及680余家县市级二甲医院，并出口至欧洲、美洲、东南亚的80多个国家和地区。
688315.SH,诺禾致源,1710938.029045643,74907.66928630705,241,224986098.35,建库测序平台服务、生命科学基础科研服务、医学研究与技术服务,服务器与工作站、专业咨询服务,"公司是一个基因组学解决方案提供商，主要依托高通量测序技术和生物信息分析技术，建立了通量规模领先的基因测序平台，并结合多组学研究技术手段，为生命科学基础研究、医学及临床应用研究提供多层次的科研技术服务及解决方案；同时，基于在基因测序及其应用领域的技术积累，自主开发创新的基因检测医疗器械，公司构建了全球化的技术服务网络，在境内设有天津、南京中心实验室，在新加坡、美国、英国建立了本地化运营的实验室和子公司，于香港、荷兰、日本等发达国家和地区设有子公司，业务覆盖全球六大洲超过60个国家和地区，实现对北美、欧洲、东南亚等本地科研需求的快速响应，全面覆盖中国科学院、中国医学科学院、北京大学、清华大学、Stanford University、JohnsHopkins University、Genome Institute of Singapore等境内外一流科研院所，服务客户超过4,000家，公司通过NMPA创新医疗器械特别审评通道审批上市，成为我国首批获准上市的基于高通量测序的肿瘤基因检测试剂盒之一。"
300168.SZ,万达信息,1489866.9696986142,173593.18970539418,241,69241554.98,法制办行政管理统计分析系统软件V1.0、会议网上注册系统 V1.0、上海市工商行政管理计算机系统V2.0、上海市劳动保障管理信息系统业务管理分系统劳动力综合管理系统劳动力资源管理模块 V1.1、上海市劳动保障管理信息系统业务管理分系统劳动力综合管理系统失业保险模块 v1.1、上海市劳动保障管理信息系统业务管理分系统劳动力综合管理系统职业介绍模块 v1.1、上海市劳动保障管理信息系统业务管理分系统劳动力综合管理系统职业培训模块 V1.1、上海市劳动和社会保障管理信息系统城镇社会保险子系统 v1.0、上海市医疗保险信息系统-事务管理系统V2.4.1.0、上海市医疗保险信息系统-医保费用审核系统V1.3.1.5、上海市医疗保险信息系统-应急处置系统V1.0、上海市医疗保险信息系统-综合分析和辅助决策支持系统V1.1.1.0、万达XML交易&消息中间件软件 V2.0、万达安全配置管理软件 v2.0、万达道路运输管理系统v2.0、万达电子政务互动服务V1.0、万达电子政务协同办公系统V1.0、万达电子政务协同软件V2.0、万达公路稽征系统 V1.01、万达公文之星软件 v3.0、万达患者身份交叉索引平台软件V2.0、万达机场核心营运信息集成系统v1.0、万达机场综合办公软件V2.0、万达空管航班信息显示软件V2.0、万达民航AFTN电报处理软件V3.0、万达区域检查报告共享系统应用软件 v1.0、万达区域就诊信息共享系统应用软件 v1.0、万达区域社区卫生服务管理平台软件V1.0、万达区域社区医疗业务管理系统应用软件V1.0、万达区域实验室检验信息共享系统应用软件v1.0、万达区域医疗接入端代理平台软件 v2.0、万达区域医疗信息整合共享与协同服务平台软件v2.0、万达区域医疗信息资源目录平台软件v2.0、万达区域医学影像信息共享系统应用软件v1.0、万达容灾综合管理平台软件V2.0、万达社会保障一体化平台软件 v2.0、万达社区“e点通”软件V1.0、万达社区卫生服务管理信息系统应用软件v1.0、万达司法行政许可管理信息软件V1.3.0、万达通用GIS二次开发平台软件V2.0、万达土地交易系统应用软件V1.0、万达网络安全审计软件V2.0、万达网页自动检测与恢复系统v1.0、万达信息安全集成管理平台软件V2.0、万达信息网上电子报税系统V1.0、万达信息资源集成平台软件v1.0、万达信息资源目录平台软件V2.0、万达业务基础平台软件V2.0、万达业务流程集成平台软件v1.0、万达应急指挥平台软件V2.0、万达应用安全中间件软件v3.0、万达应用集成平台v1.0、万达应用监控软件V2.0、万达应用审计系统 V1.0、万达智能审批信息系统 v3.0、万达主机安全审计软件V2.0、医疗保险费用结算审核计算机管理系统 V1.0、政务通政府决策落实情况调查系统V1.0,行业专用软件,公司是国内领先的智慧城市领军企业。公司业务由原来的软件开发、系统集成和运营服务(3S)逐步过渡到系统建设(原软件开发、系统集成)，运营服务(主要为SaaS模式的云服务)，以及与社会各界广泛合作“互联网+”增值业务。历经多年发展，公司在城市各行业积累了丰富经验，形成了突出的行业软件与服务优势。公司以行业核心业务为基石，重点发展公共服务在线运营，积极开拓线下闭环服务，不断使城市的运营效率得到提升，服务更为便捷，引领全国医疗健康、文化教育等行业的变革。公司自评审资质初始以来，历年被列为“国家规划布局内重点软件企业”，承担了多个国家核高基专项课题，拥有众多行业独立自主知识产权的软件产品。
600718.SH,东软集团,1356879.719742054,215264.95120746887,241,1173245291.0,东软ERP软件、东软电力专用软件、东软电信专用软件、东软电子政务专用软件、东软防火墙软件、东软交通专用软件、东软教育专用软件、东软金融专用软件、东软软件外包业务、东软税务专用软件、东软烟草专用软件、东软医疗系统出口和服务,ERP软件、防火墙软件、行业专用软件、软件外包服务,东软创立于1991年，是中国第一家上市的软件公司，致力于以软件的创新，赋能新生活，推动社会发展。东软曾多次入选普华永道“全球软件百强企业”名单，荣获罗兰贝格国际咨询公司和《环球企业家》杂志评选的“全球竞争力中国公司20强“，波士顿咨询公司(BCG)评选的”中国50强全球挑战者“，Teleos和The KNOW Network评选的”亚洲最受赏识的知识型企业“等奖项，以及怡安翰威特授予的“中国最佳雇主”及“亚太地区最佳雇主”等荣誉。东软以软件技术为核心，业务聚焦智慧城市、医疗健康、智能汽车互联以及软件产品与服务领域。在智慧城市领域，东软以软件赋能城市发展，让社会更智慧。在医疗健康领域，东软以信息技术推动医疗健康生态的和谐，为医疗健康生态中的利益相关方创造价值、分享价值，推动信息技术与医疗的融合。在智能汽车互联领域，以软件为驱动，赋能智能汽车生活。在软件产品与服务领域，东软基于移动互联网、人工智能、云计算、大数据等新兴技术，提供拥有自主知识产权的软件产品、云与数据服务、产品工程与软件工程服务等，帮助企业实现业务的创新与转型。未来，东软将以更敏捷、创新的方式，以客户为中心，用软件帮助个人、企业及众多行业应对万物互联时代的升级，用超越技术的创意改变生活、改变世界。
300633.SZ,开立医疗,1235029.64893973,175908.6903900415,241,247244612.13,便携彩超、便携黑白超声、电子内镜系统、宫腔监视系统、全自动五分类血液细胞分析仪、试剂、兽用超声、台式彩超、台式黑白超声、探头系列,医疗美容器械、医疗器械用制剂,公司主营业务为医疗诊断设备的自主研发、生产与销售。公司始终以客户需求为导向，致力于为全球医疗机构提供优质的产品和服务。主要产品包括医用超声诊断设备(主要为彩色多普勒超声诊断设备与B型超声诊断设备)、医用电子内窥镜设备、血液分析仪。公司立足自主技术创新和产品研发，是国内超声诊断设备领域较早独立掌握彩超设备核心技术与探头核心技术的生产企业，目前已掌握基于PC的Linux彩超软件技术，128通道彩超技术，嵌入式计算机技术，高密度、宽频带探头技术，单晶探头技术，特种应用探头技术等多项超声诊断设备领域专利技术。公司各类产品质量过硬，性能突出，多项产品通过FDA注册、CE认证，并得到国际认可。
300358.SZ,楚天科技,1196619.371454,289471.6081991701,241,566411325.53,AGFL系列 安瓿灌封机、AGF系列 安瓿灌封机、AGS系列 灌封加塞机、AJDZ系列 自动灯检机、ALXL系列 新型安瓿洗烘灌封联动线、ALX系列 安瓿洗烘灌封联动线、AQCL系列 安瓿立式超声波清洗机、DQCL系列立式超声波清洗机、KGS10系列抗生素瓶灌装加塞机、KGS12、KGS6系列抗生素瓶灌装加塞机、KGS16、KGSY16系列抗生素瓶灌装加塞机、KGSL12、KGSL6系列抗生素瓶灌装加塞机、KGSL12系列抗生素瓶灌装加塞机、KLXL系列抗生素瓶洗烘灌封联动线、KLX系列 抗生素瓶洗烘灌封联动线、KQCL系列抗生素瓶立式超声波清洗机、KSGF系列卡式瓶灌封机、KSLX系列卡式瓶洗烘灌封联动线、KSZ系列 隧道式灭菌干燥机（安瓿）、KSZ系列 隧道式灭菌干燥机（大输液）、KSZ系列 隧道式灭菌干燥机(口服液瓶)、KSZ系列隧道式灭菌干燥机、KSZ系列隧道式灭菌干燥机(卡式瓶)、KSZ系列隧道式灭菌干燥机（抗生素瓶）、LALUTK系列自动进出料系统、LYOTK系列真空冷冻干燥机、SGS20-CG型 充氮灌装加塞机、SLP系列 大输液瓶理瓶机、SLX系列 玻璃瓶大输液生产线、SQCL50~500（30）型 大输液瓶超声波粗洗机、SQL（SQSL）系列 大输液瓶立式清洗机、SQW50~500或SQW50~500C型大输液瓶外洗机、SRDF系列 非PVC膜多室软袋大输液生产线、SRD系列 非PVC膜软袋大输液生产线、SRS系列 非PVC膜双软管软袋大输液生产线、SWS胶塞（铝盖）清洗机、SYZ（X）系列 大输液瓶压盖轧（旋）盖机、YGZ15/16型口服液瓶灌轧机、YGZ16/25型口服液瓶灌轧机、YLX系列 口服液洗烘灌封联动线、YQCL系列口服液瓶立式超声波清洗机、ZG系列抗生素瓶轧盖机、无菌药品冻干制剂生产整体解决方案,制药机械,公司现已成为世界医药装备行业的主要企业之一。公司主营业务为水剂类制药装备的研发、设计、生产、销售和服务。已利用自动化与信息化技术成功研制了部分智能医药生产机器人及其生产线，正向打造医药工业4.0智慧工厂整体解决方案的EPC服务商转型。自成立以来，公司一直致力于为制药企业提供专业化、个性化的制药装备解决方案。公司是国内领先的制药装备制造商，是我国替代进口制药装备产品的代表企业，水剂类制药装备产销量居国内行业前列。
600645.SH,中源协和,1057947.005637884,215902.1986846473,241,155320080.74,干细胞工程系列产品,基因制品,公司是一家主营生命科学技术开发、干细胞基因工程产业化、生物医疗和基因制药的生物高科技企业。公司主要面向科研市场及体外诊断市场提供产品及服务，其中科研市场包括细胞检测制备及存储、基因检测等。公司以精准医疗为中心，不断开拓创新，逐步形成了细胞存储、基因检测及临床试剂、肿瘤免疫治疗等多个业务板块。后公司收购上海傲源。傲锐东源是一家立足于基因合成、蛋白质表达纯化、抗体制备等生物技术，为生命科学领域提供产品和服务的生物制品公司。傲锐东源主要面向科研市场及体外诊断市场，提供包括人类全长基因、蛋白质、抗体、体外检测产品在内的多种产品，服务的客户包括科研机构、生物医药公司、临床医院等。
300406.SZ,九强生物,1051848.921615373,164434.20202904564,241,405651172.06,九强低密度脂蛋白胆固醇诊断试剂、九强高密度脂蛋白胆固醇诊断试剂、九强胱抑素C诊断试剂、九强肌酐诊断试剂、九强肌酸激酶同工酶诊断试剂、九强同型半胱氨酸诊断试剂、九强腺苷脱氨酶诊断试剂、九强载脂蛋白A1诊断试剂、九强脂蛋白(a)诊断试剂、九强总胆汁酸诊断试剂,诊断用制剂,公司是中国领先的临床体外诊断产品与服务供应商之一。公司创立于2001年，是以体外诊断产品的研发、生产和销售为主营业务的国家高新技术企业，拥有与国际同步发展的体外诊断系列产品。目前拥有生化检测系统、血凝检测系统、血型检测系统，多年的稳定发展与完善积累，形成了遍及全球的营销和服务网络。公司一直专注体外诊断产品系统的研发，拥有一流的产品研发团队，在专家的带领下，建立起化学法、酶法(含循环酶法)、普通免疫比浊法、胶乳增强免疫比浊法、克隆酶供体酶免疫测定技术(CEDIA)、酶增强免疫测定技术(EMIT)等生化研发平台；同时也具备高水平的全液体血凝研发技术团队。
