code,name,mv_mean,amount_mean,num_days,profit,主营产品名称,主营产品类型,公司简介
600276.SH,恒瑞医药,32643329.08574867,2473441.76073444,241,4530217550.47,碘佛醇、厄贝沙坦、恒瑞艾丰、恒瑞艾恒、恒瑞艾朗、恒瑞艾力、恒瑞艾素、恒瑞贝邦、恒瑞达宁、恒瑞大输液、恒瑞芙瑞、恒瑞芙欣、恒瑞盖衡、恒瑞恒恩、恒瑞吉加、恒瑞乐朗、恒瑞络林、恒瑞美安、恒瑞诺邦、恒瑞匹服平、恒瑞同奥、恒瑞威克、七氟烷,激素及调节内分泌功能类制剂、解热镇痛制剂、抗生素类抗感染制剂、抗肿瘤制剂、水、电解质及酸碱平衡调节制剂、血液系统用制剂、循环系统用制剂,公司是一家从事医药创新和高品质药品研发、生产及推广的医药健康企业，致力于在抗肿瘤药、手术用药、内分泌治疗药、心血管药及抗感染药等领域的创新发展，并逐步形成品牌优势。公司是国内知名的抗肿瘤药、手术用药和造影剂的供应商，也是国家抗肿瘤药技术创新产学研联盟牵头单位，建有国家靶向药物工程技术研究中心、博士后科研工作站。公司先后被评为“全国医药系统先进集体”、“国家重点高新技术企业”，国家火炬计划新医药研究开发及产业化基地的骨干企业之一，“国家863计划成果产业化基地”，连续多年被国家统计局列为全国化学制药行业十佳效益企业。
300122.SZ,智飞生物,23668082.987551868,2091420.9312572607,241,10208548452.56,ACYW135 群脑膜炎球菌多糖疫苗、A群C 群脑膜炎球菌多糖结合疫苗、微卡(注射用母牛分枝杆菌),疫苗,公司系一家集疫苗研发、生产、销售、配送及进出口为一体的生物高科技企业，主营的人用疫苗为国家七大战略性新兴产业，发展前景广阔。现在售产品包括AC群脑膜炎球菌(结合)b型流感嗜血杆菌(结合)联合疫苗(喜贝康)、b型流感嗜血杆菌结合疫苗(喜菲贝)、A、C、Y、W135群脑膜炎球菌多糖疫苗(盟威克)、注射用母牛分枝杆菌(微卡)、A群C群脑膜炎球菌多糖结合疫苗(盟纳康)等自主产品及统一销售默沙东授权的23价肺炎球菌多糖疫苗、甲型肝炎灭活疫苗(人二倍体细胞)、四价人乳头瘤病毒疫苗(酿酒酵母)、九价人乳头瘤病毒疫苗(酿酒酵母)、口服五价重配轮状病毒减毒活疫苗(Vero细胞)等所有进口疫苗。公司荣获全国非公有制企业双强百佳党组织、重庆市精神文明单位、全国“守合同重信用”企业、全国商务诚信试点企业、重庆市创新型企业、重庆市制造企业百强等荣誉称号。
000538.SZ,云南白药,12270727.9184572,633438.0672157677,241,2803621556.87,七花气血康口服液、七花血塞通胶囊、天紫红女金胶囊、兴中制药鞘蕊苏口服液、云丰宫血宁胶囊、云丰热毒清片、云健制药风寒感冒颗粒、云健制药风热感冒颗粒、云南白气雾剂、云南白药、云南白药创可贴、云南白药大药房、云南白药脑心舒口服液、云南白药青阳参片、云南白药牙膏、云南白药岩白菜素片、云南青阳参片、云南省医药有限公司、云南田七花叶颗粒,连锁药店、洗漱用品、药品经销、植物类中药制剂,公司是我国知名中成药生产企业，公司现拥有全资、控股、参股企业18家，是云南大型工商医药企业，是中国中成药五十强之一，1997年被确定为云南省首批重点培育的四十家大企业大集团之一。公司主要经营化学原料药、化学药制剂、中成药、中药材、生物制品等，公司产品以云南白药系列、三七系列和云南民族特色药品系列为主，共17种剂型200余个产品，产品畅销国内市场及东南亚一带，并逐渐进入日本、欧美等发达国家市场。云南白药是我国云南省特有的老字号中成药，“云南白药”品牌是经过百年的发展的老品牌、中国驰名商标。
000661.SZ,长春高新,11372411.759126805,2060604.1712074687,241,3757472953.11,华康血栓心脉宁、金磊赛强分泌型基因重组人粒细胞集落刺激因子、金磊生长素、怡众名城楼盘、长春高新冠脉宁片、长春高新甲型肝炎减毒活疫苗、长春高新脑蛋白水解物注射液、长春高新人用狂犬病纯化疫苗、长春高新疏清冲剂、长春高新微载体狂犬疫苗、长春高新新型水痘疫苗、长春高新血脂宁冲剂、长春高新益中生血片、长春高新注射用促肝细胞生长素、长春高新注射用前列地尔,基因制品、神经系统用制剂、疫苗、原料药、植物类中药制剂、住宅楼盘,公司于1993年6月成立，是东北地区最早的一批上市公司之一。公司主营业务以生物制药、中成药生产及销售为主，辅以房地产开发、物业管理等。上市多年来，公司凝炼并秉持“创新、专注、包容、共享”的发展理念，坚持以科技创新为源动力，主导产业成功实现由服务于开发区基础设施建设向生物制药及健康产业的转型，随着医药产业项目的成功孵化并壮大，支撑了经营业绩的快速增长，目前公司已成为国内生物医药领域具有一定技术领先优势的上市公司。
600196.SH,复星医药,11342712.894243589,2764176.171244813,241,4735269690.83,复星氨基酸、复星大药房、复星复方芦荟胶囊、复星核酸类临床诊断试剂、复星化类临床诊断试剂、复星酶免类临床诊断试剂、复星胰岛素、复星重组人γ干扰素、复星重组人红细胞生成素、复星重组人链激酶、广西花红花红片、广西花红消肿止痛酊、桂林制药青蒿琥酯、国大药房、金象大药房、药友阿拓莫兰、药友炎琥宁、药友注射用水溶性维生素,基因制品、抗组织胺类药及解毒药、连锁药店、维生素类与矿物质类制剂、营养补充类制剂、原料药、诊断用制剂、植物类中药制剂,公司是在中国医药行业处于领先地位的上市公司，专注现代生物医药健康产业。公司抓住中国医药市场的快速成长和中国企业进军世界主流医药市场的巨大机遇，战略性地覆盖研发制造、分销及终端等医药健康产业链的多个重要环节，形成了以药品研发制造为核心，同时在医药流通、医疗服务、医学诊断和医疗器械等领域拥有领先的市场地位，在研发创新、市场营销、并购整合、人才建设等方面形成竞争优势的大型专业医药健康产业集团。公司注重创新研发，拥有国家级企业技术中心，并在上海、重庆、美国建立了高效的国际化研发团队。公司研发专注于新陈代谢及消化道、心血管、抗肿瘤及免疫调节、神经系统、抗感染等治疗领域，且主要产品均在各自细分市场占据领先地位。在中国，复星医药已取得肝病、糖尿病、结核病、临床诊断产品等细分市场的竞争优势；在全球市场，复星医药也已成为抗疟药物的领先者。公司在聚焦发展核心制药业务的同时，积极发展医疗服务领域，并进一步巩固在医学诊断、医疗器械等领域的竞争优势。公司已在国内高端和专科医疗服务领域建立坚实基础。
300142.SZ,沃森生物,9807204.082857544,2730696.6238755183,241,427747681.59,b型流感嗜血杆菌结合疫苗、b型流感嗜血杆菌结合疫苗(全预充注射器)、冻干A、C群脑膜炎球菌多糖结合疫苗,疫苗,公司是专业从事人用疫苗等生物技术药集研发、生产、销售于一体的高科技生物制药企业，在以新型疫苗为代表的生物技术药细分领域处于行业领先地位。经过多年的发展，公司已形成了结构优良、品种丰富的产品管线，拥有全球两大重磅疫苗品种13价肺炎结合疫苗和HPV疫苗，并构建了国内领先的研发和产业化技术平台，聚集了一大批中西合璧的专业技术和管理人才，获得了一批国家“863计划”和“重大新药创制”科技重大专项支持，与盖茨基金会等国际著名机构建立了紧密的合作关系。
300601.SZ,康泰生物,7964166.913001701,854948.8397759337,241,1263377112.09,Hib疫苗、麻风二联苗、四联苗、乙肝疫苗,生物诊断试剂,公司是一家集生物制品研发、生产、销售于一体的上市企业，中国主要的乙肝疫苗生产企业之一。公司主营业务为人用疫苗的研发、生产和销售，产品种类涵盖一类和二类疫苗，目前主要产品有重组乙型肝炎疫苗(酿酒酵母)、b型流感嗜血杆菌结合疫苗、麻疹风疹联合减毒活疫苗、无细胞百白破b型流感嗜血杆菌联合疫苗等产品。自成立以来，康泰生物承担了多项国家、省、市级重点科研项目及技术开发任务，已具备多联多价疫苗、基因工程疫苗等新技术研发及产业化核心竞争力。其中自主研发的无细胞百白破b型流感嗜血杆菌联合疫苗为国内独家创新的“四联疫苗”，专门针对无应答人群的60微克乙肝疫苗拥有“国家重点新产品”称号。通过多年的不懈努力，康泰生物已经发展成为研发品种齐全、产品线丰富、技术优势明显的国家级高新技术企业，在国家计划免疫战线上有着举足轻重的地位。
002001.SZ,新和成,7718059.174000664,697820.8372199171,241,4324150263.31,新和成甲叉、新和成甲基乙烯酮、新和成维生素A、新和成维生素E、新和成维生素H、新和成香精香料、新和成乙氧甲叉、新和成异植物醇,食品添加剂、有机化工原料、原料药,公司是一家专业生产原料药、药品、食品添加剂、饲料添加剂、香精香料的国家级重点高新技术企业，是深交所中小企业板的第一股。公司自1999年创办以来，始终专注于精细化工，坚持创新驱动和均衡、永续发展理念，在营养品、香精香料、原料药、高分子新材料等领域，为全球100多个国家和地区的客户在动物营养、人类营养、医药、生命健康、环保、工程塑料等方面提供解决方案，以优质健康和绿色环保的产品不断改善人类生活品质，为利益相关方创造可持续的价值。公司已与国内外行业龙头企业建立了紧密的合作关系，成为国际知名医药和化妆品公司信赖和认可的品牌，并跻身中国医药工业百强、中国上市公司百强，正朝着中国新和成、世界新和成的目标迈进。
000963.SZ,华东医药,6576060.184964183,1149004.4680124482,241,2301631347.64,阿卡波糖片、氨酚双氢可待因、氨酚双氢曲马多、奥硝唑原料和制剂、华东医药新赛斯平、华东医药药品代理、卡迈克拉霉素干混悬剂、狮百令胶囊、狮卡博平、狮卡司平、狮泮立苏、狮新赛斯平、萧山三水一生,抗生素类抗感染制剂、泌尿系统用制剂、五官科用制剂、消化系统用制剂、循环系统用制剂、药品经销、植物类中药制剂、住宅楼盘、专科用制剂,公司业务覆盖医药全产业链，以医药工业为主导，同时拓展医药商业和医美产业。医药工业深耕于专科、慢病用药及特殊用药领域的研发、生产和销售，拥有多个在国内具有市场优势的一线临床用药，在抗肿瘤、内分泌和自身免疫三大核心治疗领域均已有全球首创新药布局，同时涉及肾科创新医疗器械领域。在线全部原料药、制剂产品均通过国家新版GMP认证，所有化药原料药均通过美国FDA和/或欧盟认证。在工业微生物领域已有多年的微生物药物生产经验，环孢素和阿卡波糖两个微生物药物均获得国家科技进步二等奖；拥有浙江省内最大规模的发酵单体车间和国内一流的工业微生物技术团队。医药商业是浙江省名列前茅、实力雄厚的综合性大型医药行业服务商，拥有中西药、医疗器械、药材参茸、健康产业四大业务板块，涵盖医药批发、医药零售、以冷链为特色的第三方医药物流、医药电商、医院增值服务及特色大健康产业，网络覆盖实现浙江省公立医疗机构、重点民营医疗与零售药店客户全覆盖。医美产业非手术类主流医美产品的研发、生产和销售，已形成差异化的综合化产品集群，实现了无创+微创的医美产业链全布局。核心产品已在全球60多个国家和地区上市。
002007.SZ,华兰生物,5528414.06873395,539629.4781410788,241,1298897164.35,华兰H1N1流感疫苗、华兰冻干人凝血酶原复合物、华兰冻干人凝血因子VIII、华兰静注丙球、华兰流感疫苗、华兰人免疫球蛋白、华兰人破伤风免疫球蛋白、华兰人血白蛋白、华兰人乙型肝炎免疫球蛋白、华兰外科用冻干人纤维蛋白胶,血液制品、疫苗,公司是从事血液制品研发和生产的重点高新技术企业，并首家通过血液制品行业的GMP认证。作为国家定点大型生物制品生产企业，公司以雄厚的技术开发实力、先进的技术水平及生产检测设备、科学规范的经营管理和完善的质量保证体系。公司先后承担多项国家、省、市级科技攻关项目，其中外科用冻干人纤维蛋白胶被列入国家863项目。华兰博士后科研工作站，河南省生物医药工程技术中心和中国科学院生物技术创新与产业化共同基金及中国科学院的多个联合实验室的成立，为企业的高成长性和核心竞争力奠定了坚实的基础。华兰生物拥有人血白蛋白、静注人免疫球蛋白、人免疫球蛋白、人凝血酶原复合物、外科用冻干人纤维蛋白胶等以“华兰”为品牌的血液制品。这些制品的“华兰”商标已成为中国血液制品行业公认品牌。
