code,name,mv_mean,amount_mean,num_days,profit
000516.SZ,国际医学,3007062.758639835,673818.3723186813,182,-822169217.83
002030.SZ,达安基因,2756257.361725145,668306.7411244813,241,3618186564.12
002044.SZ,美年健康,3089125.9476880957,459886.0320788382,241,64136014.05
002065.SZ,东华软件,2358413.265171162,245764.7973278009,241,459524309.55
002223.SZ,鱼跃医疗,3297562.5850117053,458025.5316680498,241,1482421641.48
002382.SZ,蓝帆医疗,1730621.4331094355,322709.6431410788,241,1155709191.19
002821.SZ,凯莱英,9137010.660724482,1044357.0871576763,241,1069273577.5
002901.SZ,大博医疗,2165231.406983569,85936.74815767635,241,673309413.17
300003.SZ,乐普医疗,4484051.5416902695,552432.5727344399,241,1719324578.02
300015.SZ,爱尔眼科,25488873.839646127,1885337.8475767637,241,2323343957.31
300168.SZ,万达信息,1489866.9696986142,173593.18970539418,241,69241554.98
300244.SZ,迪安诊断,2022006.649254473,271391.9400041494,241,1162884346.85
300253.SZ,卫宁健康,2912212.414580369,279855.6733432203,236,378174115.45
300298.SZ,三诺生物,1491785.5082470125,70416.15384647303,241,107569179.71
300347.SZ,泰格医药,10510411.917533703,1030600.491340249,241,2874163020.17
300363.SZ,博腾股份,4589815.09855139,644510.3534232365,241,523915383.33
300463.SZ,迈克生物,1795205.4307479667,249846.7735228216,241,956604404.94
300482.SZ,万孚生物,2161195.271489195,604199.7925020747,241,634433145.2
300529.SZ,健帆生物,4810470.149394507,438550.8974315353,241,1196813354.44
300595.SZ,欧普康视,5727571.960882431,662088.7738755187,241,554737175.25
300676.SZ,华大基因,3976650.103931224,397625.78818257264,241,1461536272.38
300677.SZ,英科医疗,3432967.155505535,1044407.1639751038,241,7430075719.0
300685.SZ,艾德生物,1654021.141026971,133212.7178879668,241,239573622.91
300759.SZ,康龙化成,11006093.132987054,776683.4333900415,241,1661028567.53
300760.SZ,迈瑞医疗,45270403.89249247,1853735.442485477,241,8001553606.0
300832.SZ,新产业,3787411.524983112,137208.35963070538,241,973696489.03
300869.SZ,康泰医学,1916560.732760166,261639.60656846472,241,352353389.5
300896.SZ,爱美客,12362609.301908717,1406292.5986804978,241,957798548.01
300981.SZ,中红医疗,1495668.9169294606,207900.54620746887,241,2341903879.36
600529.SH,山东药玻,2031306.294362336,371916.9120705394,241,591088499.35
600763.SH,通策医疗,7829547.174771785,1221234.956377593,241,702806792.12
603127.SH,昭衍新药,3985527.525175382,395450.0450954357,241,557459609.09
603259.SH,药明康德,32942563.42150743,3323076.08866805,241,5097155283.68
603392.SH,万泰生物,14510214.180780085,383623.9565228216,241,2021467667.66
603456.SH,九洲药业,4006974.1401560577,440351.2362697096,241,633900939.63
603658.SH,安图生物,3475659.5866357638,257135.22917012445,241,973663074.64
603882.SH,金域医学,5005543.746426245,477951.3295020747,241,2219640445.22
688016.SH,心脉医疗,1942953.0122991288,230524.4472738589,241,315855662.84
688029.SH,南微医学,2893732.5926750205,189377.54452697092,241,324750539.99
688050.SH,爱博医疗,2509263.4633278674,249440.11847302903,241,171344218.27
688139.SH,海尔生物,2948851.5510286805,175002.5039211618,241,845035305.76
688198.SH,佰仁医疗,1998612.56345283,56423.49520331951,241,51198204.92
688202.SH,美迪西,3147097.089888614,337547.4365145228,241,282222910.23
688289.SH,圣湘生物,2666082.987551867,166883.64927800832,241,2242696395.58
688298.SH,东方生物,2442564.6473029046,711094.702493776,241,4920188146.66
688301.SH,奕瑞科技,2792451.314783917,193386.4822987552,241,484039540.68
688315.SH,诺禾致源,1710938.029045643,74907.66928630705,241,224986098.35
688363.SH,华熙生物,8575854.949748889,578219.6457593361,241,782334573.48
688366.SH,昊海生科,2046050.3975103733,227332.31893361,241,352235233.39
688617.SH,惠泰医疗,2022954.2546887968,105692.94845643154,241,207921095.5
