code,name,mv_mean,amount_mean,num_days,profit
600519.SH,贵州茅台,236012581.82327557,7272471.346705394,241,52460144378.16
000858.SZ,五粮液,87637012.78601614,5428418.576809129,241,23377074353.4
000568.SZ,泸州老窖,32276631.73852365,2797762.2567095435,241,7955554351.73
600702.SH,舍得酒业,6654043.758989858,2245927.097448276,232,1245654521.13
600809.SH,山西汾酒,36883329.13602252,2229108.141082988,241,5313612016.46
000799.SZ,酒鬼酒,6816887.309374358,1721393.06626556,241,893489153.57
002304.SZ,洋河股份,26323928.816630702,1463298.7965684647,241,7507682797.4
600559.SH,老白干酒,2134300.573125411,1085393.1848340249,241,389206340.64
600199.SH,金种子酒,1184806.7168149045,919477.992373444,241,-166407904.84
600779.SH,水井坊,5654662.240569917,896093.691780083,241,1199075865.55
603589.SH,口子窖,3797808.2987551866,826585.0754979253,241,1727088233.89
603198.SH,迎驾贡酒,4341354.356846473,616415.8487385892,241,1382020832.24
000860.SZ,顺鑫农业,2566012.088914245,613351.9294398341,241,102302082.57
000596.SZ,古井贡酒,8945557.371784233,573888.9753775934,241,2297894413.25
603369.SH,今世缘,6336208.819502074,558482.5437302905,241,2029127929.45
600197.SH,伊力特,1266080.9661619791,520743.41492946056,241,312755722.47
002646.SZ,天佑德酒,919886.371104108,350178.67738174275,241,63224775.6
603919.SH,金徽酒,1838223.931784112,348809.0221037345,241,324843020.47
