code,name,mv_mean,amount_mean,num_days,profit
000568.SZ,泸州老窖,32276631.73852365,2797762.2567095435,241,7955554351.73
000596.SZ,古井贡酒,8945557.371784233,573888.9753775934,241,2297894413.25
000729.SZ,燕京啤酒,2036213.398520693,170722.62252282156,241,228011068.22
000799.SZ,酒鬼酒,6816887.309374358,1721393.06626556,241,893489153.57
000858.SZ,五粮液,87637012.78601614,5428418.576809129,241,23377074353.4
000860.SZ,顺鑫农业,2566012.088914245,613351.9294398341,241,102302082.57
000869.SZ,张裕A,1477930.3525244817,107580.69872614108,241,500102606.0
000929.SZ,兰州黄河,172968.9579585062,100604.40691286308,241,19113932.49
002304.SZ,洋河股份,26323928.816630702,1463298.7965684647,241,7507682797.4
002461.SZ,珠江啤酒,2093404.648913527,100130.30836514525,241,611189481.92
002568.SZ,百润股份,4776400.323672017,406035.6087966805,241,666063833.97
002646.SZ,天佑德酒,919886.371104108,350178.67738174275,241,63224775.6
300755.SZ,华致酒行,1681812.6741709542,207154.14432780084,241,675531930.39
600059.SH,古越龙山,1037172.6256464522,227724.08872614108,241,200470301.7
600132.SH,重庆啤酒,7236602.432156315,613115.2512863071,241,1166243415.91
600197.SH,伊力特,1266080.9661619791,520743.41492946056,241,312755722.47
600199.SH,金种子酒,1184806.7168149045,919477.992373444,241,-166407904.84
600238.SH,海南椰岛,822391.2074688796,704988.5115726141,241,-60140934.64
600519.SH,贵州茅台,236012581.82327557,7272471.346705394,241,52460144378.16
600543.SH,莫高股份,226112.4507883817,77504.9096473029,241,-98695658.71
600559.SH,老白干酒,2134300.573125411,1085393.1848340249,241,389206340.64
600573.SH,惠泉啤酒,239935.6846473029,100626.81934854772,241,31031788.65
600600.SH,青岛啤酒,6642143.816391303,678319.5279875519,241,3155455810.0
600616.SH,金枫酒业,488542.946703112,171043.29743568465,241,-12845796.03
600702.SH,舍得酒业,6654043.758989858,2245927.097448276,232,1245654521.13
600779.SH,水井坊,5654662.240569917,896093.691780083,241,1199075865.55
600809.SH,山西汾酒,36883329.13602252,2229108.141082988,241,5313612016.46
601579.SH,会稽山,553324.3505394191,135052.315406639,241,283733736.07
603198.SH,迎驾贡酒,4341354.356846473,616415.8487385892,241,1382020832.24
603369.SH,今世缘,6336208.819502074,558482.5437302905,241,2029127929.45
603589.SH,口子窖,3797808.2987551866,826585.0754979253,241,1727088233.89
603779.SH,威龙股份,255245.3740384368,64308.02001724138,174,-414035672.13
603919.SH,金徽酒,1838223.931784112,348809.0221037345,241,324843020.47
