code,name,mv_mean,amount_mean,num_days,profit
601398.SH,工商银行,128787377.20950072,919658.8354730292,241,348338000000.0
600036.SH,招商银行,104346679.14778844,3107476.8698381744,241,119922000000.0
601288.SH,农业银行,96292531.82490326,711849.0399626556,241,241183000000.0
601988.SH,中国银行,65593551.49375327,435223.7089626556,241,216559000000.0
601166.SH,兴业银行,41862235.562267184,2179410.156580913,241,82680000000.0
601658.SH,邮储银行,38465916.555723175,787049.8285643153,241,76170000000.0
000001.SZ,平安银行,36269339.0221334,1839683.0055352696,241,36336000000.0
600000.SH,浦发银行,26349106.35102599,328043.04304149374,241,53003000000.0
002142.SZ,宁波银行,23546244.909131337,1006562.2318042554,235,19546000000.0
601328.SH,交通银行,18484062.484607387,468570.9233278008,241,87581000000.0
601998.SH,中信银行,16297527.282664958,119781.9844813278,241,55641000000.0
601995.SH,中金公司,14667412.42148,1055137.85806639,241,10777713147.0
600016.SH,民生银行,14391294.75768066,302177.2322074689,241,34381000000.0
601818.SH,光大银行,14288296.464920776,358734.8289004149,241,43407000000.0
601688.SH,华泰证券,11861099.282888632,1347319.1084896268,241,13346106674.68
601229.SH,上海银行,10450506.011295913,182316.0518962656,241,22042452000.0
601009.SH,南京银行,9863123.269570457,420449.3252240664,241,15856757000.0
600919.SH,江苏银行,9831115.529262943,720147.3987676349,241,19694365000.0
601169.SH,北京银行,9626900.801325211,289729.798033195,241,22226000000.0
600015.SH,华夏银行,8841332.89738551,141264.46361825726,241,23535000000.0
600926.SH,杭州银行,8548719.020100003,341012.31212448137,241,9261019000.0
601881.SH,中国银河,6723035.942925427,307605.1321286307,241,10430238562.65
601901.SH,方正证券,6687062.348117677,410413.2862987552,241,1822282069.48
601825.SH,沪农商行,6673367.480059207,190533.2041097561,164,9697866000.0
601916.SH,浙商银行,6013545.638312315,93563.35790456431,241,12648000000.0
601939.SH,建设银行,5904279.237020415,542278.7477385892,241,302513000000.0
601788.SH,光大证券,5854682.62648461,607203.3796431535,241,3484331817.14
601838.SH,成都银行,4697500.536648423,347494.32541493775,241,7830736000.0
601878.SH,浙商证券,4688608.2211444685,720556.4697676349,241,2195682763.42
601696.SH,中银证券,3994118.489626556,637520.8725601659,241,961625314.57
601077.SH,渝农商行,3487706.212942722,170640.60244813276,241,9559709000.0
601577.SH,长沙银行,3330981.22057454,121571.33527800832,241,6304376000.0
001227.SZ,兰州银行,3281422.5776502155,963013.9989692308,65,1566052949.7
601665.SH,齐鲁银行,2795123.19351576,309453.01689423074,208,3035644000.0
601997.SH,贵阳银行,2482073.023320049,113770.21738174274,241,6044831000.0
002966.SZ,苏州银行,2374256.447537577,132149.81470954357,241,3106689163.0
002958.SZ,青农商行,2176202.238823191,77684.59606639003,241,3065549000.0
601187.SH,厦门银行,2033760.133740548,125833.51204564316,241,2168597917.89
002936.SZ,郑州银行,2016486.158542614,50551.47785477179,241,3226192000.0
600928.SH,西安银行,1954135.5465789835,45706.41341078838,241,2804324000.0
601128.SH,常熟银行,1897832.3304085063,276830.93876348546,241,2188079000.0
601963.SH,重庆银行,1768392.6827187012,127810.4342614108,241,4663743000.0
601528.SH,瑞丰银行,1635255.937933138,240620.8405270936,203,1271132000.0
002948.SZ,青岛银行,1358623.032979021,59269.65709361702,235,2922664000.0
601860.SH,紫金银行,1224517.773242253,79707.73764730291,241,1515204000.0
600908.SH,无锡银行,1088305.167796224,117930.01819917012,241,1580041000.0
002839.SZ,张家港行,1067363.6048374274,162809.06542738588,241,1303849618.24
603323.SH,苏农银行,901131.0666136598,107326.53021576763,241,1160354000.0
002807.SZ,江阴银行,853364.8465295103,73038.38041493775,241,1273690000.0
