code,name,mv_mean,amount_mean,num_days,profit,code,name,mv_mean,amount_mean,num_days,profit
688396.SH,华润微,8951537.43188141,960743.8598921162,241,2267920399.95,002079.SZ,苏州固锝,1034948.6715132698,487077.0353609959,241,217714402.67
688126.SH,沪硅产业-U,6772216.060032262,504322.258439834,241,146112351.76,002218.SZ,拓日新能,808214.6722179003,267124.910120332,241,195445162.98
605358.SH,立昂微,4932380.835834257,660729.1253360995,241,600303350.38,002335.SZ,科华数据,1402128.7360319877,665264.096,241,438691895.36
003022.SZ,联泓新科,4901365.748979253,509410.8503153527,241,1090569755.94,002518.SZ,科士达,1365689.441777967,459550.7220456432,241,373200496.33
601636.SH,旗滨集团,4676649.515450901,1075926.509120332,241,4233527064.53,002623.SZ,亚玛顿,672585.320280083,161119.21208713693,241,53998951.97
605117.SH,德业股份,3520536.5800456437,501673.8423775933,241,578555272.84,300080.SZ,易成新能,1168062.4685651371,126835.00430705394,241,-185266807.92
300373.SZ,扬杰科技,2973502.4814991537,1015833.4712697096,241,768103337.9,300827.SZ,上能电气,1111939.7280497926,473398.0184937759,241,58909033.71
300376.SZ,易事特,2141806.884304066,733597.1012863071,241,515403900.76,600821.SH,金开新能,1143579.7351677346,405366.4769917012,241,406161268.83
688680.SH,海优新材,1969792.4218257263,288503.3483278008,241,252178402.41,601137.SH,博威合金,1258843.23432722,235626.27469294608,241,310250751.82
600546.SH,山煤国际,1919445.293392531,801333.7211701245,241,4937738539.33,603063.SH,禾望电气,1213427.9456717842,344310.2836514523,241,279943505.42
300456.SZ,赛微电子,1715620.3664975062,405407.5331950208,241,205727463.64,603212.SH,赛伍技术,1130691.882672199,137423.969406639,241,170092277.25
600481.SH,双良节能,1596217.3577586722,367873.4378506224,241,310129032.89,603396.SH,金辰股份,1089327.956792747,473792.32261825725,241,60811035.35
