code,name,mv_mean,amount_mean,num_days,profit
000012.SZ,南玻A,1873209.9987432824,483020.0969917012,241,1529329304.0
000591.SZ,太阳能,2604695.9094605814,1463866.1598879667,241,1180846605.95
000875.SZ,吉电股份,1944183.2349380609,806631.541935065,231,450378911.9
002056.SZ,横店东磁,2476311.209199096,678497.788340249,241,1120444284.34
002129.SZ,中环股份,13237387.034922857,2349741.2192282155,241,4029617597.1
002459.SZ,晶澳科技,11265760.558325382,1215984.770659751,241,2038628714.36
002506.SZ,协鑫集成,2244184.102783888,594362.1212033195,241,-1982880721.38
002610.SZ,爱康科技,1685271.2664853567,1347969.8376970957,241,-406044783.9
002617.SZ,露笑科技,2126907.3579752366,1270903.314580913,241,66750737.96
003022.SZ,联泓新科,4901365.748979253,509410.8503153527,241,1090569755.94
003035.SZ,南网能源,3192867.4706536974,381235.2406846473,241,473924709.4
300118.SZ,东方日升,2059263.377572668,1252418.4365518673,241,-42318677.35
300274.SZ,阳光电源,18414479.887996845,3594268.654643154,241,1582707374.76
300316.SZ,晶盛机电,7760726.968944788,861510.7226348547,241,1711717145.99
300373.SZ,扬杰科技,2973502.4814991537,1015833.4712697096,241,768103337.9
300376.SZ,易事特,2141806.884304066,733597.1012863071,241,515403900.76
300393.SZ,中来股份,1574049.7163448546,976954.2160912864,241,-313361310.51
300450.SZ,先导智能,10371623.125220526,1102543.25106639,241,1584673046.04
300456.SZ,赛微电子,1715620.3664975062,405407.5331950208,241,205727463.64
300724.SZ,捷佳伟创,3925024.9235043153,865579.2198174275,241,717399875.37
300751.SZ,迈为股份,5884955.7705804445,783777.1261369294,241,642802185.94
300763.SZ,锦浪科技,5320183.189005407,848585.6020829875,241,473833499.69
300776.SZ,帝尔激光,1934542.817982548,232325.0042821577,241,381020267.65
600032.SH,浙江新能,2822171.7333333334,451026.6566488889,225,454958780.04
600089.SH,特变电工,7191565.548402555,2453578.4591037347,241,7254795959.39
600151.SH,航天机电,1536518.640941112,260601.9064688797,241,59990004.2
600438.SH,通威股份,20043656.95139718,3392122.740792531,241,8207920822.18
600481.SH,双良节能,1596217.3577586722,367873.4378506224,241,310129032.89
600546.SH,山煤国际,1919445.293392531,801333.7211701245,241,4937738539.33
600732.SH,爱旭股份,3340078.3871033737,402028.3948630705,241,-125555058.98
600770.SH,综艺股份,823903.3195020747,151661.51128630704,241,59874989.03
601012.SH,隆基股份,43398988.45815187,6452129.406502075,241,9085880513.3
601222.SH,林洋能源,1942035.3210226516,707346.0118921162,241,930473383.0
601636.SH,旗滨集团,4676649.515450901,1075926.509120332,241,4233527064.53
601778.SH,晶科科技,2021287.7972237675,483770.1400912863,241,361013902.42
601865.SH,福莱特,7534738.53451659,741944.7200456432,241,2119919326.43
601877.SH,正泰电器,9611764.53604222,1194118.4321493777,241,3400637980.92
601908.SH,京运通,2287690.933861879,735124.8901410787,241,828159225.47
603185.SH,上机数控,5409115.859317145,1142305.3023153527,241,1711409280.61
603806.SH,福斯特,10892129.858743183,869686.1682033195,241,2196549310.84
605117.SH,德业股份,3520536.5800456437,501673.8423775933,241,578555272.84
605358.SH,立昂微,4932380.835834257,660729.1253360995,241,600303350.38
688126.SH,沪硅产业-U,6772216.060032262,504322.258439834,241,146112351.76
688390.SH,固德威,3249912.2987551866,564390.2850373444,241,279535000.04
688396.SH,华润微,8951537.43188141,960743.8598921162,241,2267920399.95
688408.SH,中信博,2169455.8723122,294011.8749419087,241,15032252.95
688516.SH,奥特维,1837503.978921162,212423.42151037345,241,370724612.47
688598.SH,金博股份,2294440.757360332,466821.4781078838,241,501095974.05
688599.SH,天合光能,11128859.071453208,1129777.3023817427,241,1804231711.5
688680.SH,海优新材,1969792.4218257263,288503.3483278008,241,252178402.41
