code,name,mv_mean,amount_mean,num_days,profit,code,name,mv_mean,amount_mean,num_days,profit
300363.SZ,博腾股份,4605923.752741246,772690.5614672131,122,523915383.33,300017.SZ,网宿科技,1519401.2444704918,447626.8498032787,122,165240702.33
300376.SZ,易事特,2150251.1697403933,508677.97748360655,122,515403900.76,300024.SZ,机器人,1547107.9094526477,172077.18013934427,122,-562402840.82
300604.SZ,长川科技,2733643.2305625,480853.8433928572,112,218236745.88,300298.SZ,三诺生物,1367322.2770146066,68270.82217213114,122,107569179.71
300672.SZ,国科微,2494091.8232969753,679265.2708278688,122,293078019.06,300369.SZ,绿盟科技,1139233.0313355166,187202.52086885247,122,344541707.28
300776.SZ,帝尔激光,2268637.9588383115,305200.1398360656,122,381020267.65,300456.SZ,赛微电子,1591939.792350951,207560.75731967212,122,205727463.64
300777.SZ,中简科技,2209954.4814118524,348489.6270081967,122,201265642.58,300463.SZ,迈克生物,1563772.9792021313,302880.4366885246,122,956604404.94
300821.SZ,东岳硅材,2193177.049180328,376730.32175409835,122,1150634466.69,300567.SZ,精测电子,1493195.0156802624,268779.7491967213,122,192288353.49
300850.SZ,新强联,3101059.077313033,491263.1641229508,122,514307382.17,300768.SZ,迪普科技,1570071.1862601147,65198.164754098354,122,309268952.41
301029.SZ,怡合达,3258120.7952459017,53090.22626229509,122,400646567.66,300783.SZ,三只松鼠,1361904.4672131147,161080.59728688523,122,411108814.08
301047.SZ,义翘神州,2277042.481967213,212070.04604918032,122,720013671.11,300869.SZ,康泰医学,1478434.379514754,340333.6741229508,122,352353389.5
