code,name,mv_mean,amount_mean,num_days,profit
300001.SZ,特锐德,2387910.7309784996,414307.2855327869,122,187174232.5
300003.SZ,乐普医疗,3847715.8824994587,479274.7231885246,122,1719324578.02
300009.SZ,安科生物,1848068.2790139834,269938.70154098363,122,206629495.23
300012.SZ,华测检测,3796030.4931720165,272869.04978688527,122,746186939.78
300014.SZ,亿纬锂能,19213983.298360035,3145695.988836066,122,2905792903.68
300015.SZ,爱尔眼科,20458263.055901352,1548600.2882295083,122,2323343957.31
300033.SZ,同花顺,6103359.580327868,791543.3988196722,122,1911204641.07
300037.SZ,新宙邦,4132163.145257262,594784.027762295,122,1306639758.89
300058.SZ,蓝色光标,2059679.921859967,1407103.0722459017,122,521809348.14
300059.SZ,东方财富,32474706.742539067,5395378.229909836,122,8552927696.06
300070.SZ,碧水源,2287790.9645759095,183140.46040163934,122,583808154.03
300073.SZ,当升科技,4170226.3991918853,869707.7684672131,122,1090983029.97
300088.SZ,长信科技,2517092.973133246,1131279.2488442622,122,904239101.53
300115.SZ,长盈精密,1700556.8009612458,412557.88759836066,122,-604596722.65
300122.SZ,智飞生物,19766622.95081967,1636104.244057377,122,10208548452.56
300124.SZ,汇川技术,16546037.51594959,1098600.263319672,122,3573404586.07
300136.SZ,信维通信,2125732.4359050496,371612.0672704918,122,505097360.06
300142.SZ,沃森生物,8794933.85315751,1971874.4916885246,122,427747681.59
300144.SZ,宋城演艺,3741562.875484918,491631.270647541,122,315130771.75
300146.SZ,汤臣倍健,4091305.244661918,271285.82813114754,122,1753979273.19
300171.SZ,东富龙,2798814.0380006554,256233.5203852459,122,827775241.28
300207.SZ,欣旺达,6323297.839058426,1358526.2295491803,122,915654084.18
300212.SZ,易华录,1863938.2609147872,374416.0643852459,122,-166673103.78
300223.SZ,北京君正,5499735.66158314,909687.3445983606,122,926181170.71
300244.SZ,迪安诊断,1927016.3242825572,287378.80492622947,122,1162884346.85
300251.SZ,光线传媒,2860123.945375475,229821.06952459016,122,-311682598.95
300253.SZ,卫宁健康,2657946.2401692704,279903.9832786885,122,378174115.45
300274.SZ,阳光电源,18442292.090373248,2672380.4958934425,122,1582707374.76
300285.SZ,国瓷材料,3928535.177066853,170466.72502459018,122,795159851.29
300294.SZ,博雅生物,1750533.8227908933,236603.02395081965,122,344528999.52
300296.SZ,利亚德,2280586.600125984,631770.8288934426,122,610894622.18
300308.SZ,中际旭创,2887208.787315844,279808.05265573773,122,876977126.32
300316.SZ,晶盛机电,8147911.834715361,745105.7552868852,122,1711717145.99
