code,name,mv_mean,amount_mean,num_days,profit
300003.SZ,乐普医疗,4484051.5416902695,552432.5727344399,241,1719324578.02
300014.SZ,亿纬锂能,19551284.974921074,3298660.6616099584,241,2905792903.68
300118.SZ,东方日升,2059263.377572668,1252418.4365518673,241,-42318677.35
300122.SZ,智飞生物,23668082.987551868,2091420.9312572612,241,10208548452.56
300124.SZ,汇川技术,17211685.49993098,1483462.9808174274,241,3573404586.07
300142.SZ,沃森生物,9807204.082857544,2730696.6238755183,241,427747681.59
300207.SZ,欣旺达,5944321.185746764,1583881.277120332,241,915654084.18
300223.SZ,北京君正,5557638.6367360875,1112515.8013112033,241,926181170.71
300274.SZ,阳光电源,18414479.887996845,3594268.654643154,241,1582707374.76
300316.SZ,晶盛机电,7760726.968944788,861510.7226348547,241,1711717145.99
300339.SZ,润和软件,2076786.3766624278,2322576.489576271,236,176221262.75
300346.SZ,南大光电,1957477.5528289375,1105990.479485477,241,136226627.1
300347.SZ,泰格医药,10510411.917533703,1030600.491340249,241,2874163020.17
300390.SZ,天华超净,4404133.555510622,1388641.3463236515,241,910697235.61
300408.SZ,三环集团,7124728.924838311,535108.4016929461,241,2010811421.49
300433.SZ,蓝思科技,10639924.663439179,825100.6785228215,241,2070242934.38
300450.SZ,先导智能,10371623.125220526,1102543.25106639,241,1584673046.04
300454.SZ,深信服,8572057.79895736,435743.39867219917,241,272857861.09
300496.SZ,中科创达,5571394.396636275,784582.928792531,241,647269132.32
300558.SZ,贝达药业,3358913.7334574065,254618.18437344398,241,383067840.44
300601.SZ,康泰生物,7964166.913001701,854948.8397759337,241,1263377112.09
300628.SZ,亿联网络,7285105.038924275,208776.11082157676,241,1616080443.77
300661.SZ,圣邦股份,6915231.479874067,656868.0477344398,241,699389578.69
300676.SZ,华大基因,3976650.103931224,397625.78818257264,241,1461536272.38
300750.SZ,宁德时代,122422177.29624707,7336981.338506224,241,15931317900.0
300751.SZ,迈为股份,5884955.7705804445,783777.1261369294,241,642802185.94
300759.SZ,康龙化成,11006093.132987054,776683.4333900415,241,1661028567.53
300760.SZ,迈瑞医疗,45270403.89249247,1853735.442485477,241,8001553606.0
300782.SZ,卓胜微,11332512.471116025,1445771.5803360995,241,2134834604.14
300896.SZ,爱美客,12362609.301908715,1406292.5986804978,241,957798548.01
300919.SZ,中伟股份,8361701.957174589,378916.97779253114,241,938952084.15
688008.SH,澜起科技,7536548.430111943,482941.6856929461,241,829137544.38
688012.SH,中微公司,8647865.454427037,1122703.8740331952,241,1011423670.06
688036.SH,传音控股,11869322.250475727,421852.5365643154,241,3909229343.57
688111.SH,金山办公,12994155.352697095,606759.6549045643,241,1041253876.4
688126.SH,沪硅产业-U,6772216.060032262,504322.258439834,241,146112351.76
688169.SH,石头科技,6073991.281326012,499249.57293775934,241,1402476092.0
688180.SH,君实生物-U,4729062.06093361,537523.5567053942,241,-720909747.05
688185.SH,康希诺,4355987.7925385395,713966.0101742739,241,1914390000.0
688187.SH,时代电气,5466279.894928847,479624.1428741722,151,2017694796.0
688256.SH,寒武纪-U,3692095.4761404567,208945.90024066388,241,-824949409.11
688303.SH,大全能源,12293280.163043479,666494.4724184782,184,5723842382.35
688396.SH,华润微,8951537.43188141,960743.8598921162,241,2267920399.95
688521.SH,芯原股份-U,3302234.436139187,213987.32370954356,241,13292357.58
688561.SH,奇安信-U,5718925.443475818,209143.48868879667,241,-554749572.44
688599.SH,天合光能,11128859.071453208,1129777.3023817427,241,1804231711.5
688728.SH,格科微,7057145.127196163,213965.62814545454,165,1258447129.0
688772.SH,珠海冠宇,4726361.002791815,261862.19176153844,130,945826719.86
688819.SH,天能股份,4112108.041908714,192224.78963900416,241,1369365754.85
688981.SH,中芯国际,10423059.247095434,1702576.0368215768,241,10733098000.0
