code,name,mv_mean,amount_mean,profit,主营产品名称,主营产品类型,公司简介
000063.SZ,中兴通讯,11567939.280655663,1843938.0718298755,6812941000.0,中兴xDSL终端、中兴刀片服务器、中兴多业务节点设备、中兴机架服务器、中兴基站、中兴基站监控系统、中兴计费结算系统、中兴家庭网关、中兴宽带网关、中兴宽带网络机顶盒、中兴路由交换机、中兴路由器、中兴模块电源、中兴手机、中兴通讯终端&业务管理平台（ZXCSM）系统、中兴网管系统、中兴小容量中继网关、中兴综合接入设备（IAD）,传输设备、电子元器件、服务器与工作站、计费结算系统、交换设备、接入设备、其他消费电子产品、通信系统与平台、通信终端设备、网管软件、移动通讯设备与配件,公司是全球领先的综合性通信制造业上市公司，是近年全球增长快速的通信解决方案提供商。公司拥有通信业界完整的、端到端的产品线和融合解决方案，通过全系列的无线、有线、业务、终端产品和专业通信服务，灵活满足全球不同运营商和企业网客户的差异化需求以及快速创新的追求。公司通过为全球多个国家和地区的电信运营商和企业网客户提供创新技术与产品解决方案，让全世界用户享有语音、数据、多媒体、无线宽带等全方位沟通。公司坚持以持续技术创新为客户不断创造价值。公司在美国、加拿大、瑞典、中国等地设立全球研发机构，凭借不断增强的创新能力、突出的灵活定制能力、日趋完善的交付能力赢得全球客户的信任与合作。公司在全球范围内开展社区公益和救助行动，参加了印尼海啸、海地及汶川地震等重大自然灾害救助，并成立了中国规模最大的“关爱儿童专项基金”。
688981.SH,中芯国际,9814771.838860655,1702576.0368215768,10733098000.0,光掩模制造、集成电路晶圆代工、设计服务与IP支持、凸块加工及测试,专业咨询服务,"公司是全球领先的集成电路晶圆代工企业之一，也是中国大陆技术最先进、规模最大、配套服务最完善、跨国经营的专业晶圆代工企业，主要为客户提供0.35微米至14纳米多种技术节点、不同工艺平台的集成电路晶圆代工及配套服务,在逻辑工艺领域，中芯国际是中国大陆第一家实现14纳米FinFET量产的晶圆代工企业，代表中国大陆自主研发集成电路制造技术的最先进水平；在特色工艺领域，中芯国际陆续推出中国大陆最先进的24纳米NAND、40纳米高性能图像传感器等特色工艺，与各领域的龙头公司合作，实现在特殊存储器、高性能图像传感器等细分市场的持续增长,除集成电路晶圆代工业务外，中芯国际亦致力于打造平台式的生态服务模式，为客户提供设计服务与IP支持、光掩模制造、凸块加工及测试等一站式配套服务，并促进集成电路产业链的上下游合作，与产业链各环节的合作伙伴一同为客户提供全方位的集成电路解决方案。"
688008.SH,澜起科技,8324217.415194688,482941.6856929461,829137544.38,DDR2高级内存缓冲器芯片、DDR3寄存缓冲器芯片（1.5V/1.35V）、DDR3寄存缓冲器芯片（1.5V/1.35V/1.25V）、DDR3内存缓冲器芯片、标准版混合安全内存模组 (HSDIMM)、第二代（Gen2）DDR4寄存时钟驱动器芯片、第二代（Gen2）DDR4数据缓冲器芯片、第二代+（Gen2 Plus）DDR4寄存时钟驱动器芯片、第二代+（Gen2 Plus）DDR4数据缓冲器芯片、第一代（Gen1）DDR4寄存时钟驱动器芯片、第一代（Gen1）DDR4数据缓冲器芯片、津逮服务器CPU、精简版混合安全内存模组 (HSDIMM-Lite)、消费电子芯片,专用设备与零部件,公司是业界领先的集成电路设计公司，为全球仅有的3家内存接口芯片供应商之一。主要经营模式为Fabless模式，在该模式下企业仅需专注于从事产业链中的集成电路设计和营销环节，其余委托代工完成；由公司取得测试芯片成品销售给客户。公司的主营业务是为云计算和人工智能领域提提供以芯片为基础的解决方案，目前主要产品包括内存接口，津逮服务器CPU以及混合安全内存模组。公司发明的DDR4全缓冲“1+9”架构被采纳为国际标准。现已成为全球可提供从DDR2到DDR4内存全缓冲/半缓冲完整解决方案的主要供应商之一，在内存接口芯片市场位列全球前二。
688012.SH,中微公司,7993499.095081966,1122703.8740331952,1011423670.06,MOCVD设备、VOC设备、电感性等离子体刻蚀设备、电容性等离子体刻蚀设备,电子设备及加工,公司是一家以中国为基地、面向全球的高端半导体微观加工设备公司，深耕芯片制造刻蚀领域，研制出了国内第一台电介质刻蚀机，是我国集成电路设备行业的领先企业。公司专注于集成电路、LED关键制造设备，核心产品包括：1)用于IC集成电路领域的等离子体刻蚀设备(CCP、ICP)、深硅刻蚀设备(TSV)；2)用于LED芯片领域的MOCVD设备。目前公司等离子体刻蚀设备已被广泛应用于国际一线客户从65纳米到14纳米、7纳米和5纳米的集成电路加工制造及先进封装。公司的MOCVD设备在行业领先客户的生产线上大规模投入量产，公司已成为世界排名前列、国内占主导地位的氮化镓基LED设备制造商。
688396.SH,华润微,7926405.015973778,960743.8598921162,2267920399.95,AC-DC、BMS IC、FRD、IGBT、LED驱动IC、MEMS传感器、MOSFET、SBD、电机驱动IC、光电传感产品、计量计算MCU、人机交互MCU、通用型MCU、无线充电IC、线性稳压IC、烟雾传感器、音频功放IC,电子元器件,公司是中国领先的拥有芯片设计、晶圆制造、封装测试等全产业链一体化经营能力的半导体企业，产品聚焦于功率半导体、智能传感器与智能控制领域，为客户提供丰富的半导体产品与系统解决方案。公司产品设计自主、制造全程可控，在分立器件及集成电路领域均已具备较强的产品技术与制造工艺能力，形成了先进的特色工艺和系列化的产品线。公司是华润集团半导体投资运营平台，始终以振兴民族半导体产业为己任，曾先后整合了华科电子、中国华晶、上华科技等中国半导体先驱。公司及下属相关经营主体曾建成并运营中国第一条4英寸晶圆生产线、第一条6英寸晶圆生产线，承担了多项国家重点专项工程。经过多年发展及一系列整合，公司已成为中国本土具有重要影响力的综合性半导体企业，自2004年起连续被工信部评为中国电子信息百强企业。公司已获得包括国家技术发明二等奖、“九五”国家重点科技攻关优秀科技成果奖、教育部技术发明一等奖、教育部技术发明二等奖、省级科技进步一等奖及国家级及省部级研发项目在内的多项重要奖项。
688126.SH,沪硅产业-U,6469605.576948976,504322.258439834,146112351.76,200mm及以下半导体硅片（含SOI硅片）、300mm半导体硅片,半导体材料,公司目前已成为中国少数具有一定国际竞争力的半导体硅片企业，产品得到了众多国内外客户的认可。公司目前已成为多家主流半导体企业的供应商，提供的产品类型涵盖300mm抛光片及外延片、200mm及以下抛光片、外延片及SOI硅片。公司主要从事半导体硅片的研发、生产和销售，是中国大陆规模最大的半导体硅片制造企业之一，是中国大陆率先实现300mm半导体硅片规模化销售的企业。硅产业集团自设立以来，坚持面向国家半导体行业的重大战略需求，坚持全球化布局，坚持紧跟国际前沿技术，突破了多项半导体硅片制造领域的关键核心技术，打破了我国300mm半导体硅片国产化率几乎为0%的局面，推进了我国半导体关键材料生产技术“自主可控”的进程。公司的技术水平和科技创新能力国内领先，公司及控股子公司拥有已获授权的专利300项，其中中国大陆105项，中国台湾地区及国外195项；公司及控股子公司拥有已获授权的发明专利273项。
000938.SZ,紫光股份,6340843.967213311,830172.3817095436,2147646278.03,紫光IBM IT产品销售、紫光IPv4／v6双栈核心路由器、紫光笔记本电脑、紫光耗材、紫光红外测温仪、紫光惠普IT产品销售、紫光家用消毒机、紫光刻录光盘、紫光苹果IT产品销售、紫光扫描仪、紫光数码相机、紫光台式电脑、紫光投影仪,IT产品销售、传输设备、存储设备、电脑配件、电脑整机、电气仪器仪表、光学设备、清洁器具、扫描仪、投影仪,公司是主营信息电子产业的中国高科技A股上市公司。公司的核心业务基本覆盖IT服务的重要领域：硬件方面提供智能网络设备、存储系统、全系列服务器等为主的面向未来计算架构的先进装备。公司结合全球信息产业的发展趋势及自身优势业务的特点，将公司战略聚焦于IT服务领域，致力于打造一条完整而强大的“云—网—端”产业链，向云计算、移动互联网和大数据处理等信息技术的行业应用领域全面深入，并成为集现代信息系统研发、建设、运营、维护于一体的全产业链服务提供商。公司源自清华，依托清华大学的综合性人才和科技资源优势，健康可持续发展，是国家重点高新技术企业、国家863计划成果产业化基地、历年入选中国电子信息“百强”企业。
002180.SZ,纳思达,6105596.643044624,401645.8181375,1163229842.99,ASIC芯片、SoC芯片、Unismart、打印机整机、激光打印机及打印管理服务、墨水、企业内容管理软件、色带、碳粉、通用墨盒、通用硒鼓、原装硒鼓,打印机、电子元器件、行业专用软件、专用设备与零部件,公司是一家以集成电路芯片研发、设计、生产与销售为核心，以激光和喷墨打印耗材应用为基础，以打印机产业为未来的高科技企业，是全球行业内领先的打印机加密SoC芯片设计企业，是全球通用耗材行业的龙头企业。公司业务涵盖通用耗材芯片、打印机SoC芯片、喷墨耗材、激光耗材、针式耗材及其部件产品和材料，可为消费者提供全方位的打印耗材解决方案，产品销往全球多个国家和地区。公司坚持技术创新，已掌握了打印机和打印耗材加密SoC芯片核心技术，掌握了喷墨打印机微压阀供墨技术和百年不褪色的墨水技术，掌握了激光硒鼓的静电成像关键技术和采用嵌入式国产CPU打印机SoC芯片技术，在打印机产业的喷墨、激光、集成电路、精细化工等技术领域走在了全球行业的前列。
688536.SH,思瑞浦,5589438.192396918,319655.27786307054,443535565.13,思瑞浦PM2.5模拟前端、思瑞浦RS232、思瑞浦RS485、思瑞浦标清视频驱动器、思瑞浦低噪声运算放大器、思瑞浦电源管理模拟芯片、思瑞浦高精度模数转换器、思瑞浦高精度数模转换器、思瑞浦高清视频驱动器、思瑞浦高速模数转换器、思瑞浦高速数模转换器、思瑞浦高速运算放大器、思瑞浦高压运算放大器、思瑞浦通用型比较器、思瑞浦通用型运算放大器、思瑞浦微功耗运算放大器、思瑞浦信号链模拟芯片、思瑞浦仪表放大器、思瑞浦音频放大器、思瑞浦自稳零运算放大器,集成电路、专用设备与零部件,公司始终坚持研发高性能、高质量和高可靠性的模拟集成电路产品，目前已拥有超过900款可供销售的产品型号。公司的产品以信号链模拟芯片为主，并逐渐向电源管理模拟芯片拓展，其应用范围涵盖信息通讯、工业控制、监控安全、医疗健康、仪器仪表和家用电器等众多领域。凭借领先的研发实力、可靠的产品质量和优质的客户服务，公司的模拟芯片产品已进入众多知名客户的供应链体系，其中不乏如中兴、海康威视、哈曼、科大讯飞等各行业的龙头企业。公司秉持“成为受尊重的中国半导体模拟芯片行业的领行者、全球半导体行业的影响者”的经营愿景，在日常经营中均以国际标准为准绳，逐渐建立并完善了一整套质量管理体系。公司与行业上游的晶圆制造商、封装测试厂商等供应商建立了高效的联动机制；在内部建立了完善的产品开发验证流程，不断开拓先进的模拟芯片技术；与行业下游的众多知名系统厂商、经销商等客户建立了长期良好的合作关系。未来，公司将继续加强技术积淀，保持在信号链模拟芯片领域的优势，挖掘在电源管理模拟芯片领域的潜力，打造全系列模拟芯片产品的技术创新平台，最终实现公司的经营愿景。
002916.SZ,深南电路,5297638.714507737,389561.0313153527,1480637000.32,PCBA板级、背板、处理器芯片封装基板、存储芯片封装基板、多功能金属基板、刚挠结合板、高频微波板、高速多层板、高速通信封装基板、功能性模块、厚铜板、射频模块封装基板、微机电系统封装基板、整机产品/ 系统总装,专用设备与零部件,公司始终专注于电子互联领域，致力于“打造世界级电子电路技术与解决方案的集成商”，拥有印制电路板、封装基板及电子装联三项业务，形成了业界独特的“3-In-One”业务布局：即以互联为核心，在不断强化印制电路板业务领先地位的同时，大力发展与其“技术同根”的封装基板业务及“客户同源”的电子装联业务。公司具备提供“样品→中小批量→大批量”的综合制造能力，通过开展方案设计、制造、电子装联、微组装和测试等全价值链服务，为客户提供专业高效的一站式综合解决方案。公司系国家火炬计划重点高新技术企业、印制电路板行业首家国家技术创新示范企业及国家企业技术中心；同时，公司系中国电子电路行业协会(CPCA)的理事长单位及标准委员会会长单位，主导、参与了多项行业标准的制定。
