code,name,mv_mean,amount_mean,profit
000021.SZ,深科技,2155043.5420125904,270943.8434190871,775394154.82
000063.SZ,中兴通讯,11567939.280655663,1843938.0718298755,6812941000.0
002049.SZ,紫光国微,12580452.035011878,1676146.697165975,1953785798.57
002129.SZ,中环股份,13895768.98189467,2349741.2192282155,4029617597.1
002156.SZ,通富微电,2435405.701833443,585177.9073402489,956691241.24
002185.SZ,华天科技,3808453.1975245085,849329.2744979254,1415671366.19
002371.SZ,北方华创,16596730.147623016,2152776.0553983403,1077409991.25
002409.SZ,雅克科技,3153083.2834946555,490091.9094149378,334750112.85
300223.SZ,北京君正,5499735.66158314,1112515.8013112033,926181170.71
300316.SZ,晶盛机电,8147911.834715361,861510.7226348547,1711717145.99
300373.SZ,扬杰科技,3386418.720373852,1015833.4712697095,768103337.9
300474.SZ,景嘉微,3918616.988793082,615764.8053651452,292740758.3
300623.SZ,捷捷微电,2109587.6261274754,629540.7525684647,497056872.37
300661.SZ,圣邦股份,7476124.07291432,656868.0477344398,699389578.69
300782.SZ,卓胜微,9269789.835837312,1445771.5803360995,2134834604.14
600460.SH,士兰微,7678324.579416927,2757443.0037333337,1517725588.3
600584.SH,长电科技,5049787.954,1385153.9739626558,2958712532.84
600703.SH,三安光电,13435160.082835868,2659682.409966805,1313021414.22
600745.SH,闻泰科技,13673716.459090909,1546942.2611286307,2611542317.51
603160.SH,汇顶科技,4245866.866557557,384570.6022738589,859921624.96
603290.SH,斯达半导,6428711.089341803,794750.5189792531,398382971.15
603501.SH,韦尔股份,21700760.251272615,1982250.9124730292,4476187473.66
603893.SH,瑞芯微,4763004.136242722,445883.209626556,601778469.15
603986.SH,兆易创新,10288834.826382304,2490691.240547718,2336793535.26
605358.SH,立昂微,5184123.875307245,660729.1253360995,600303350.38
688008.SH,澜起科技,8324217.415194688,482941.6856929461,829137544.38
688012.SH,中微公司,7993499.095081966,1122703.8740331952,1011423670.06
688126.SH,沪硅产业-U,6469605.576948976,504322.258439834,146112351.76
688396.SH,华润微,7926405.015973778,960743.8598921162,2267920399.95
688981.SH,中芯国际,9814771.838860655,1702576.0368215768,10733098000.0
