code,name,mv_mean,amount_mean,num_days,profit
601668.SH,中国建筑,20992317.24906832,1221110.2786182573,241,51407661000.0
601390.SH,中国中铁,11722405.932180718,627341.6543651453,241,27617610000.0
601669.SH,中国电建,10165796.143872663,1998306.9073900413,241,8632095909.43
601800.SH,中国交建,9451698.889294812,639074.2295560166,241,17993085059.0
601186.SH,中国铁建,8945324.64379668,535301.4884564315,241,24690556000.0
601868.SH,中国能建,8245356.487622958,1493202.3028985509,138,6504102000.0
601618.SH,中国中冶,6857257.6927291695,934713.9026099584,241,8374970000.0
601117.SH,中国化学,5744771.773818108,818262.3242240665,241,4633424155.7
600039.SH,四川路桥,4445110.160360376,481673.3562857143,231,5582069264.75
600170.SH,上海建工,2796461.206801394,270152.2647219917,241,3768771949.4
002541.SZ,鸿路钢构,2659834.6883197925,208083.74495850623,241,1150114464.01
601611.SH,中国核建,2244483.924476137,281297.2086348548,241,1532646487.38
600970.SH,中材国际,2076862.6598817413,237219.8738,240,1810270436.24
000032.SZ,深桑达A,2075475.0165515183,62130.52703319502,241,362231919.01
600248.SH,陕西建工,1870689.055037311,210727.11558091285,241,3476718357.59
002081.SZ,金螳螂,1763776.4377303484,128350.45548962656,241,-4950089441.09
600667.SH,太极实业,1726228.2262618009,250512.58273029045,241,908976484.38
600820.SH,隧道股份,1676390.289986772,123818.90985892116,241,2393031216.1
002761.SZ,浙江建投,1240558.2635313645,402689.5974110169,236,1046404449.02
603979.SH,金诚信,1217001.7650177758,138583.30938589212,241,470951073.95
601068.SH,中铝国际,1174937.0818182947,164779.68492531122,241,-950129673.17
002545.SZ,东方铁塔,1140247.4251111494,222982.63763900416,241,403938301.53
002163.SZ,海南发展,1122479.3284232365,165525.17846887966,241,104254871.91
000928.SZ,中钢国际,1109646.827703444,376332.5033029046,241,648899673.12
000090.SZ,天健集团,1075196.7079061577,93262.191373444,241,1933357215.84
000498.SZ,山东路桥,1063580.1218323235,190774.3611244813,241,2134918344.83
002135.SZ,东南网架,1025956.7572076347,393012.9647925311,241,492885675.69
300712.SZ,永福股份,995453.0033526972,354794.2363485477,241,40765880.21
603300.SH,华铁应急,994189.8506514316,121379.59082987552,241,498127469.54
600072.SH,中船科技,973739.8723159264,277301.3208138528,231,80047823.25
002375.SZ,亚厦股份,936095.9768061576,92880.75260580912,241,-887957335.01
600491.SH,龙元建设,888522.7750329669,206834.2233112033,241,667293369.82
300208.SZ,青岛中程,884246.7762448132,389265.41432365146,241,-129174400.37
002051.SZ,中工国际,878919.7586541909,120530.45716182572,241,282440562.66
300982.SZ,苏文电能,869902.8051497635,153325.78330705396,241,301152581.99
600477.SH,杭萧钢构,859379.6546606265,127172.22466390042,241,411596065.91
600496.SH,精工钢构,854151.9545609253,171032.1872614108,241,686807088.65
603466.SH,风语筑,843095.5511115767,277056.1665643153,241,438837499.28
002310.SZ,东方园林,802629.9923158506,60510.095170124485,241,-1158373779.68
301058.SZ,中粮工科,797559.4282322819,264114.984114094,149,161485382.05
002061.SZ,浙江交科,794441.9688711702,147612.30119087137,241,968439347.18
002941.SZ,新疆交建,790842.9048539129,279313.4215726141,241,252782440.03
601886.SH,江河集团,784878.5033195021,87658.47434439835,241,-1007130382.85
301046.SZ,能辉科技,741475.6557831325,228471.52275301208,166,104002935.83
300284.SZ,苏交科,738062.9775594191,119616.30337344398,241,471906677.07
600502.SH,安徽建工,732171.581267386,242268.6676099585,241,1095791110.82
600939.SH,重庆建工,727989.8940538216,102142.4094107884,241,273365739.77
300355.SZ,蒙草生态,720883.8191036348,264746.9390539419,241,309192312.11
603959.SH,百利科技,716478.6353681004,118358.4130920502,239,29324997.0
300384.SZ,三联虹普,649720.6084012738,97777.2077759336,241,190535442.93
