code,name,mv_mean,amount_mean,num_days,profit,主营产品名称,主营产品类型,公司简介
300750.SZ,宁德时代,122422177.29624708,7336981.338506224,241,15931317900.0,电池包、电池柜、电箱、电芯、模组、三元前驱体—镍钴锰氢氧化物,专用设备与零部件,公司是全球领先的动力电池系统提供商，专注于新能源汽车动力电池系统、储能系统的研发、生产和销售，致力于为全球新能源应用提供一流解决方案。公司在电池材料、电池系统、电池回收等产业链关键领域拥有核心技术优势及可持续研发能力，形成了全面、完善的生产服务体系。公司拥有国际一流的研发团队，设立了“福建省院士专家工作站”，拥有锂离子电池企业省级重点实验室、中国合格评定国家认可委员会(CNAS)认证的测试验证中心，参与了《电动客车安全技术条件》、《电动汽车用锂离子动力蓄电池安全要求》、《电力储能用锂离子电池》等多个国家、行业规范及标准的制定。公司承担了“十二五”国家新能源汽车产业技术创新工程项目、“十三五”国家重点研发计划新能源汽车专项项目和智能电网与装备专项项目、国家火炬计划产业化示范项目等国家级项目，为首批入选工信部《汽车动力蓄电池行业规范条件》目录的十家动力电池企业之一、《锂离子电池行业规范条件》目录的八家锂离子电池企业之一。公司曾获得中国化学与物理电源行业协会“中国动力和储能用锂离子电池前10强企业”、中国储能网“中国储能产业最具影响力企业”、工信部和财政部“2017年国家技术创新示范企业”等多项荣誉。
002594.SZ,比亚迪,45962795.2035332,6398746.097066389,241,3045188000.0,比亚迪汽车、充电器、电声产品、光电子产品、锂电池及能源产品、镍电池、太阳能电池、微电子,半导体太阳能光伏、低压电器类、电子元器件、集成电路、汽车及零配件经销,比亚迪是一家致力于“用技术创新，满足人们对美好生活的向往”的高新技术企业。比亚迪成立于1995年2月，经过20多年的高速发展，已在全球设立30多个工业园，实现全球六大洲的战略布局。比亚迪业务布局涵盖电子、汽车、新能源和轨道交通等领域，并在这些领域发挥着举足轻重的作用，从能源的获取、存储，再到应用，全方位构建零排放的新能源整体解决方案。比亚迪是香港和深圳上市公司，营业额和总市值均超过千亿元。
002812.SZ,恩捷股份,21406855.682695944,1964785.783029661,236,2717628798.01,包装印刷、包装制品、镭射转移防伪纸、平膜、特种包装纸、烟膜、直镀纸和涂布纸,塑料包装制品、纸包装制品,公司主要从事包装装潢及其他印刷品印刷；商品商标印制(含烟草、药品商标)，商标设计；包装盒生产、加工、销售；彩色印刷；纸制品(不含造纸)、塑料制品及其他配套产品的生产、加工、销售；生产、加工、销售印刷用原料、辅料；生产、加工、销售塑料薄膜、改性塑料；生产、加工、销售镭射转移纸、金银卡纸、液体包装纸、电化铝、高档包装纸；生产、加工、销售防伪标识、防伪材料；包装机械、包装机械零配件的设计、制造、加工、销售；生产、加工、销售新能源材料以及相应新技术、新产品开发；货物进出口(国家限制和禁止的项目除外)。
300014.SZ,亿纬锂能,19551284.974921077,3298660.6616099584,241,2905792903.68,亿纬锂能锂离子及锂聚合物组合电池、亿纬锂能锂锰电池、亿纬锂能锂亚电池、亿纬锂能镍氢组合电池,低压电器类,公司是国家级高新技术企业，专注于锂电池的创新发展。经过多年的努力，公司锂亚电池居世界前列，锂原电池居国内领先地位。公司主营业务是锂原电池和锂离子电池的研发、生产、销售，也以客户需求为导向提供锂电池相关的配套产品和服务。近几年，公司聚焦动力、储能市场领域，采用高度自动化与信息化的生产方式，为客户提供一流产品和服务，已形成锂原电池、锂离子电池、电源系统等核心业务，产品覆盖智能电网、智能交通、智能安防，储能，新能源汽车，特种行业等市场。公司以“做世界上最好的锂电池，成为行业领先企业”为愿景，以市场为导向，以世界先进的技术与自动化的生产方式，致力于为社会提供高可靠性的锂电池，同时不断追求卓越，专注创新，致力于打造一流“智慧互联能源”方案提供商。
300124.SZ,汇川技术,17211685.49993098,1483462.9808174274,241,3573404586.07,CAN600起重机一体化驱动器、ECU630计数器、EMU400线速/转速表、EPS专用变频器、H0U工业控制器、H1U可编程控制器、H2U PLC扩展模块、H2U 模拟量扩展卡系列、H2U 通讯卡系列、H2U可编程控制器、IS100伺服驱动器系列、IS500A伺服驱动器系列、ISMD1直驱伺服电机系列、ISMH伺服电机系列、MD矢量型变频器、MONARCH电梯控制系列、单锭专用变频器、动力机车组逆变器、能量回馈单元、塑料拉丝机专用变频器、制动单元,变电设备,公司是专门从事工业自动化和新能源相关产品研发、生产和销售的高新技术企业。经过十多年的发展，公司已经从单一的变频器供应商发展成机电液综合产品及解决方案供应商。目前公司主要产品包括：①服务于智能装备领域的工业自动化产品，②服务于工业机器人领域的核心部件、整机及解决方案，③服务于新能源汽车领域的动力总成产品，④服务于轨道交通领域的牵引与控制系统，⑤服务于设备后服务市场的工业互联网解决方案。公司专注于工业自动化控制产品的研发、生产和销售，定位服务于中高端设备制造商，以拥有自主知识产权的工业自动化技术为基础，在经营过程中坚持进口替代、行业营销、为细分市场客户提供整体解决方案的经营模式，实现企业价值与客户价值共同成长。在工业自动化产品方面，公司已经成为国内最大的中低压变频器与伺服系统供应商；在电梯行业，公司已经成为行业领先的电梯一体化控制器供应商；在新能源汽车领域，公司已经成为我国新能源汽车电机控制器的领军企业。公司是国家高新技术企业，掌握了高性能矢量变频技术、PLC技术、伺服技术和永磁同步电机等核心平台技术。
002460.SZ,赣锋锂业,16860718.513741903,4612725.623858921,241,5228404716.53,15%正丁基锂正己烷、20%正丁基锂正己烷、25%正丁基锂正己烷、苯甲酸锂、二异丙基氨基锂、氟化锂-电池级、氟化锂-工业级、金属锂-电池级、金属锂-高钠级、金属锂-工业级、锂硅合金、锂铝合金、锂镁合金、氯丁烷、氢化锂、氢化铝锂、溴丁烷、溴化锂,轻有色金属、无机化工原料、有机化工原料,公司是全球领先的锂化合物生产商及金属锂生产商。公司的产品广泛用于众多应用领域，尤其是在电动汽车、化学品及制药方面。公司完善的产品供应组合令公司能有效处理公司客户的独特且多元的产品需求。大部分客户均为各自行业的全球领袖并设有各式各样的要求和规格。公司拥有垂直整合的业务模式，业务涵盖上游锂提取、中游锂化合物及金属锂加工以及下游锂电池生产及回收等价值链的各重要环节。公司从中游锂化合物及金属锂制造商起步，并成功扩大到产业链的上下游，以取得具竞争力的锂原材料供应、确保成本及营运效益、于各个业务线间实现协同效应、收集最新的市场信息及发展顶尖技术。
603799.SH,华友钴业,13325008.601956358,3181990.116697096,241,3897503525.74,华友钴业粗铜、华友钴业电积铜、华友钴业硫酸钴、华友钴业氢氧化钴、华友钴业四氧化三钴、华友钴业碳酸钴、华友钴业氧化钴,铜、重有色金属,公司是一家专注于钴、铜有色金属冶炼及钴新材料产品深加工的高新技术企业，产品主要用于锂离子电池正极材料、航空航天高温合金、硬质合金、色釉料、磁性材料、橡胶粘合剂和石化催化剂等领域。公司始终坚持科技创新和科学管理。在钴铜湿法工艺、钴新材料、环境保护领域拥有了中国一流的自主核心技术，通过了ISO9000、ISO14000、OHSAS18000、GB/T19022和GB/T15496管理体系的认证，为公司做强做大钴产业提供了坚实保障。公司经过十多年的发展积淀，完成了总部在桐乡、资源保障在非洲、制造基地在衢州、市场在全球的空间布局。形成了自有矿产资源为保障，钴新材料为核心，铜、镍产品为辅助，集采、选、冶、新材料深加工于一体的纵向一体化产业结构。
002466.SZ,天齐锂业,13144112.89213795,6154375.735854772,241,2078857302.44,3N级高纯碳酸锂、单水氢氧化锂、电池级碳酸锂、电池级无水氯化锂、高纯碳酸锂、工业级碳酸锂、金属锂、磷酸二氢锂、无尘级单水氢氧化锂、无水硫酸钠、无水氯化锂,无机化工原料,公司是中国和全球领先、以锂为核心的新能源材料企业，业务包括锂化合物及衍生物生产与锂精矿开采及生产。在中国四川、江苏、重庆和澳大利亚等地设立生产、资源基地或分支机构，客户遍及全球。产品品种包括化学级锂精矿、技术级锂精矿、工业级碳酸锂、电池级碳酸锂、工业级氢氧化锂、电池级氢氧化锂、无水氯化锂、金属锂等锂化工产品，广泛应用于玻璃陶瓷、锂电池、润滑脂、航空航天等领域。公司先后获得国家知识产权优势培育企业、国家镁锂新材料高新技术产业化基地、四川省博士后创新实践基地、省创新型试点企业和省知识产权优势培育企业等。
002709.SZ,天赐材料,10564939.442003606,2207779.2330622408,241,2208337176.26,天赐螯合剂、天赐超级电容电池用电解液、天赐超级电容器用电解液、天赐电动工具电池用电解液、天赐电动汽车、储能等动力电池用电解液、天赐电力电解硅胶、天赐电子硅胶、天赐富脂剂、天赐高效防腐剂、天赐硅油、天赐聚合物电解液、天赐聚合物分散剂、天赐卡波树脂、天赐模具硅胶、天赐去屑杀菌剂、天赐乳化增稠剂、天赐数码、电源设备、航模、玩具等电池电解液、天赐天然葡萄糖苷、天赐头发定型剂、天赐温和表面活性剂、天赐悬浮稳定剂、天赐阳离子调理剂、天赐制品硅胶,其他化学品,公司一直致力于精细化工新材料的研发、生产和销售，目前拥有日化材料及特种化学品、锂离子电池材料、有机硅橡胶材料三大业务板块。公司辖下包括九江天赐、天津天赐、天赐有机硅、东莞凯欣、香港天赐、江西天赐新材料创新中心、张家港吉慕特、江西艾德、中科立新等多家全资或控股子公司。作为国家级高新技术企业，公司集聚研发高端人才，学习和创新研发模式，引进国际尖端设备仪器，构建完整科研体系平台。公司目前搭建了国家级企业技术中心、博士后科研工作站、院士工作站、广东省精细化工材料工程技术研究开发中心、广东省企业技术中心、广东省动力锂电池电解质材料工程实验室，并与中科院上海有机所、浙江大学、中山大学、武汉大学等国内外知名科研院校建立了广泛的合作关系。
300450.SZ,先导智能,10371623.125220526,1102543.25106639,241,1584673046.04,18650/21700卷绕机、EV全自动卷绕机、EV真空干燥炉、EV注液机、EV组装线、抽气热压机（DH机）、电池片自动串焊机、分容柜系统、赋能分选机、高速分切机、隔膜分切机、焊接卷绕一体机、焊接组装机、化成柜系统、汇流条焊接机、激光摸切机、极片分切机、老化机、喷金机、软包叠片机、软包注液机、四合一成型机、智能物流线、自动化管式PECVD上/下料机、自动化扩散上/下料机、自动化制绒/刻蚀清洗上/下料机、自动卷绕机、组件自动流水线,专用设备与零部件,公司是国家火炬计划重点高新技术企业、国家两化融合示范企业。公司是全球新能源装备的龙头企业，涵盖锂电池装备、光伏装备、3C检测装备、智能仓储物流系统、汽车智能产线等业务。公司专业从事高端自动化成套装备的研发设计、生产销售，为锂电池、光伏电池/组件、3C、薄膜电容器等节能环保及新能源产品的生产制造商提供高端全自动智能装备及解决方案。公司的产品性能达到国际先进水平，能根据客户要求研发各种个性化智能装备。公司拥有数百项授权专利，多项装备被认定为省高新技术产品、省首台套重大装备、省名牌产品等。
