code,name,mv_mean,amount_mean,num_days,profit,主营产品名称,主营产品类型,公司简介
601633.SH,长城汽车,28531534.42040414,1314991.2317551866,241,6726093883.72,风骏皮卡、哈弗SUV、教练车、腾翼轿车,轿车、轻型卡车,公司是全球知名的SUV制造企业，秉承“每天进步一点点”的企业理念，拥有先进的企业文化和管理团队，创建了独具特色的经营和管理模式，经营质量在国内汽车行业首屈一指。公司多次入选“中国企业500强”、“中国机械500强”、“中国制造500强”，连续多年上榜“福布斯亚太最佳上市公司”、“福布斯2000强”、“《财富》中国500强”、“BrandZ最具价值中国品牌100强”等，并被评为中国机电进出口商会的“推荐出口品牌”，也是商务部、发改委授予的“国家汽车整车出口基地企业”，首家成为国际氢能委员会成员的中国汽车企业。近年来，长城汽车的技术实力得到了社会的广泛肯定，被国家发改委、科技部等五部委联合认定为“国家认定企业技术中心”、“博士后科研工作站设站单位”、“国家创新型企业”。
600104.SH,上汽集团,22981707.858604606,846878.6680580913,241,24533097943.83,上海大众Fabia、上海大众GOL轿车、上海大众Octavia明锐、上海大众POLO劲情、上海大众POLO劲取、上海大众PSN微型双排座货车、上海大众Superb、上海大众别克GL8系列轿车、上海大众波罗、上海大众大众变速器、上海大众都市清风客车、上海大众君威系列轿车、上海大众凯越轿车、上海大众名爵轿车、上海大众帕萨特领驭、上海大众荣威轿车、上海大众赛宝多功能轻型客车、上海大众赛欧SRV轿车、上海大众赛欧轿车、上海大众桑塔纳3000型“超越者”、上海大众桑塔纳轿车、上海大众上海汇众、上海大众上汽PLN微型货车、上海大众上汽SPARK客车、上海大众上汽通用五菱6360客车、上海大众申沃、上海大众申沃城市客车、上海大众通用五菱、上海大众途安Touran、上海大众五菱变速器、上海大众五菱之光客车、上海大众幸福摩托、上海大众重庆红岩、上海汇众轿车底盘,传动设备、行驶底盘设备、轿车、客车、摩托车、轻型卡车、重型卡车与专用车,公司属于汽车制造行业，目前正努力把握产业发展趋势，加快创新转型，从传统的制造型企业，向为消费者提供移动出行服务与产品的综合供应商发展。公司主要业务包括整车(含乘用车、商用车)的研发、生产和销售，正积极推进新能源汽车、互联网汽车的商业化，并开展智能驾驶等技术研究和产业化探索；零部件(含动力驱动系统、底盘系统、内外饰系统，以及电池、电驱、电力电子等新能源汽车核心零部件和智能产品系统)的研发、生产、销售；物流、汽车电商、出行服务、节能和充电服务等汽车服务贸易业务；汽车相关金融、保险和投资业务；海外经营和国际商贸业务；并在产业大数据和人工智能领域积极布局。
600406.SH,国电南瑞,18172316.25676088,1039940.342746888,241,5642448311.81,国电南瑞AGC自动发电控制软件包、国电南瑞变电站自动化系统、国电南瑞电力市场、国电南瑞电网调度自动化、国电南瑞轨道交通自动化、国电南瑞能量管理系统、国电南瑞农电自动化、国电南瑞配网自动化、国电南瑞实时分布监控系统、国电南瑞市政及工业控制自动化,行业专用软件、继电保护及调度自动化,"公司作为专业从事电力自动化软硬件开发和系统集成服务的提供商，主要从事电网调度自动化、变电站自动化、火电厂及工业控制自动化系统的软硬件开发和系统集成服务。公司是国家火炬计划软件产业基地-南京软件园“骨干企业”、“江苏省首批软件企业”、“国家规划布局内重点软件企业”。公司建立了遍布全国的营销网络和精干的销售队伍，通过技术合作、共同开发等方式与重要客户构筑了以产品为纽带的合作关系，公司的自动化产品涉足电力、石化、市政、轨道交通等多个领域。2017年公司通过重大资产重组,拥有普瑞特高压、设计公司等100%股权，本公司将新增继电保护及柔性输电、电力信息通信等领域的业务，业务布局进一步完善，业务协同进一步加强，行业地位进一步巩固，整体价值得到有效提升。"
000792.SZ,盐湖股份,17178006.674564414,3828424.1835574713,174,4478386639.86,盐桥氯化钾,钾肥,公司是青海省国有资产监督管理委员会管理的省属大型上市国有企业，主要从事化学原料及化学制品制造。公司坚持“以钾为主、综合利用、循环经济”的发展思想，从单一的钾肥向化肥产业、无机到有机、化工到精细化工、石油化工、天然气化工、煤炭化工等多重跨越，公司产品由单一氯化钾发展到氢氧化钾、碳酸钾、硝酸钾、氢氧化钠、碳酸钠、金属镁、氧化镁、氢氧化镁、碳酸锂、PVC、甲醇、尿素、聚丙烯、焦炭、水泥、编织袋等多种产品，涉及工业、农业、航天航空、建材、医药等领域。
601238.SH,广汽集团,10453073.835729929,668635.0454854772,241,7334915288.0,HVAC系统、城市公交客车、发动机、广汽丰田CAMRY凯美瑞、广汽丰田YARIS雅力士、广州本田奥德赛、广州本田飞度、广州本田思迪、广州本田雅阁、减震器、金星系列轻型货车、骏铃系列轻型货车、银星系列轻型货车、转向器、座椅,车身及外观设备、发动机设备、行驶底盘设备、轿车、客车、轻型卡车、专用设备与零部件、转向设备,公司是由广州汽车工业集团有限公司、万向集团公司、中国机械工业集团公司、广州钢铁企业集团有限公司、广州市长隆酒店有限公司作为共同发起人，以发起方式设立的大型国有控股股份制企业集团。主要业务包括乘用车、商用车、摩托车、汽车零部件的研发、制造、销售及售后服务，以及汽车相关产品进出口贸易，汽车租赁、二手车、物流、拆解、资源再生，汽车信贷、融资租赁、商业保理、保险和保险经纪，股权投资等。经过多年的资源整合及产业重组，公司已经形成了立足华南，辐射华北、华中、华东和环渤海地区的产业布局和以整车制造为中心，覆盖上游汽车与零部件的研发和下游的汽车服务与金融投资的产业链闭环，是国内产业链最为完整、产业布局最为优化的汽车集团。通过引进、消化、吸收和再创新，积累了国际先进的制造和管理技术，形成了世界级水平的生产体系；整合全球优势资源，形成跨平台、模块化架构的正向开发体系，具备集成创新优势。
000625.SZ,长安汽车,10372251.09318211,2612765.768099585,241,3552463320.03,SC6360长安星韵客车、快乐王子轿车、羚羊OK款轿车、长安CM8都市多功能车、长安SC6372系列客车、长安城市彩虹货车、长安都市彩虹客车、长安福特嘉年华轿车、长安公安车、长安救护车、长安镭蒙客车、长安绿色新星客车、长安蒙迪欧2.5 V6旗舰轿车、长安双排微型货车、长安系列货车、长安雪虎客车、长安一排半微型货车、长安邮政车、长安运动系列客车,轿车、客车、轻型卡车、专用车,公司是中国汽车四大集团阵营企业、中国品牌领先汽车企业，两度入选央视“国家品牌计划”，成为中国品牌汽车行业领跑者。公司的主要业务涵盖整车研发、制造和销售以及发动机的研发、生产，并整合优势资源积极发展出行服务、新零售、金融投资等领域，进行多维度的产业布局。公司始终坚持以“引领汽车文明造福人类生活”为使命，秉承“节能环保、科技智能”的理念，大力发展新能源和智能汽车，致力于用科技创新引领汽车文明，努力为客户提供高品质的产品和服务。经过多年发展，现已形成轿车、SUV、MPV、交叉型乘用车、客车、货车等多档次、宽系列、多品种的产品谱系，覆盖传统燃油和新能源车型，拥有排量从1.0L到2.0L的发动机平台。公司旗下拥有长安乘用车、欧尚汽车、凯程汽车、长安福特、长安马自达、长安铃木、长安PSA等众多知名品牌。
601127.SH,小康股份,7948315.382018605,1493665.6912531122,241,-1823911349.24,汽车发动机、汽车零部件、汽车整车,汽车及零配件经销,公司是一家以发动机和新能源汽车为核心业务、汽车整车为主营业务的实体制造企业，现已形成集汽车整车、发动机、汽车零部件的自主研发、制造、销售及服务于一体的完整产业链。业务还涉及汽车租赁和互联网消费金融。公司及其子公司的主营产品包括超级都市SUV、紧凑型MPV、纯电动微型商用车等整车以及1.0-1.8升、1.5T缸内直喷涡轮增压等节能环保高性能发动机。公司入围中国企业500强，并先后荣获中国驰名商标、全国守合同重信用企业、全国就业先进企业、国家知识产权示范企业等荣誉。
300207.SZ,欣旺达,5944321.185746764,1583881.277120332,241,915654084.18,薄膜开关、笔记本类锂离子电池模组、储能电站电池、电动工具电池、电动汽车电池、电动自行车电池、电源管理系统、动力类锂离子电池模组、工业移动照明电池、手机数码类锂离子电池模组、医疗设备电池,低压电器类,公司是国内锂能源领域设计能力最强、配套能力最完善、产品系列最多的锂离子电池模组制造商之一。历经二十余年，公司发展成为全球锂离子电池领域的领军企业，形成了动力电池及动力总成、储能系统与能源互联网、3c消费类电池、智能硬件、自动化与智能制造、第三方检测六大产业群，致力于提供绿色、快速、高效的新能源一体化解决方案服务。公司主要从事锂离子电池模组研发制造业务，主要产品为锂离子电池模组，属于新能源领域。锂离子电池产业作为新能源领域的重要组成部分，广泛应用于手机、笔记本电脑、电动汽车动力总成、可穿戴设备、储能、能源互联网、动力工具、电动自行车等领域。公司产品还涵盖锂离子电芯、电源管理系统、精密结构件、智能制造类(含自动化设备)等多个领域。公司在锂离子电池模组领域，通过自主研发，拥有多项自主原始创新和集成创新的核心技术。通过多年努力，公司先后获评“世界能源500强”、“中国电子信息企业百强”、“中国电池百强企业”、“中国民营制造业500强”等荣誉。
601689.SH,拓普集团,5059934.801557859,688041.1918340249,241,1017253691.77,汽车隔音产品、汽车橡胶减震产品,专用设备与零部件,公司主要从事汽车NVH(即减震降噪及舒适性控制)领域橡胶减震产品和隔音产品的研发、生产与销售，致力于消除来自于汽车动力总成、路面及空气的振动与噪声，提升整车的舒适性及平顺性。公司在汽车NVH领域的技术及研发水平位居国内前列，是国内为数不多的具备整车同步研发能力的NVH零部件供应商之一，也是国内较早进入全球整车配套零部件采购体系的自主品牌汽车零部件生产企业。近年来，公司凭借一流的研发能力、生产工艺及制造水平已逐步获得国际汽车界的认可，先后进入通用汽车、克莱斯勒、奥迪、宝马等知名汽车制造商的全球研发体系及零部件采购体系，逐渐成长为面向国际、国内两个市场，专业化和规模化的汽车NVH零部件系统集成供应商。公司的同步研发及系统集成能力符合世界知名整车制造商全球采购的技术指标，具有较强的国际竞争力。研发中心被认定为“宁波市企业工程(技术)中心”，“省级高新技术企业研究开发中心”，研发中心下设的“产品测试中心”符合ISO/IEC17025实验室检测能力标准，成为“国家级测试中心”。
002080.SZ,中材科技,4905203.978210788,874506.209593361,241,3373402277.4,中材AGM隔板、中材MW级风机叶片、中材TXZ型陶瓷纤维纸、中材摆锤法岩棉生产技术及设备、中材玻璃微纤维纸、中材玻纤覆膜滤料、中材玻纤空气过滤纸、中材玻纤生产线设计与安装、中材玻纤湿法薄毡生产技术及设备、中材玻纤装备、中材池窑拉丝技术装备、中材低介电玻璃纤维、中材高硅氧玻璃纤维、中材高模量玻璃纤维、中材高强度玻璃纤维、中材空气净化过滤毡、中材离心喷吹法生产技术及设备、中材平面仿形织物、中材自动换筒拉丝机,玻璃纤维、风泵机械、工业建筑、轻型工程机械、人造板、人造纤维,公司是我国特种纤维复合材料的技术发源地，拥有完整的非金属矿物材料、玻璃纤维、纤维复合材料技术产业链，是我国特种纤维复合材料领域集研发、设计、产品制造与销售、技术装备集成于一体的国家级高新技术企业。业务产品紧扣新能源、航空航天、节能减排、国防军工等应用领域。承继了原南京玻璃纤维研究设计院、北京玻璃钢研究设计院和苏州非金属矿工业设计研究院三个国家级科研院所多年的核心技术资源和人才优势。公司是国家首批创新型企业、国家首批技术创新示范企业、国家高新技术企业，拥有国家重点实验室、国家级企业技术中心、国家级工程技术研究中心、博士后工作站，形成了稳定高效的高层次研发平台，拥有一支国内优秀的新材料研发人才队伍。
