code,name,mv_mean,amount_mean,num_days,profit
000792.SZ,盐湖股份,17178006.674564414,3828424.1835574713,174,4478386639.86
000625.SZ,长安汽车,10372251.09318211,2612765.768099585,241,3552463320.03
000762.SZ,西藏矿业,2353878.2129287967,2445198.1391286305,241,140158748.67
002326.SZ,永太科技,3414513.058183941,2050037.0740912864,241,280285674.06
002497.SZ,雅化集团,3299504.3321513687,1925105.078290456,241,936626263.32
300343.SZ,联创股份,1698377.6600123404,1611408.408821577,241,287729234.7
300207.SZ,欣旺达,5944321.185746764,1583881.277120332,241,915654084.18
601127.SH,小康股份,7948315.382018605,1493665.6912531122,241,-1823911349.24
600418.SH,江淮汽车,2775841.8190481453,1448843.507672199,241,199999353.78
601633.SH,长城汽车,28531534.42040414,1314991.2317551866,241,6726093883.72
600499.SH,科达制造,3537872.461424428,1302313.60106639,241,1005757290.67
600406.SH,国电南瑞,18172316.25676088,1039940.342746888,241,5642448311.81
601168.SH,西部矿业,3372043.87966805,1002533.6951369294,241,2932499835.0
002008.SZ,大族激光,4422778.702768444,946953.6013278008,241,1994492609.85
002080.SZ,中材科技,4905203.978210788,874506.209593361,241,3373402277.4
600104.SH,上汽集团,22981707.858604606,846878.6680580913,241,24533097943.83
000400.SZ,许继电气,1919164.847763448,828833.7232531119,241,724373048.45
002245.SZ,蔚蓝锂芯,2297258.734009618,822454.514186722,241,670122145.07
300376.SZ,易事特,2141806.884304066,733597.1012863071,241,515403900.76
300438.SZ,鹏辉能源,1552179.3712685443,695455.9552911393,237,182431718.4
601689.SH,拓普集团,5059934.801557859,688041.1918340249,241,1017253691.77
002056.SZ,横店东磁,2476311.209199096,678497.788340249,241,1120444284.34
601238.SH,广汽集团,10453073.835729929,668635.0454854772,241,7334915288.0
300655.SZ,晶瑞电材,1291778.4975450663,643648.0440165976,241,200996573.6
002249.SZ,大洋电机,1613546.7742723315,630638.902539419,241,250385655.69
300471.SZ,厚普股份,763570.8305394191,603678.8904688796,241,10915333.67
002139.SZ,拓邦股份,1879656.4188770333,561246.2201244814,241,564964282.18
000970.SZ,中科三环,1295195.7535767916,520745.0073148936,235,398881468.51
002028.SZ,思源电气,2880558.3823617594,505423.9306846473,241,1197669571.59
000049.SZ,德赛电池,1286157.9461853693,499198.377219917,241,793765412.59
002091.SZ,江苏国泰,1796319.1292109624,489111.96666804975,241,1236168613.1
300490.SZ,华自科技,559261.9785537303,480484.0527219917,241,41283688.9
300693.SZ,盛弘股份,677411.3983466639,477700.9704647303,241,113449804.67
300477.SZ,合纵科技,910618.395800863,460282.3136556017,241,106233587.01
600577.SH,精达股份,1392935.0561526264,457453.40711618256,241,549139404.49
300068.SZ,南都电源,1052851.970694349,456004.58760995854,241,-1370219224.42
002108.SZ,沧州明珠,1017116.4474121328,452522.6340539419,241,365966108.96
600166.SH,福田汽车,2281809.903945415,433480.009120332,241,-5060921170.81
300487.SZ,蓝晓科技,1824506.5275848424,417549.44471369294,241,310856595.18
300224.SZ,正海磁材,1119816.819172946,415551.7500788381,241,265041297.54
002125.SZ,湘潭电化,700156.0540388132,399314.6965975104,241,237759714.49
600006.SH,东风汽车,1419095.4356846474,390588.126307054,241,371747475.83
300082.SZ,奥克股份,1022393.5994489628,366386.1904190871,241,352237905.21
002472.SZ,双环传动,1679187.5358740208,351488.9072074689,241,326329133.99
603876.SH,鼎胜新材,1649406.78079783,339790.0401286307,241,430047928.99
601311.SH,骆驼股份,1527104.722898137,338440.795593361,241,831789107.64
300040.SZ,九洲集团,492720.1796650788,327524.48029045644,241,182259476.84
600500.SH,中化国际,2237042.763011585,305058.34928215767,241,2175432016.18
688567.SH,孚能科技,3410402.8148466595,301812.6552199169,241,-952720292.43
002288.SZ,超华科技,725031.4486241993,288613.75662240665,241,71885933.74
300116.SZ,保力新,1005947.8508232904,284925.1725767635,241,-133322924.74
002045.SZ,国光电器,547002.4443223071,274410.5841286307,241,40136849.48
002805.SZ,丰元股份,509378.2544365768,272066.299186722,241,53090239.1
600405.SH,动力源,361661.44796834857,261898.1776514523,241,-142384471.44
600268.SH,国电南自,598634.8630951038,250089.00699585065,241,258273923.04
300510.SZ,金冠股份,546376.0072676764,241896.81306639005,241,31614083.91
002733.SZ,雄韬股份,683830.8037662033,239671.7300082988,241,-421652568.88
300499.SZ,高澜股份,357212.27248997096,238430.313439834,241,64548093.97
002239.SZ,奥特佳,1168554.0855642352,234470.1455042017,238,-133914415.88
600869.SH,远东股份,1237081.9549124895,198792.6234605809,241,530897516.25
002334.SZ,英威腾,506761.5779693776,198003.99300414935,241,182307855.13
300062.SZ,中能电气,346752.5395702365,196124.10520746888,241,22630133.66
688819.SH,天能股份,4112108.041908714,192224.78963900416,241,1369365754.85
300141.SZ,和顺电气,309184.03696182574,174190.58599170126,241,8996966.18
300682.SZ,朗新科技,2724844.171548361,172095.76088381745,241,846881629.38
002741.SZ,光华科技,764323.7377441162,158122.39676763484,241,62296122.55
002533.SZ,金杯电工,554403.4280872366,156736.22540248962,241,331351465.42
002055.SZ,得润电子,602411.6866487468,156250.96560580915,241,-592443627.65
300048.SZ,合康新能,677451.3123085353,154654.79088381742,241,50258960.69
000559.SZ,万向钱潮,1897472.9256780744,152478.17067634856,241,686493962.08
000800.SZ,一汽解放,4803338.136696232,148908.53022821576,241,3899854760.39
300173.SZ,福能东方,454618.3851097842,144849.77380497925,241,-323231592.62
000550.SZ,江铃汽车,937278.2186721992,135570.01321991702,241,574165944.0
300491.SZ,通合科技,281734.9502693734,128948.90592946058,241,32514539.99
002664.SZ,长鹰信质,681870.5343568465,128059.92838589213,241,204002194.46
300080.SZ,易成新能,1168062.4685651371,126835.00430705394,241,-185266807.92
603179.SH,新泉股份,1323250.5403046017,124971.92773858922,241,284014410.9
000413.SZ,东旭光电,1148574.4711589047,124751.31707053944,241,-2800338882.78
600482.SH,中国动力,3819538.71267061,124660.5012406639,241,613048770.5
002611.SZ,东方精工,705823.2836678713,122378.02792116182,241,467333661.79
300100.SZ,双林股份,393731.7866504855,121916.33616182572,241,128869736.89
603959.SH,百利科技,716478.6353681004,118358.4130920502,239,29324997.0
002364.SZ,中恒电气,510660.0070745229,114870.73936099584,241,89301472.08
603766.SH,隆鑫通用,899127.535319502,112672.59513692946,241,384803012.7
600525.SH,长园集团,769101.564528,110182.05098340249,241,-1026771306.17
300713.SZ,英可瑞,283953.57689315354,104269.62758921162,241,8934834.62
000973.SZ,佛塑科技,458699.0801950166,97283.08273443984,241,121920883.3
603859.SH,能科科技,589443.1324296971,84525.54895020746,241,159440358.16
002441.SZ,众业达,472017.6307357593,76357.60860165975,241,415584368.91
300403.SZ,汉宇集团,384961.70539419085,73716.12607053942,241,229792423.62
002632.SZ,道明光学,440645.5870538589,59209.4057219917,241,54943444.5
002660.SZ,茂硕电源,208808.91659662657,58673.37985477178,241,66527720.9
002519.SZ,银河电子,467524.9105155436,56808.0702033195,241,14353506.01
600686.SH,金龙汽车,454655.6671857676,55423.95954356847,241,-595219624.26
600468.SH,百利电气,522183.9506123403,54608.813755186726,241,104714052.41
688529.SH,豪森股份,362839.6348547718,54048.14353112033,241,70166835.44
600213.SH,亚星客车,174268.66390041495,49882.32208298755,241,1891610.13
600386.SH,北巴传媒,312511.7875518672,39123.092186722,241,132742169.94
