code,name,mv_mean,amount_mean,num_days,profit,code,name,mv_mean,amount_mean,num_days,profit
000792.SZ,盐湖股份,17178006.674564414,3828424.1835574713,174,4478386639.86,000783.SZ,长江证券,3960290.51050727,237758.10663070538,241,2409539473.91
000799.SZ,酒鬼酒,6816887.309374358,1721393.06626556,241,893489153.57,002024.SZ,ST易购,4441236.59326444,134011.34856431535,241,-43264609000.0
000877.SZ,天山股份,6756669.035748521,317839.7092916667,240,12530042311.29,002044.SZ,美年健康,3089125.9476880953,459886.0320788382,241,64136014.05
001289.SZ,龙源电力,12690548.290787999,257597.48165,60,6404178984.07,002157.SZ,正邦科技,3017906.0202274397,444001.3856514523,241,-18818823949.01
002074.SZ,国轩高科,6486652.836653223,2057406.868207469,241,101890171.25,002624.SZ,完美世界,3332406.887370639,774188.4698423236,241,369153977.68
002648.SZ,卫星化学,6774027.542272946,604676.5903900416,241,6006510688.6,300144.SZ,宋城演艺,3931035.173523485,466918.57796265563,241,315130771.75
002920.SZ,德赛西威,6270356.89980083,490292.6388962656,241,832922008.36,300558.SZ,贝达药业,3358913.7334574065,254618.18437344398,241,383067840.44
300207.SZ,欣旺达,5944321.185746764,1583881.277120332,241,915654084.18,300676.SZ,华大基因,3976650.103931224,397625.78818257264,241,1461536272.38
300223.SZ,北京君正,5557638.6367360875,1112515.8013112033,241,926181170.71,300677.SZ,英科医疗,3432967.155505535,1044407.1639751038,241,7430075719.0
300454.SZ,深信服,8572057.79895736,435743.39867219917,241,272857861.09,300888.SZ,稳健医疗,3762814.2166948877,179486.6566846473,241,1239320067.26
300496.SZ,中科创达,5571394.396636275,784582.928792531,241,647269132.32,600079.SH,人福医药,3602929.3218070874,346425.8429875519,241,1389544934.27
300661.SZ,圣邦股份,6915231.479874067,656868.0477344398,241,699389578.69,600109.SH,国金证券,3341327.2247385057,441504.861153527,241,2317318717.0
300751.SZ,迈为股份,5884955.7705804445,783777.1261369294,241,642802185.94,600143.SH,金发科技,3889384.0961260293,719502.9013526972,241,1661495265.86
300919.SZ,中伟股份,8361701.957174589,378916.97779253114,241,938952084.15,600848.SH,上海临港,3692747.772569087,117665.17661825726,241,1535216162.03
300957.SZ,贝泰妮,8811280.750207469,439253.87921991706,241,862922946.61,600872.SH,中炬高新,2868918.618442075,604845.5571950208,241,741964726.31
300979.SZ,华利集团,10233548.900414938,169517.33965560165,241,2767861131.8,601108.SH,财通证券,3690423.361885726,484409.0006473029,241,2566175327.88
600089.SH,特变电工,7191565.548402555,2453578.4591037347,241,7254795959.39,601162.SH,天风证券,3606609.1500171283,384494.42956431536,241,586354789.34
600188.SH,兖矿能源,7270796.212691137,932803.6181161825,241,16258908000.0,601231.SH,环旭电子,3204506.093164946,166842.42543983404,241,1857968074.82
600460.SH,士兰微,7484719.656304792,2757443.0037333337,240,1517725588.3,601607.SH,上海医药,3922929.779535892,410487.8194605809,241,5093467260.97
600702.SH,舍得酒业,6654043.758989858,2245927.097448276,232,1245654521.13,601696.SH,中银证券,3994118.489626556,637520.8725601659,241,961625314.57
600703.SH,三安光电,14034947.266106755,2659682.409966805,241,1313021414.22,601933.SH,永辉超市,3975612.198486444,261958.74346887966,241,-3943871849.8
600779.SH,水井坊,5654662.240569917,896093.691780083,241,1199075865.55,601990.SH,南京证券,3564848.7848128797,447250.90182572615,241,977274472.85
600941.SH,中国移动,5601514.647014287,946668.5235616438,73,115937000000.0,603233.SH,大参林,3321257.0394224897,197571.08052282158,241,791230980.5
601117.SH,中国化学,5744771.773818108,818262.3242240665,241,4633424155.7,603338.SH,浙江鼎力,3171171.1189571656,353697.10279253114,241,884463388.1
601127.SH,小康股份,7948315.382018605,1493665.6912531122,241,-1823911349.24,603517.SH,绝味食品,3986376.5892593567,372021.81698755187,241,980937033.6
601825.SH,沪农商行,6673367.4800592065,190533.2041097561,164,9697866000.0,603658.SH,安图生物,3475659.5866357633,257135.22917012445,241,973663074.64
603290.SH,斯达半导,5854110.01203195,794750.5189792531,241,398382971.15,603939.SH,益丰药房,3654223.12332027,230766.92021576763,241,887884497.85
688065.SH,凯赛生物,5419243.022925312,133793.14780497926,241,607892085.94,688009.SH,中国通号,4389886.754946059,79771.29972614108,241,3274672689.28
