code,name,mv_mean,amount_mean,num_days,profit
000001.SZ,平安银行,36269339.0221334,1839683.0055352696,241,36336000000.0
000002.SZ,万科A,20681792.40052591,2151985.9240165977,241,22524033383.22
000063.SZ,中兴通讯,12305414.148049254,1843938.0718298755,241,6812941000.0
000066.SZ,中国长城,4136147.8437438137,838208.3167510374,241,597624297.17
000069.SZ,华侨城A,5886165.443778299,439155.0937219917,241,3799112368.32
000100.SZ,TCL科技,9215089.3348861,1518616.3654564314,241,10057444000.0
000157.SZ,中联重科,5664086.945507149,654297.1861618258,241,6269768140.19
000166.SZ,申万宏源,10948167.589563485,546619.5357800829,241,9398369399.7
000301.SZ,东方盛虹,10879121.515737608,1013006.2705744681,235,4543604009.84
000333.SZ,美的集团,48795887.652615026,2328227.69680083,241,28573650000.0
000338.SZ,潍柴动力,11191753.916524932,1524610.8328257261,241,9254488225.85
000425.SZ,徐工机械,4797845.622164813,496493.3060829876,241,5614606145.93
000538.SZ,云南白药,12270727.918457199,633438.0672157677,241,2803621556.87
000568.SZ,泸州老窖,32276631.738523655,2797762.2567095435,241,7955554351.73
000596.SZ,古井贡酒,8945557.371784233,573888.9753775934,241,2297894413.25
000625.SZ,长安汽车,10372251.09318211,2612765.768099585,241,3552463320.03
000651.SZ,格力电器,24884831.48315285,2198889.054954357,241,23063732372.62
000661.SZ,长春高新,11372411.759126805,2060604.1712074687,241,3757472953.11
000703.SZ,恒逸石化,4037503.488737693,291793.93057676347,241,3408043143.47
000708.SZ,中信特钢,10992594.627058513,199172.3209626556,241,7952600073.0
000725.SZ,京东方A,19188530.620578736,2730245.4798008297,241,25830935500.0
000768.SZ,中航西飞,8261740.285248394,1223680.0943817426,241,652910969.43
000776.SZ,广发证券,11328639.652582705,1779812.0499045644,241,10854115527.4
000786.SZ,北新建材,5832671.799002838,473864.3260539419,241,3510191056.04
000792.SZ,盐湖股份,17178006.674564414,3828424.1835574713,174,4478386639.86
000799.SZ,酒鬼酒,6816887.309374358,1721393.06626556,241,893489153.57
000800.SZ,一汽解放,4803338.136696232,148908.53022821576,241,3899854760.39
000858.SZ,五粮液,87637012.78601614,5428418.576809129,241,23377074353.4
000876.SZ,新希望,6591573.258701527,898064.7262157677,241,-9590870087.26
000877.SZ,天山股份,6756669.035748521,317839.7092916667,240,12530042311.29
000895.SZ,双汇发展,10351559.509375257,537648.1371701244,241,4865939674.32
000938.SZ,紫光股份,6597171.792351037,830172.3817095436,241,2147646278.03
