code,name,mv_mean,amount_mean,num_days,profit,主营产品名称,主营产品类型,公司简介
603259.SH,药明康德,32942563.42150743,3323076.08866805,241,5097155283.68,CMO/CDMO业务、临床研究及其他CRO服务、美国区实验室服务、中国区实验室服务,专业咨询服务,公司是全球领先的制药以及医疗器械研发开放式能力和技术平台企业。作为一家以研究为首任，以客户为中心的公司，药明康德向全球制药公司、生物技术公司以及医疗器械公司提供一系列全方位的实验室研发、研究生产服务，服务范围贯穿从小分子药物发现到推向市场的全过程，以及细胞治疗和基因治疗从产品开发到商业化生产服务、医疗器械测试服务等。药明康德的服务旨在通过高性价比、高效率的研发服务帮助全球客户缩短药物及医疗器械研发周期、降低研发成本。
300122.SZ,智飞生物,23668082.987551868,2091420.9312572612,241,10208548452.56,ACYW135 群脑膜炎球菌多糖疫苗、A群C 群脑膜炎球菌多糖结合疫苗、微卡(注射用母牛分枝杆菌),疫苗,公司系一家集疫苗研发、生产、销售、配送及进出口为一体的生物高科技企业，主营的人用疫苗为国家七大战略性新兴产业，发展前景广阔。现在售产品包括AC群脑膜炎球菌(结合)b型流感嗜血杆菌(结合)联合疫苗(喜贝康)、b型流感嗜血杆菌结合疫苗(喜菲贝)、A、C、Y、W135群脑膜炎球菌多糖疫苗(盟威克)、注射用母牛分枝杆菌(微卡)、A群C群脑膜炎球菌多糖结合疫苗(盟纳康)等自主产品及统一销售默沙东授权的23价肺炎球菌多糖疫苗、甲型肝炎灭活疫苗(人二倍体细胞)、四价人乳头瘤病毒疫苗(酿酒酵母)、九价人乳头瘤病毒疫苗(酿酒酵母)、口服五价重配轮状病毒减毒活疫苗(Vero细胞)等所有进口疫苗。公司荣获全国非公有制企业双强百佳党组织、重庆市精神文明单位、全国“守合同重信用”企业、全国商务诚信试点企业、重庆市创新型企业、重庆市制造企业百强等荣誉称号。
603392.SH,万泰生物,14510214.180780083,383623.95652282157,241,2021467667.66,“馨可宁Cecolin”双价人乳头瘤病毒疫苗(大肠杆菌)、“益可宁Hecolin”重组戊型肝炎疫苗、Caris200全自动化学发光免疫分析仪、WanTag全自动核酸血液筛查系统、化学发光诊断试剂、胶体金诊断试剂、酶联免疫诊断试剂、生化诊断试剂、质控品及标准物质,生物诊断试剂、疫苗、诊断治疗设备,公司是从事体外诊断试剂、体外诊断仪器与疫苗的研发、生产及销售的高新技术企业。公司坚持自主创新、坚持关键技术攻关，走产学研结合道路，现已发展成为我国创新免疫诊断产品和创新疫苗研发的领先企业。经过多年的研发投入、持续的技术创新，截至本招股说明书签署之日，公司在体外诊断试剂领域已取得了5项新药证书、9项药品注册证书、300余项国家医疗器械注册证、16项欧盟CE认证、2项世界卫生组织PQ认证，还获得150个国家二级标准物质证书。公司体外诊断领域的核心产品有艾滋病毒诊断试剂，病毒性肝炎系列诊断试剂，全自动管式化学发光免疫分析系统等。公司先后完成国家科技重大专项、863计划重大项目，荣获国家技术发明二等奖、国家科技进步二等奖、中国发明专利金奖、国家高技术产业化示范工程十年成就奖等重要国家级科技创新奖励。
300896.SZ,爱美客,12362609.301908715,1406292.5986804978,241,957798548.01,聚对二氧环己酮面部埋植线（紧恋）、医用含聚乙烯醇凝胶微球的透明质酸钠-羟丙基甲基纤维素凝胶（宝尼达）、医用羟丙基甲基纤维素-透明质酸钠溶液（逸美）、医用透明质酸钠-羟丙基甲基纤维素凝胶（逸美一加一）、注射用透明质酸钠复合溶液（嗨体）、注射用修饰透明质酸钠凝胶（爱芙莱、爱美飞）,医疗美容器械,公司是国内生物医用软组织修复材料领域的创新型领先企业。公司立足于生物医用材料的研发和转化，致力于重组蛋白和多肽等生物医药的开发，已成功实现注射类透明质酸钠系列产品及聚对二氧环己酮面部埋植线的产业化，并建立了医用几丁糖、聚乳酸等生物医用材料的产品技术转化平台，产品临床应用涵盖医疗美容、外科修复以及代谢疾病治疗等领域。公司是首家取得国家药监局批准用于面部软组织修复的注射用透明质酸钠医疗器械产品注册证书的国内企业。截至报告期末，公司已拥有五款获国家药监局批准的III类注射用透明质酸钠系列产品，为获得国家药监局批准的同类产品最多的企业。公司五款产品在配方组份、注射部位、注射体验等方面有所不同，能够满足多个细分市场的消费需求。此外，公司已于2019年5月取得聚对二氧环己酮面部埋植线的III类医疗器械注册证书，为首款取得国家药监局批准的面部埋植线产品。公司重视研发投入和产品开发，是国家级高新技术企业，建有生物可降解新材料北京市工程实验室。公司作为牵头单位参与了国家科学技术部“十三五”规划国家重点研发计划“新型颌面软硬组织修复材料研发”项目。截至报告期末，公司拥有32项专利，其中发明专利18项。
000661.SZ,长春高新,11372411.759126805,2060604.1712074687,241,3757472953.11,华康血栓心脉宁、金磊赛强分泌型基因重组人粒细胞集落刺激因子、金磊生长素、怡众名城楼盘、长春高新冠脉宁片、长春高新甲型肝炎减毒活疫苗、长春高新脑蛋白水解物注射液、长春高新人用狂犬病纯化疫苗、长春高新疏清冲剂、长春高新微载体狂犬疫苗、长春高新新型水痘疫苗、长春高新血脂宁冲剂、长春高新益中生血片、长春高新注射用促肝细胞生长素、长春高新注射用前列地尔,基因制品、神经系统用制剂、疫苗、原料药、植物类中药制剂、住宅楼盘,公司于1993年6月成立，是东北地区最早的一批上市公司之一。公司主营业务以生物制药、中成药生产及销售为主，辅以房地产开发、物业管理等。上市多年来，公司凝炼并秉持“创新、专注、包容、共享”的发展理念，坚持以科技创新为源动力，主导产业成功实现由服务于开发区基础设施建设向生物制药及健康产业的转型，随着医药产业项目的成功孵化并壮大，支撑了经营业绩的快速增长，目前公司已成为国内生物医药领域具有一定技术领先优势的上市公司。
600196.SH,复星医药,11342712.894243589,2764176.171244813,241,4735269690.83,复星氨基酸、复星大药房、复星复方芦荟胶囊、复星核酸类临床诊断试剂、复星化类临床诊断试剂、复星酶免类临床诊断试剂、复星胰岛素、复星重组人γ干扰素、复星重组人红细胞生成素、复星重组人链激酶、广西花红花红片、广西花红消肿止痛酊、桂林制药青蒿琥酯、国大药房、金象大药房、药友阿拓莫兰、药友炎琥宁、药友注射用水溶性维生素,基因制品、抗组织胺类药及解毒药、连锁药店、维生素类与矿物质类制剂、营养补充类制剂、原料药、诊断用制剂、植物类中药制剂,公司是在中国医药行业处于领先地位的上市公司，专注现代生物医药健康产业。公司抓住中国医药市场的快速成长和中国企业进军世界主流医药市场的巨大机遇，战略性地覆盖研发制造、分销及终端等医药健康产业链的多个重要环节，形成了以药品研发制造为核心，同时在医药流通、医疗服务、医学诊断和医疗器械等领域拥有领先的市场地位，在研发创新、市场营销、并购整合、人才建设等方面形成竞争优势的大型专业医药健康产业集团。公司注重创新研发，拥有国家级企业技术中心，并在上海、重庆、美国建立了高效的国际化研发团队。公司研发专注于新陈代谢及消化道、心血管、抗肿瘤及免疫调节、神经系统、抗感染等治疗领域，且主要产品均在各自细分市场占据领先地位。在中国，复星医药已取得肝病、糖尿病、结核病、临床诊断产品等细分市场的竞争优势；在全球市场，复星医药也已成为抗疟药物的领先者。公司在聚焦发展核心制药业务的同时，积极发展医疗服务领域，并进一步巩固在医学诊断、医疗器械等领域的竞争优势。公司已在国内高端和专科医疗服务领域建立坚实基础。
300759.SZ,康龙化成,11006093.132987054,776683.4333900415,241,1661028567.53,14C放射性标记和加速器质谱（AMS）用于生物制剂、14C放射性标记化合物的合成、3H 和 14C放射性标记生物大分子(RadioTag技术)、3H放射性标记化合物的合成、3H和14C 放射性标记（RadioTag）、PD/PK、PK/PD、QA/RA、安全药理学、病理、动物疾病模型、放射性标记化合物的合成、放射性同位素标记化合物的临床药代动力学应用、放射性同位素标记化合物应用于代谢产物分析、分析研发和质量控制部门、符合GMP标准的14C放射性标记的API(药物活性成分或原料药)&成品药的合成、工艺化学、化合物管理系统、化合物库合成、化学信息服务、计算机辅助药物设计、结构生物学、临床研究、免疫毒理学与免疫原性分析、生物分析服务、生物有机化学、生物制品研发、生殖与发育毒理学、使用放射性同位素标记化合物研究物料平衡、体内药代动力学、体外ADMET、体外疾病生物学、体外筛选、体外药理学及生物标记物检测、通过HRMS/NMR进行代谢产物鉴定、小分子药物的生物等效性试验、研发分析和分离、药物材料和结晶研发、药物-药物（DDI）相互作用研究、药物制剂开发、一般毒理、遗传毒理学、原料药生产、早期工艺化学（DPC）、真皮渗透研究、支持新药临床试验申请的药代动力学研究、制剂生产、质量保证部,化学试剂、生物诊断试剂、原料药、专业咨询服务,公司是一家领先的全流程一体化医药研发服务平台，业务遍及全球，致力于协助客户加速药物创新。根据弗若斯特沙利文的资料，按2018年的总收益计，公司是中国第二大医药研发服务平台及全球三大药物发现服务供应商之一。公司在药物发现、临床前及早期临床开发服务方面处于领先地位，并一直致力于拓展下游业务，包括临床后期开发及商业化生产等服务。公司不断扩大医药研发服务领域，并掌握主要研发学科的专业知识以覆盖各研发阶段的主要里程碑，协助客户加快推进研发计划。作为领先的药物发现医药研发服务供应商，公司对分子已积累深刻的科学见解，并自客户创新药物研发初期起即取得客户信任。
300347.SZ,泰格医药,10510411.917533703,1030600.491340249,241,2874163020.17,临床试验技术服务、临床试验统计分析服务,专业咨询服务,公司是国内领先的临床合同研究组织(CRO)，专注于为医药产品研发提供I-IV期临床试验、数据管理与生物统计、注册申报等全方位服务。公司参与了包括国家“十五”、“十一五”、“十二五”国家重大科技专项，国家863计划重大科技专项，以及国家创新基金项目、中科院重大科技项目、浙江省重大科技专项和广州市科技重大项目等在内的多项新化学单体和新生物制品的临床试验。公司的临床研究业务几乎包括了我国GCP中提出的全部临床试验内容，完备的服务内容可以满足绝大多数国内外制药企业的临床研究要求。
300142.SZ,沃森生物,9807204.082857544,2730696.6238755183,241,427747681.59,b型流感嗜血杆菌结合疫苗、b型流感嗜血杆菌结合疫苗(全预充注射器)、冻干A、C群脑膜炎球菌多糖结合疫苗,疫苗,公司是专业从事人用疫苗等生物技术药集研发、生产、销售于一体的高科技生物制药企业，在以新型疫苗为代表的生物技术药细分领域处于行业领先地位。经过多年的发展，公司已形成了结构优良、品种丰富的产品管线，拥有全球两大重磅疫苗品种13价肺炎结合疫苗和HPV疫苗，并构建了国内领先的研发和产业化技术平台，聚集了一大批中西合璧的专业技术和管理人才，获得了一批国家“863计划”和“重大新药创制”科技重大专项支持，与盖茨基金会等国际著名机构建立了紧密的合作关系。
002821.SZ,凯莱英,9137010.660724482,1044357.0871576763,241,1069273577.5,DS定制生产服务、分析服务、酶的生产、数据服务、知识产权保护、制剂服务,医药中间体、专业咨询服务,公司是一家国内领先的CDMO(医药合同定制研发生产)企业，主要致力于全球制药工艺的技术创新和商业化应用，为国内外大中型制药企业、生物技术企业提供药物研发、生产一站式CMC服务。凯莱英积极布局国内市场，目前已形成包括国内创新药CMC服务、MAH业务、制剂研发生产、仿制药一致性评价、临床试验服务、生物样本检测以及药品注册申报等在内的全方位服务体系。公司坚持以技术革新作为核心驱动力，不断研发出多项国际领先专利技术并运用于商业化生产，深耕cGMP高级中间体和原料药领域，服务默沙东、辉瑞、百时美施贵宝、艾伯维、礼来等国内外大中型制药公司，形成与国内外制药巨头深度的嵌入式合作关系。
