code,name,mv_mean,amount_mean,num_days,profit,主营产品名称,主营产品类型,公司简介
300760.SZ,迈瑞医疗,45270403.89249247,1853735.442485477,241,8001553606.0,便携式彩超、除颤仪、吊塔吊桥、化学发光免疫分析仪、监护仪、麻醉剂、凝血分析仪、生化分析仪、手术床、手术灯、台式彩超、体外诊断试剂、血液细胞分析仪,诊断治疗设备,公司是中国领先的高科技医疗设备研发制造厂商，为全球市场提供医疗器械产品。公司的主营业务覆盖生命信息与支持、体外诊断、医学影像三大领域，通过前沿技术创新，提供更完善的产品解决方案，帮助世界改善医疗条件、提高诊疗效率。公司始终致力于临床医疗设备的研发和制造，产品涵盖生命信息与支持、临床检验及试剂、数字超声、放射影像四大领域，将性能与价格完美平衡的医疗电子产品带到世界每一角落。
688363.SH,华熙生物,8575854.949748889,578219.6457593361,241,782334573.48,cationHA 高亲和性透明质酸钠、HAPLEX透明质酸钠、Hyacolor 油分散透明质酸钠、Hyacross 透明质酸弹性体、Hyafactor- PGA  聚谷氨酸钠、Hyature 玻璃酸钠-医药外用级、Hyature 玻璃酸钠-注射级、Hyature透明质酸钠-医疗器械级、Hybloom 透明质酸钠，高分子/低分子/寡聚/酶切寡聚透明质酸钠，透明质酸钠1%溶液、Hymagic-AcHA 乙酰化透明质酸钠、γ-氨基丁酸、玻璃酸钠注射液、糙米发酵滤液、次抛原液、各类膏霜水乳、面膜、纳豆提取液、纳诺HA酶切寡聚透明质酸钠、喷雾、手膜、熙安颜TM  依克多因、熙敏修TM 超活透明质酸、医用透明质酸钠凝胶、注射用修饰透明质酸钠凝胶、注射用修饰透明质酸钠凝胶（含利多卡因）,美容产品、药品经销、原料药,公司是全球领先的、以透明质酸微生物发酵生产技术为核心的高新技术企业，透明质酸产业化规模位居国际前列，公司是国内最早实现微生物发酵法生产透明质酸的企业之一，透明质酸具有良好的保水性、润滑性、黏弹性、生物降解性及生物相容性等理化性能和生物活性，在医药(骨科、眼科、普外科、泌尿外科、胃肠科、耳鼻喉科、口腔科、整形外科、皮肤科等)、化妆品及功能性食品中应用十分广泛，公司持续开展微生物发酵法生产透明质酸技术研发，国内率先实现了透明质酸微生物发酵技术产业化的突破，改变了我国以动物组织提取法生产透明质酸且主要依靠进口的落后局面。通过菌种诱变和高通量筛选、发酵代谢流调控、多尺度过程优化、动态补料控制等技术，极大提升了透明质酸的生产规模和质量，显著降低了生产成本，推动了透明质酸在各个领域的应用。凭借透明质酸发酵技术的创新成就，多次获得国家和省科技进步奖励。
603882.SH,金域医学,5005543.746426245,477951.3295020747,241,2219640445.22,高端检测、检验信息服务、健康体检、临床试验研究、食品卫生检测、试剂生产、试剂销售、司法鉴定、项目转化、医疗冷链物流、医学检验及病理诊断,其他物流、生物诊断试剂、医院、专业咨询服务,广州金域医学检验集团股份有限公司是一家以第三方医学检验及病理诊断业务为核心的高科技服务企业，通过不断积累的“大平台、大网络、大服务、大样本和大数据”等核心资源优势，致力于为全国各级医疗机构提供领先的医学诊断信息整合服务。金域医学的核心创业团队自上世纪90年代即积极探索医学检验外包服务在中国的运营模式，开创了国内第三方医学检验行业的先河，经过多年的发展，现已成为国内第三方医学检验行业的市场领先企业。金域医学拥有全球领先的肾脏病超微病理诊断中心、对接国家级平台的呼吸道病毒诊断研究中心，先后被认定为国家高新技术企业、国家基因检测技术应用示范中心、国家知识产权示范企业、国家中小企业公共技术服务示范平台等，获批建立了医学检测技术与服务国家地方联合工程实验室、国家级的博士后科研工作站、广东省院士工作站、广东省企业重点实验室等国家、省部级的研发机构和研发平台。目前，金域医学正以第三方医检为主航道，通过大技术平台、大服务网络和大样本、大数据库，努力构建“医检+”生态圈：加快大样本、大数据在医检技术创新、人工智能方面的应用；同时不断完善临床药物试验、卫生检验、健康体检、司法鉴定等关联产业的发展。以公民意识服务社会，拥仁者之心守护国人，金域医学用切实行动助力健康中国梦。
688180.SH,君实生物-U,4729062.06093361,537523.5567053942,241,-720909747.05,君实生物JS101（CDK抑制剂）、君实生物UBP1211（抗TNF-α单抗）、君实生物UBP1213（抗BLyS单抗）、君实生物VF28及变种瞬时性表达和高产稳定株构建委托服务（技术服务）、君实生物VF28及其变种瞬时转染稳定性考察委托服务（技术服务）,抗肿瘤制剂、调节免疫功能制剂、专业咨询服务,公司是一家以开发治疗性抗体为主的研发型高科技公司。公司由多名毕业于美国知名学府，有着丰富的科技成果转化及产业化经验的留学人员创办，专注于创新单克隆抗体药物和其他治疗性蛋白药物的研发与产业化。公司自成立以来瞄准国际抗体技术研发的前沿进展，通过广泛的国内外技术合作，着力研发条件、研发团队和技术平台的建设，已搭建国内一楼创新人源化抗体药物产品研究开发技术平台。改平台涵盖分子抗体药物筛选、高产稳定CHO细胞株的构建及治疗性抗体分析检测在内的多个核心技术。公司目前在研产品十余种，主要覆盖肿瘤、心血管疾病和骨质疏松等领域。公司提供的技术服务指利用技术平台为客户提供定制服务，包括分子序列的设计及改造、高表达细胞株的构建、小试及中试工艺研究、临床前研究及临床研究样品的制备等。公司积累了大量的核心技术，其中部分技术为通用技术，可以转化为服务提供给需求方实现收入。
300363.SZ,博腾股份,4589815.09855139,644510.3534232365,241,523915383.33,多客户产品生产业务、医药定制研发生产业务、医药化工商贸业务,药品经销,公司是一家按照国际标准为跨国制药公司和生物技术公司提供医药定制研发生产服务的国家级高新技术企业。公司已形成国内东西部以及海外的“3+3+1”生产、研发、技术基地协同布局，即以重庆为核心，以浙江上虞、江西宜春为驱动的三个生产基地；以重庆、成都和上海相辅相成的三大研发中心；以美国新泽西州为价值延伸的海外技术中心。公司的主要服务内容包括为创新药提供医药中间体的工艺研究开发、质量研究和安全性研究，以及为创新药提供医药中间体的定制生产服务，包括研发阶段的小规模生产服务到商业化阶段的大规模生产服务。公司主要服务于临床试验至专利药销售阶段的创新药，服务的药品治疗领域包括抗艾滋病、抗丙肝、降血脂、镇痛、抗糖尿病等。公司致力于成为世界创新药公司优选的一站式医药定制研发生产合作伙伴，助力世界新药发展。
300003.SZ,乐普医疗,4484051.5416902695,552432.5727344399,241,1719324578.02,冠状动脉药物支架系统、呼吸系统用药、基层医院合作共建、精准医疗、抗微生物药、乐普医疗封堵器、消化系统用药、心血管健康咨询管理中心、心血管系统用药、血管内药物（雷帕霉素）洗脱支架系统、医疗金融服务、医疗科技孵化及股权投资、移动医疗、营养剂、远程心电监测、中枢神经系统用药、中药产品,循环系统用制剂、药品经销、医用辅助设备、医院、中药饮片、专业咨询服务,公司是一家专业从事冠脉支架、PTCA球囊导管、中心静脉导管及压力传感器的研发、生产和销售的企业，国内高端医疗器械领域能够与国外产品形成强有力竞争的为数较少的企业之一。自成立以来，相继完成了支架、导管等多项介入医疗核心产品的研制开发和产业化工作，在业内第一个获得国家药监局颁发的“冠状动脉支架输送系统”产品注册证(III类)、第一个研发并试制成功抗感染“药物中心静脉导管”。公司具备了心血管介入、麻醉监护产品的工业化生产能力，PARTNER药物支架成功上市使公司为拥有雷帕霉素药物支架生产技术的公司。
688185.SH,康希诺,4355987.7925385395,713966.0101742739,241,1914390000.0,Ad5-EBOV、CSB012-腺病毒、CSB013-寨卡病毒、CSB015-脑膜炎、CSB016-带状疱疹、CSB017-脊髓灰质炎、DTcP-Hib联合疫苗、DTcP加强疫苗、MCV2、MCV4、PBPV、PCV13i、结核病加强疫苗、青少年及成人用Tdcp、婴幼儿用DTcP,疫苗,公司是一家致力于研发、生产与销售的创新型疫苗企业。在一批疫苗领域资深科学家和具备多年国际大型制药公司从业背景的资深技术专家的带领下，公司快速推进一系列国内创新疫苗的研发，研发管线涵盖预防脑膜炎、埃博拉病毒病、百白破、肺炎、结核病、带状疱疹等多个适应症的临床接种量较大的重磅疫苗，公司研发团队汇聚了多位资深科学家和疫苗行业资深专家，他们曾经在赛诺菲巴斯德、阿斯利康和惠氏(现被辉瑞收购)、诺华制药、中生集团等国内外大型制药公司牵头负责或参与创新疫苗的研发、生产和销售，目前，公司围绕关键技术在境内外取得18项授权发明专利，其中16项为境内发明专利，2项为美国发明专利，除专利以外，公司亦开发并掌握了多项疫苗研发中难以突破的专有技术和生产工艺。凭借上述技术平台，公司逐步开展针对预防脑膜炎、埃博拉病毒病、百白破、肺炎、结核病、带状疱疹等12个适应症的15种创新疫苗产品的研发。
603456.SH,九洲药业,4006974.1401560577,440351.23626970954,241,633900939.63,九洲药业奥卡西平原料药及中间体、九洲药业格列齐特原料药及中间体、九洲药业马西平原料药及中间体、九洲药业酮洛芬原料药及中间体,医药中间体,公司是一家集研发、生产、销售医药原料药及中间体为一体的高新技术企业，主要产品类别包括专利原料药及中间体合同定制研发及生产业务(CDMO)、特色原料药及中间体业务(API)。公司建立了ISO9001管理体系、ISO14001环境管理体系、OHSAS18000职业健康安全管理体系。多个产品通过了国家GMP、美国FDA、欧洲COS等国家的官方认证，并与多家国际著名医药巨头建立了战略合作关系。公司先后获得全国医药行业百强企业、国家原料药出口龙头企业、国家高新技术企业、国家技术创新示范企业、中国制药工业百强企业、浙江省“三名”培育试点企业、浙江省创新型领军企业等荣誉，“九洲”品牌荣获“浙江省出口名牌”。
300677.SZ,英科医疗,3432967.155505535,1044407.1639751038,241,7430075719.0,标签电极(TAB)、冰冰贴、超级冰袋、电刀笔、电极纸、丁腈手套、防护服、负极板、负极板连接线、冷热敷、冷热理疗袋、轮椅车、手杖、心电电极片、一次性PVC手套、一次性冰/热理疗袋、医用床边桌、助步器、助行器,医用耗材,公司是中国领先的一次性医疗耗材和医疗耐用设备制造商。主营业务涵盖医疗防护、康复护理、保健理疗、检查耗材等板块，主要产品包括一次性手套、轮椅、冷热敷、电极片等多种类型的护理产品，产品广泛应用于医疗机构、养老护理机构、家庭日用及其他相关行业。经历多年发展，英科医疗在全球已拥有多家子公司，在上海、美国洛杉矶、加拿大、马来西亚、德国等地分别设有销售办公室。公司战略定位于高端一次性PVC手套、丁腈手套(医疗级手套)的生产，是中国能够高比例持续稳定生产医疗级手套的极少数企业之一，拥有全球主要目标市场准入资质认证(如美国510K认证、NSF食品体系认证、加拿大CMDCAS认证、欧盟CE认证)等，产品质量达到并超过FDA和CE标准。
002223.SZ,鱼跃医疗,3297562.5850117053,458025.5316680498,241,1482421641.48,鱼跃2000轮椅车、鱼跃402AI超声雾化器、鱼跃403C压缩空气式雾化器、鱼跃7D电动洗胃机、鱼跃7E-D交直流吸痰器、鱼跃7F-3型氧护士制氧机、鱼跃7F-5制氧机(带雾化)、鱼跃AI型家庭保健药箱（不附器材）、鱼跃A型颈椎牵引器、鱼跃B型家庭保健药箱（不附器材）、鱼跃H032轮椅车、鱼跃H100轮椅车、鱼跃IN-615P单用听诊器(白金版)、鱼跃IN-747GPF双用听诊器(黄金版)、鱼跃XY-98BⅢ氧气吸入器、鱼跃XY-98BII墙式氧气吸入器、鱼跃YU821手杖、鱼跃便携式压缩氧自救器、鱼跃单用新型铝合金听诊器、鱼跃防护眼罩、鱼跃人工流产器械箱、鱼跃三用听诊器、鱼跃双翼阴道扩张器（检查小号）、鱼跃血压表、鱼跃血压计,医用辅助设备、医用耗材、诊断治疗设备,公司是一家以提供家用医疗器械、医用临床器械和互联网医疗服务为主要业务的公司，而研发、制造和销售医疗器械产品是公司目前的核心业务，也是目前公司主要业绩来源。公司器械产品主要集中在呼吸供氧、康复护理、手术器械、高值耗材、中医诊疗器械、药用贴膏及高分子卫生辅料等领域。公司紧紧把握科技发展趋势，以专业的临床医学为基础，为患者提供远程慢病管理、远程医学诊断等云端医疗服务，颠覆传统的医疗模式，为医患之间的沟通提供便利，有效缓解稀缺的医疗资源。同时并积极联动数字云技术，在医疗专业领域实现大数据价值延伸。公司矢志于投身生命健康事业，将专业的健康管理理念与先进的产品方案带入万千家庭，打造了由家庭医疗、临床医疗、互联网医疗组成的大健康生态圈，组建一个全面覆盖医疗器械的专业化服务平台。
