code,name,mv_mean,amount_mean,num_days,profit
000661.SZ,长春高新,11372411.759126805,2060604.1712074687,241,3757472953.11
002007.SZ,华兰生物,5528414.06873395,539629.4781410788,241,1298897164.35
002030.SZ,达安基因,2756257.3617251455,668306.7411244813,241,3618186564.12
002252.SZ,上海莱士,4604853.1828586925,203991.71031120332,241,1294510050.46
002821.SZ,凯莱英,9137010.660724482,1044357.0871576763,241,1069273577.5
300003.SZ,乐普医疗,4484051.5416902695,552432.5727344399,241,1719324578.02
300122.SZ,智飞生物,23668082.987551868,2091420.9312572612,241,10208548452.56
300142.SZ,沃森生物,9807204.082857544,2730696.6238755183,241,427747681.59
300347.SZ,泰格医药,10510411.917533703,1030600.491340249,241,2874163020.17
300357.SZ,我武生物,2856037.7475186726,190309.43099585062,241,337991284.82
300363.SZ,博腾股份,4589815.09855139,644510.3534232365,241,523915383.33
300529.SZ,健帆生物,4810470.149394507,438550.8974315353,241,1196813354.44
300595.SZ,欧普康视,5727571.960882431,662088.7738755187,241,554737175.25
300601.SZ,康泰生物,7964166.913001701,854948.8397759337,241,1263377112.09
300676.SZ,华大基因,3976650.103931224,397625.78818257264,241,1461536272.38
300759.SZ,康龙化成,11006093.132987054,776683.4333900415,241,1661028567.53
300760.SZ,迈瑞医疗,45270403.89249247,1853735.442485477,241,8001553606.0
300832.SZ,新产业,3787411.524983112,137208.35963070538,241,973696489.03
300896.SZ,爱美客,12362609.301908715,1406292.5986804978,241,957798548.01
600161.SH,天坛生物,4252978.1845540665,368325.2202614108,241,760012024.99
600196.SH,复星医药,11342712.894243589,2764176.171244813,241,4735269690.83
600867.SH,通化东宝,2251339.513718701,197172.39111618258,241,1308254212.79
603087.SH,甘李药业,4355523.263900415,277092.3160414938,241,1452754862.29
603127.SH,昭衍新药,3985527.525175382,395450.0450954357,241,557459609.09
603259.SH,药明康德,32942563.42150743,3323076.08866805,241,5097155283.68
603392.SH,万泰生物,14510214.180780083,383623.95652282157,241,2021467667.66
603658.SH,安图生物,3475659.5866357633,257135.22917012445,241,973663074.64
603882.SH,金域医学,5005543.746426245,477951.3295020747,241,2219640445.22
688180.SH,君实生物-U,4729062.06093361,537523.5567053942,241,-720909747.05
688363.SH,华熙生物,8575854.949748889,578219.6457593361,241,782334573.48
