code,name,mv_mean,amount_mean,num_days,profit
688002.SH,睿创微纳,3613153.1121161827,288306.9811659751,241,461180017.63
688005.SH,容百科技,5302879.787701481,933665.5461286306,241,911041341.99
688006.SH,杭可科技,3626345.753298755,228956.72017842325,241,235117881.75
688008.SH,澜起科技,7536548.430111943,482941.6856929461,241,829137544.38
688009.SH,中国通号,4389886.754946059,79771.29972614108,241,3274672689.28
688012.SH,中微公司,8647865.454427037,1122703.8740331952,241,1011423670.06
688016.SH,心脉医疗,1942953.0122991286,230524.4472738589,241,315855662.84
688023.SH,安恒信息,1963812.9082570665,193894.5099502075,241,13806457.21
688029.SH,南微医学,2893732.5926750205,189377.54452697095,241,324750539.99
688036.SH,传音控股,11869322.250475727,421852.5365643154,241,3909229343.57
688050.SH,爱博医疗,2509263.4633278674,249440.11847302906,241,171344218.27
688063.SH,派能科技,2896048.3055809005,446079.7784149378,241,316180053.78
688065.SH,凯赛生物,5419243.022925312,133793.14780497926,241,607892085.94
688083.SH,中望软件,2481226.220333427,147371.7954813278,241,181650184.98
688099.SH,晶晨股份,4562735.996016597,336167.6385684647,241,811606706.2
688111.SH,金山办公,12994155.352697095,606759.6549045643,241,1041253876.4
688116.SH,天奈科技,3181198.4242945565,400281.7262738589,241,295883218.86
688122.SH,西部超导,3459597.1041934774,449228.5439585062,241,741478943.86
688126.SH,沪硅产业-U,6772216.060032262,504322.258439834,241,146112351.76
688139.SH,海尔生物,2948851.5510286805,175002.5039211618,241,845035305.76
688169.SH,石头科技,6073991.281326012,499249.57293775934,241,1402476092.0
688180.SH,君实生物-U,4729062.06093361,537523.5567053942,241,-720909747.05
688185.SH,康希诺,4355987.7925385395,713966.0101742739,241,1914390000.0
688188.SH,柏楚电子,3833042.7856081496,187992.3305726141,241,550198665.07
688200.SH,华峰测控,2865367.2875566557,284639.8298630705,241,438773193.33
688202.SH,美迪西,3147097.089888614,337547.4365145228,241,282222910.23
688208.SH,道通科技,3109681.601523859,183864.62253941907,241,438736178.92
688223.SH,晶科能源,11510689.655172413,1052017.6133448277,58,1141409888.21
688256.SH,寒武纪-U,3692095.4761404567,208945.90024066388,241,-824949409.11
688289.SH,圣湘生物,2666082.987551867,166883.64927800832,241,2242696395.58
688301.SH,奕瑞科技,2792451.314783917,193386.48229875517,241,484039540.68
688303.SH,大全能源,12293280.163043479,666494.4724184782,184,5723842382.35
688363.SH,华熙生物,8575854.949748889,578219.6457593361,241,782334573.48
688366.SH,昊海生科,2046050.3975103735,227332.31893360996,241,352235233.39
688368.SH,晶丰明源,2001506.7251975758,206648.85290043292,231,677420694.85
688388.SH,嘉元科技,2587349.022900237,539481.8667842323,241,549959098.02
688390.SH,固德威,3249912.2987551866,564390.2850373444,241,279535000.04
688396.SH,华润微,8951537.43188141,960743.8598921162,241,2267920399.95
688521.SH,芯原股份-U,3302234.436139187,213987.32370954356,241,13292357.58
688536.SH,思瑞浦,5060023.317312962,319655.27786307054,241,443535565.13
688561.SH,奇安信-U,5718925.443475818,209143.48868879667,241,-554749572.44
688567.SH,孚能科技,3410402.8148466595,301812.65521991695,241,-952720292.43
688599.SH,天合光能,11128859.071453208,1129777.3023817427,241,1804231711.5
688608.SH,恒玄科技,3119252.614107884,225953.1589087137,241,407716464.97
688686.SH,奥普特,2551675.740742531,120272.21207883819,241,302864741.1
688696.SH,极米科技,2718751.867219917,230730.30461825727,241,483498857.22
688777.SH,中控技术,4235105.31106639,151549.45109128632,241,581664803.55
688819.SH,天能股份,4112108.041908714,192224.78963900416,241,1369365754.85
688981.SH,中芯国际,10423059.247095434,1702576.0368215768,241,10733098000.0
689009.SH,九号公司-WD,4574057.429926929,121937.19291701245,241,410598753.65
