code,name,mv_mean,amount_mean,num_days,profit,主营产品名称,主营产品类型,公司简介
300750.SZ,宁德时代,122422177.29624707,7336981.338506224,241,15931317900.0,电池包、电池柜、电箱、电芯、模组、三元前驱体—镍钴锰氢氧化物,专用设备与零部件,公司是全球领先的动力电池系统提供商，专注于新能源汽车动力电池系统、储能系统的研发、生产和销售，致力于为全球新能源应用提供一流解决方案。公司在电池材料、电池系统、电池回收等产业链关键领域拥有核心技术优势及可持续研发能力，形成了全面、完善的生产服务体系。公司拥有国际一流的研发团队，设立了“福建省院士专家工作站”，拥有锂离子电池企业省级重点实验室、中国合格评定国家认可委员会(CNAS)认证的测试验证中心，参与了《电动客车安全技术条件》、《电动汽车用锂离子动力蓄电池安全要求》、《电力储能用锂离子电池》等多个国家、行业规范及标准的制定。公司承担了“十二五”国家新能源汽车产业技术创新工程项目、“十三五”国家重点研发计划新能源汽车专项项目和智能电网与装备专项项目、国家火炬计划产业化示范项目等国家级项目，为首批入选工信部《汽车动力蓄电池行业规范条件》目录的十家动力电池企业之一、《锂离子电池行业规范条件》目录的八家锂离子电池企业之一。公司曾获得中国化学与物理电源行业协会“中国动力和储能用锂离子电池前10强企业”、中国储能网“中国储能产业最具影响力企业”、工信部和财政部“2017年国家技术创新示范企业”等多项荣誉。
300760.SZ,迈瑞医疗,45270403.89249247,1853735.442485477,241,8001553606.0,便携式彩超、除颤仪、吊塔吊桥、化学发光免疫分析仪、监护仪、麻醉剂、凝血分析仪、生化分析仪、手术床、手术灯、台式彩超、体外诊断试剂、血液细胞分析仪,诊断治疗设备,公司是中国领先的高科技医疗设备研发制造厂商，为全球市场提供医疗器械产品。公司的主营业务覆盖生命信息与支持、体外诊断、医学影像三大领域，通过前沿技术创新，提供更完善的产品解决方案，帮助世界改善医疗条件、提高诊疗效率。公司始终致力于临床医疗设备的研发和制造，产品涵盖生命信息与支持、临床检验及试剂、数字超声、放射影像四大领域，将性能与价格完美平衡的医疗电子产品带到世界每一角落。
300122.SZ,智飞生物,23668082.987551868,2091420.9312572612,241,10208548452.56,ACYW135 群脑膜炎球菌多糖疫苗、A群C 群脑膜炎球菌多糖结合疫苗、微卡(注射用母牛分枝杆菌),疫苗,公司系一家集疫苗研发、生产、销售、配送及进出口为一体的生物高科技企业，主营的人用疫苗为国家七大战略性新兴产业，发展前景广阔。现在售产品包括AC群脑膜炎球菌(结合)b型流感嗜血杆菌(结合)联合疫苗(喜贝康)、b型流感嗜血杆菌结合疫苗(喜菲贝)、A、C、Y、W135群脑膜炎球菌多糖疫苗(盟威克)、注射用母牛分枝杆菌(微卡)、A群C群脑膜炎球菌多糖结合疫苗(盟纳康)等自主产品及统一销售默沙东授权的23价肺炎球菌多糖疫苗、甲型肝炎灭活疫苗(人二倍体细胞)、四价人乳头瘤病毒疫苗(酿酒酵母)、九价人乳头瘤病毒疫苗(酿酒酵母)、口服五价重配轮状病毒减毒活疫苗(Vero细胞)等所有进口疫苗。公司荣获全国非公有制企业双强百佳党组织、重庆市精神文明单位、全国“守合同重信用”企业、全国商务诚信试点企业、重庆市创新型企业、重庆市制造企业百强等荣誉称号。
300014.SZ,亿纬锂能,19551284.974921074,3298660.6616099584,241,2905792903.68,亿纬锂能锂离子及锂聚合物组合电池、亿纬锂能锂锰电池、亿纬锂能锂亚电池、亿纬锂能镍氢组合电池,低压电器类,公司是国家级高新技术企业，专注于锂电池的创新发展。经过多年的努力，公司锂亚电池居世界前列，锂原电池居国内领先地位。公司主营业务是锂原电池和锂离子电池的研发、生产、销售，也以客户需求为导向提供锂电池相关的配套产品和服务。近几年，公司聚焦动力、储能市场领域，采用高度自动化与信息化的生产方式，为客户提供一流产品和服务，已形成锂原电池、锂离子电池、电源系统等核心业务，产品覆盖智能电网、智能交通、智能安防，储能，新能源汽车，特种行业等市场。公司以“做世界上最好的锂电池，成为行业领先企业”为愿景，以市场为导向，以世界先进的技术与自动化的生产方式，致力于为社会提供高可靠性的锂电池，同时不断追求卓越，专注创新，致力于打造一流“智慧互联能源”方案提供商。
300274.SZ,阳光电源,18414479.887996845,3594268.654643154,241,1582707374.76,风能变流器、光伏逆变器,变电设备,公司是一家专注于太阳能、风能等可再生能源电源产品研发、生产、销售和服务的国家重点高新技术企业。公司是中国目前较大的光伏逆变器制造商、国内领先的风能变流器企业，拥有完全自主知识产权。主要产品有光伏逆变器、风能变流器、储能系统、电动车电机控制器，并致力于提供全球一流的光伏电站解决方案。公司先后承担多项国家重大科技计划项目，主持起草了多项国家标准，并取得了多项重要成果和专利。产品先后成功应用于上海世博会、北京奥运鸟巢、京沪高铁上海虹桥站、国家送电到乡工程、南疆铁路、青藏铁路等众多重大光伏和风力发电项目。公司先后荣获“国家重点新产品”、国家发改委“技术进步优秀项目奖”、“中国新能源企业30强”、“中国驰名商标”、“安徽著名商标”、全球新能源企业500强、国家级“守合同重信用”企业、安徽“最佳雇主”等荣誉，是国家级博士后科研工作站设站企业、国家高技术产业化示范基地、国家认定企业技术中心、《福布斯》“中国最具发展潜力企业”等。
300124.SZ,汇川技术,17211685.49993098,1483462.9808174274,241,3573404586.07,CAN600起重机一体化驱动器、ECU630计数器、EMU400线速/转速表、EPS专用变频器、H0U工业控制器、H1U可编程控制器、H2U PLC扩展模块、H2U 模拟量扩展卡系列、H2U 通讯卡系列、H2U可编程控制器、IS100伺服驱动器系列、IS500A伺服驱动器系列、ISMD1直驱伺服电机系列、ISMH伺服电机系列、MD矢量型变频器、MONARCH电梯控制系列、单锭专用变频器、动力机车组逆变器、能量回馈单元、塑料拉丝机专用变频器、制动单元,变电设备,公司是专门从事工业自动化和新能源相关产品研发、生产和销售的高新技术企业。经过十多年的发展，公司已经从单一的变频器供应商发展成机电液综合产品及解决方案供应商。目前公司主要产品包括：①服务于智能装备领域的工业自动化产品，②服务于工业机器人领域的核心部件、整机及解决方案，③服务于新能源汽车领域的动力总成产品，④服务于轨道交通领域的牵引与控制系统，⑤服务于设备后服务市场的工业互联网解决方案。公司专注于工业自动化控制产品的研发、生产和销售，定位服务于中高端设备制造商，以拥有自主知识产权的工业自动化技术为基础，在经营过程中坚持进口替代、行业营销、为细分市场客户提供整体解决方案的经营模式，实现企业价值与客户价值共同成长。在工业自动化产品方面，公司已经成为国内最大的中低压变频器与伺服系统供应商；在电梯行业，公司已经成为行业领先的电梯一体化控制器供应商；在新能源汽车领域，公司已经成为我国新能源汽车电机控制器的领军企业。公司是国家高新技术企业，掌握了高性能矢量变频技术、PLC技术、伺服技术和永磁同步电机等核心平台技术。
688111.SH,金山办公,12994155.352697095,606759.6549045643,241,1041253876.4,WPS Office Linux版、WPS Office Mac版、WPS Office Windows版、WPS Office移动个人版、WPS Office移动专业版、稻壳儿云模板、个人云文档、互联网广告推广服务、会员皮肤、金山词霸、企业云文档、企业云协作、文档安全、文档漫游、智能美化,行业专用软件,公司是国内领先的办公软件和服务提供商，主要从事WPS Office办公软件产品及服务的设计研发及销售推广。公司拥有办公软件领域30余年研发经验及技术积累，旗下主要产品及服务皆由公司自主研发，对核心技术具有自主知识产权。公司重点针对文字排版技术、电子表格计算技术、动画渲染技术、在线协同编辑、安全文档以及数据协同共享等多种关键技术进行深入研究，通过核心技术的突破，建立互联网云办公应用服务体系，创建智能办公新模式，全面提升用户体验。2018年12月，公司主要产品月度活跃用户数(MAU)超过3.10亿，其中WPS Office桌面版月度活跃用户数超过1.20亿，领先其他国产办公软件；WPSOffice移动版月度活跃用户数超过1.81亿；公司其他产品(如金山词霸等)月度活跃用户数接近0.10亿。WPS Office移动版已覆盖全球超过220个国家和地区，在全球Google Play、中国App Store的办公软件应用市场中排名前列，并持续保持领先地位。为适应客户的安全可靠需求，公司自主研发的WPS Office Linux版本已经全面支持国产整机平台(如：龙芯、飞腾、兆芯、申威等芯片)和国产操作系统，并在国家“十二五”、“十三五”期间的“核高基”多项重大示范工程项目中完成系统适配和应用推广。
688303.SH,大全能源,12293280.163043479,666494.4724184782,184,5723842382.35,新疆大全高纯多晶硅,无机化工原料,公司是国内最早从事高纯多晶硅研发和制造的高纯多晶硅制造企业之一。公司主要从事高纯多晶硅的研发、制造与销售，主要用于光伏硅片的生产，硅片应用于下游光伏电池、光伏电池组件、光伏发电系统等太阳能光伏产品的生产。近年来，随着单晶硅片用料及单晶硅片生产成本的降低、单晶组件效率的提升，单晶技术性价比逐渐凸显，逐步成为行业主流技术路线。公司是国家发改委等部门认定的“国家企业技术中心”，拥有国家发改委认定的“光伏硅材料开发技术国家地方联合工程实验室”，是工信部等部门认定的“智能光伏试点示范企业”、“2019年国家技术创新示范企业”、符合《光伏制造行业规范条件》企业，入选工信部认定的“2018年智能制造试点示范项目名单”、“第一批绿色制造示范”名单，是国家级高新技术企业、自治区战略性新兴产业重点骨干企业、兵团创新型企业试点单位，拥有兵团科技局认定的“兵团光伏硅材料制造与应用工程技术研究中心”、兵团发改委认定的“兵团光伏硅材料工程实验室”和自治区经信委认定的“自治区级企业技术中心”。
688036.SH,传音控股,11869322.250475727,421852.5365643154,241,3909229343.57,Carlcare、Infinix、itel、oraimo、Syinix、TECNO,互联网服务、家电零售与连锁、移动通讯设备与配件,公司是一家以手机为核心的智能终端的设计、研发、生产及品牌运营的高新技术企业，业务集中在非洲、南亚、东南亚等新兴市场国家。同时实施多元化战略，开发了数码配件、家用电器以及移动互联网服务。主要产品为TECNO、itel和Infinix三大品牌手机，另创立数码配件品牌Oraimo，家用电器品牌Syinix及售后服务品牌Carlcare，自主研发HIOS、itelOS、和XOS等智能终端操作系统。针对特定市场需求，完成了切合当地市场的研发成果，包括黑人肤色摄像技术、防汗液USB端口等。2018年手机出货量全球市场占有率7.04%，排名第四；非洲市占率48.71%，排名第一；印度市占率6.72%，排名第四。
300782.SZ,卓胜微,11332512.471116025,1445771.5803360995,241,2134834604.14,IP授权、低功耗蓝牙微控制器芯片、射频低噪声放大器、射频开关,电子元器件,公司由硅谷留学人员创办于张江高科技园区，在知名风险投资红杉资本和盈富泰克的支持下，已迅速成长为一家在射频器件及无线连接专业方向上具有顶尖的技术实力和不凡市场竞争力的芯片设计公司。公司专注于移动互联领域，致力于开发无线通信的射频，射频与数字soc芯片产品，并为客户提供基于公司芯片的完整软硬件解决方案。经过8年多的研发积累，公司已拥有丰富的产品线，在行业内树立了领先的地位，销售方面亦已快速扩张，目前的产品已经得到诸如三星、华为、联想、展讯等***客户的采用。目前，公司已成为国内领先的射频器件及无线连接领域的专家，曾经推出或现有的产品线，如cmmb项目产品mxd0265、硅调谐器产品mxd1516、gps低噪放大器芯片mxdln16g及lte switch芯片mxd8650等。
