code,name,mv_mean,amount_mean,num_days
000166.SZ,申万宏源,10948167.589563483,546619.5357800829,241
000686.SZ,东北证券,1980897.1941495435,165156.6135560166,241
000712.SZ,锦龙股份,1404314.5560165974,170837.80475103736,241
000728.SZ,国元证券,3286431.746864693,211638.50723236517,241
000750.SZ,国海证券,2194753.7497307053,192527.96496680492,241
000776.SZ,广发证券,11328639.652582703,1779812.0499045644,241
000783.SZ,长江证券,3960290.51050727,237758.10663070536,241
002500.SZ,山西证券,2281530.6955416477,112069.65071369294,241
002670.SZ,国盛金控,1867581.513258212,290453.9933900415,241
002673.SZ,西部证券,3516448.042904295,234095.5265352697,241
002736.SZ,国信证券,10585757.65121963,246795.1675850622,241
002797.SZ,第一创业,2831859.604979253,531560.4892697096,241
002926.SZ,华西证券,2436697.0954356845,168214.83552697097,241
002939.SZ,长城证券,3409457.7782913563,536796.1961784232,241
002945.SZ,华林证券,3519321.1618257263,391156.0095767635,241
300059.SZ,东方财富,32705318.46061016,6476794.397070539,241
600030.SH,中信证券,26531347.92254168,2536881.022157447,235
600061.SH,国投资本,5220632.741034473,289060.6274813278,241
600095.SH,湘财股份,2754259.244702257,393666.2541369295,241
600109.SH,国金证券,3341327.2247385057,441504.861153527,241
600155.SH,华创阳安,1705667.774712199,231009.05173443985,241
600369.SH,西南证券,3207657.5922086807,223870.02561410787,241
600621.SH,华鑫股份,1499548.1337038672,289440.0785726141,241
600837.SH,海通证券,11255817.709599253,720506.9810580913,241
600864.SH,哈投股份,1215484.8373148548,171396.46168879667,241
600906.SH,财达证券,4153161.856540085,858827.1359367089,237
600909.SH,华安证券,2428827.2780442727,179243.0842425532,235
600918.SH,中泰证券,6702054.134238323,490515.2059792531,241
600958.SH,东方证券,7607307.979772196,1774293.9746936169,235
600999.SH,招商证券,12894209.723332511,492555.18230290455,241
601066.SH,中信建投,18360297.186841886,763402.9155269709,241
601099.SH,太平洋,2199662.06111054,380947.8352904565,241
601108.SH,财通证券,3706940.908442536,496776.89002553193,235
601162.SH,天风证券,3606609.150017128,384494.42956431536,241
601198.SH,东兴证券,3275656.450839348,231103.9712074689,241
601211.SH,国泰君安,12845160.46610946,734746.0819419087,241
601236.SH,红塔证券,5094376.663394511,230275.17501702128,235
601375.SH,中原证券,1649116.041723651,469006.9375809129,241
601377.SH,兴业证券,6108865.065735287,1387166.804257261,241
601456.SH,国联证券,2984331.424162656,500760.4347510374,241
601555.SH,东吴证券,3575899.8599340594,473027.2300595745,235
601688.SH,华泰证券,11861099.282888632,1347319.1084896268,241
601696.SH,中银证券,3994118.489626556,637520.8725601659,241
601788.SH,光大证券,5854682.62648461,607203.3796431535,241
601878.SH,浙商证券,4688608.2211444685,720556.4697676349,241
601881.SH,中国银河,6723035.942925427,307605.1321286307,241
601901.SH,方正证券,6687062.348117677,410413.2862987552,241
601990.SH,南京证券,3564848.78481288,447250.90182572615,241
601995.SH,中金公司,14667412.42148,1055137.85806639,241
